"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","occurrenceRemarks","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:34-03","UNESC","CRI","12284","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","Guilherme Alves Elias, Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Guilherme Alves Elias; Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S","CRI010466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:34-03","UNESC","CRI","972","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette","1991","11","30","Brasil","Santa Catarina","Praia Grande","Serra do Faxinal.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI003212","Habito: erva","CRI003212_1 CRI003212_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439716","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","F. A. González; N. Pabón",NA,NA,NA,"B. Rambo","1947","02","15","Brazil","Rio Grande do Sul","Bom Jesus","Aparados da Serra, ad viam Bom Jesus-Araranguá","-50.4167","-28.6681",NA,NA,"NY00439716","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439716_01","Magnoliophyta","Gunnerales","35266","South America","1000","1000","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","439720","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","A. C. Brade",NA,NA,NA,"G. F. J. Pabst","1952","02",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"NY00439720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439720_01","Magnoliophyta","Gunnerales","77112","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","439719","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","R. Reitz",NA,NA,NA,"R. Reitz","1958","12","11","Brazil","Santa Catarina","Sao Joaquim","Curral Falso, Bom Jardim, S. Joaquim","-49.9317","-28.2942",NA,NA,"NY00439719","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439719_01","Magnoliophyta","Gunnerales","7784","South America","1500","1500","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","439717","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.",NA,NA,NA,NA,"A. Krapovickas","1973","01","31","Brazil","Santa Catarina","Ponte Alta","31 km de Monte Alegre, camino a Blumenau. Estrada 470","-50.3803","-27.4844",NA,NA,"NY00439717","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439717_01","Magnoliophyta","Gunnerales","23066","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1801267","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","F. B. Matos",NA,NA,NA,"F. B. Matos","2012","01","09","Brazil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro. Rodovia SC-438, próximo ao mirante.","-49.5461","-28.4072",NA,NA,"NY01801267","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801267_01","Magnoliophyta","Gunnerales","2009","South America","1460",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","439718","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","A. C. Brade",NA,NA,NA,"G. F. J. Pabst","1952","02","01","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"NY00439718","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439718_01","Magnoliophyta","Gunnerales","s.n.","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1801269","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","F. B. Matos",NA,NA,NA,"F. B. Matos","2012","01","09","Brazil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro. Rodovia SC-438, próximo ao mirante.","-49.5461","-28.4072",NA,NA,"NY01801269","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017853' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801269_01","Magnoliophyta","Gunnerales","2009","South America","1460",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1801268","PreservedSpecimen","Plantae","Gunneraceae","Gunnera","manicata","Gunnera manicata","Linden ex Delchev.","F. B. Matos",NA,NA,NA,"F. B. Matos","2012","01","09","Brazil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro. Rodovia SC-438, próximo ao mirante.","-49.5461","-28.4072",NA,NA,"NY01801268","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801268_01","Magnoliophyta","Gunnerales","2009","South America","1460",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
