"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","stateProvince","county","coordinatePrecision","geoFlag","phylum","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2020-02-08 10:15:22-03","NBC","NL-BOTANY","L.3795964","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Chaves E; Soares AER; Silva LH; Mendes VC","2004","05","01","Southern America","Brazil","Alto Paraiso de Goias, Fazenda Portal da Chapada, Trilha de Visita.","-47.593056","-14.163333","-47.593056","-14.163333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3795964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3795964","NL-L3795964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:15:22-03","NBC","NL-BOTANY","U.1278441","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Prance GT; Silva NT","1964","07","18","Southern America","Brazil","New Brazilian Highways, Chapada dos Veadeiros Goiás. 2km from Veadeiros, on Cerrado.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1278441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1278441","NL-U1278441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:23:37-03","MBM","MBM","139484","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Zappi, D.C.; et al.; et al.","1985","09","05","Southern America","Brazil","Jambeiro, a 7km de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"=139480","MBM139484","MBM139484","Giulietti, A.M.","8538","Minas Gerais","Grão Mogol","67219","auto",NA,NA,NA,NA,NA
"4","2020-12-21 16:23:37-03","MBM","MBM","23826","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Hatschbach, G.","1975","05","25","Southern America","Brazil","Chapada dos Veadeiros",NA,NA,NA,NA,NA,"MBM023826","MBM023826","Moldenke, H.N.","36837","Goiás","Alto Paraíso",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:23:37-03","MBM","MBM","139480","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Zappi, D.C.; et al.; et al.","1985","09","05","Southern America","Brazil","Jambeiro, a 7km de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"=139484","MBM139480","MBM139480","Giulietti, A.M.","8538","Minas Gerais","Grão Mogol","67219","auto",NA,NA,NA,NA,NA
"6","2020-10-01 14:26:38-03","JBB","HEPH","13294","S","Plantae",NA,"Poales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Alv.Silv.","Munhoz, CBR","1997","05","29","Southern America","Brasil","Fazenda do Dr.Brasil em Água Fria Projeto WWF/ASFLO","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,"Munhoz, CBR","351","Goiás","Alto Paraíso de Goiás","44724","auto","Monocotyledon",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2584614A","PreservedSpecimen","Plantae","Monocotyledonae","Eriocaulales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","G. T. Prance & N. T. Silva","1964","7","18","South America - Neotropics","Brazil","2km from Veadeiros",NA,NA,NA,NA,NA,"US01932879","US01932879_01",NA,"58198","Goiás",NA,NA,NA,NA,"1",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2759050","PreservedSpecimen","Plantae","Monocotyledonae","Eriocaulales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","H. S. Irwin, R. Souza & R. R. Santos","1965","10","22","South America - Neotropics","Brazil","ca. 8 km NW of Veadeiros, road to Cavalcante",NA,NA,NA,NA,NA,"US01932878","US01932878_01",NA,"9494","Goiás",NA,NA,NA,NA,"1","1200",NA,NA
"9","2019-10-07 09:21:20-03","UEFS","HUEFS","82926","PreservedSpecimen","Plantae","Lilianae","Poales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Andrade, M.J.G.","2004","04","02",NA,"Brasil","Trilha do Barão.","-42.891111","-16.547778","42W53'28''","16S32'52''",NA,"HUEFS0082926","HUEFS0082926",NA,"491","Minas Gerais","Grão Mogol",NA,NA,"Angiospermae",NA,NA,NA,NA
"10","2019-10-07 09:21:20-03","UEFS","HUEFS","107146","PreservedSpecimen","Plantae","Lilianae","Poales","Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Munhoz, C.","1998","04","26",NA,"Brasil","Água Fria 1. Chapada dos Veadeiros.","-47.509167","-14.0725","47W30'33''","14S4'21''","Campo limpo.","HUEFS0107146","HUEFS0107146",NA,"715","Goiás","Alto Paraíso",NA,NA,"Angiospermae",NA,"4600","4600",NA
"11","2021-03-08 15:43:58-03","MN","R-TIPOS","181853b","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Silveira, A.A.","1926","07",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"R000181853b","R000181853b_001",NA,"HS - 818","Minas Gerais","Grão Mongol",NA,NA,NA,NA,NA,NA,"Isotypus"
"12","2021-03-08 15:43:58-03","MN","R-TIPOS","181853c","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Silveira, A.A.","1926","07",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"R000181853c","R000181853c_001",NA,"HS - 818","Minas Gerais","Grão Mongol",NA,NA,NA,NA,NA,NA,"Isotypus"
"13","2021-03-08 15:43:58-03","MN","R-TIPOS","181853d","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","extremensis","Paepalanthus extremensis","Silveira","Silveira, A.A.","1926","07",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"R000181853d","R000181853d_001",NA,"HS - 818","Minas Gerais","Grão Mongol",NA,NA,NA,NA,NA,NA,"Isotypus"
