"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","class","order","individualCount","typeStatus","fieldNumber","sex"
"1","2021-04-08 17:37:00-03","EAO","IAN","61440","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","lysimachioide","Eupatorium lysimachioide","Chodat","Balansa, B","810","Paraguai","IAN061440","IAN061440_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:36:08-03","MN","R","6123","PreservedSpecimen","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M. King & H. Rob.","Glaziou, A.F.M.","8124","Brasil","R000006123","R000006123_001","Esteves, R.L.","2002","05","20","1876","01","07","São Paulo","Bocaina","-48.5099983215332","-22.1299991607666","18396","Plantas do Brasil Central","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-07 11:41:28-03","UFMS","CGMS","69441","PreservedSpecimen","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","V.J. Pott; A. Pott; S.N. Moreira","11439","Brasil","CGMS1102399",NA,"A.C. Fernandes",NA,NA,NA,"2012","04","29","Mato Grosso do Sul","Terenos","-55.2619444","-20.4636111",NA,"Flor rosa forte. Caule avermelhado. Habitat: Campo úmido, de gramíneas filiformes. Solo hidromórfico, orgânico. Relevo plano. Habito: Erva, algo escandente entre Poaceae. 0,60 - 0,80 m de altura. Esparsa.",NA,"Fazenda Feliz, Rodovia BR-262, Km 426, Distrito de Cachoeirão, próximo ao Rio Cachoeirão.","-55,2619444","-20,4636111","195","195",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:41:28-03","UFMS","CGMS","70213","PreservedSpecimen","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","V.J. Pott; A. Pott; S.N. Moreira; J.R. Fabri","11541","Brasil","CGMS1069597",NA,"A.C. Fernandes","2015",NA,NA,"2013","03","08","Mato Grosso do Sul","Maracaju","-56.5372222","-21.5555556",NA,NA,NA,"Fazenda Jabuticaba.","-56,5372222","-21,5555556","563","563",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:16:07-03","MBM","MBM","21164","PreservedSpecimen","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chod.) R.M. King & H. Rob.","Hatschbach, G.","29444","Brazil","MBM021164","MBM021164","Robinson, H.",NA,NA,NA,"1972","04","13","Mato Grosso","Terenos",NA,NA,NA,NA,NA,"Pedro Celestino",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 06:06:51-03","MNHN","RECOLNAT_MNHN_P","P02477316","PreservedSpecimen",NA,NA,"Asteraceae","Eupatorium","lysimachioides","Eupatorium lysimachioides","Chodat","?], [Regnell",NA,"Brasil","P02477316","P02477316_01","Nakajima",NA,NA,NA,"1877","2","10",NA,NA,NA,NA,NA,". . donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02477316' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Brejo na chacara do [?] Xico Pires [?] Porto dos Ribeirão dos Bugres. Brasil, América do Sul",NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA
"7","2015-09-16 06:16:00-03","MO","MOBOT","2492481","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lysimachioides","Eupatorium lysimachioides","Chodat","Benedict (Benjamin) Balansa","Balansa 810","Paraguay",NA,NA,"Cabrera, A. L.",NA,NA,NA,"1876","3","28","Caaguazú",NA,"-56.01666","-25.45",NA,NA,NA,"Caaguazú",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2858945","PreservedSpecimen","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M. King & H. Rob.","G. Hatschbach","29444","Brazil","US01649904","US01649904_01",NA,NA,NA,NA,"1972","4","13","Mato Grosso",NA,NA,NA,NA,NA,NA,"Pedro Celestino (mun. Terenos)",NA,NA,NA,NA,"South America - Neotropics",NA,"Dicotyledonae","Asterales","1",NA,NA,NA
"9","2019-09-05 15:29:54-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Eupatorium","lysimachioide","Eupatorium lysimachioide",NA,"B. Balansa","810","Paraguay",NA,NA,NA,NA,NA,NA,"1876","3","28",NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA
"10","2019-05-06 11:53:20-03","UFU","HUFU","5697","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Nakajima, J.N.; Romero, R. & Schiavini, I.","346","Brasil","HUFU00046385","HUFU00046385","Nakajima, J.N.","2016","03",NA,"1994","05","27","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","Herbácea, ca. 0,8 m. Brácteas vinho, corola e estigma róseos.; Vereda de trás.","auto","Parque Nacional da Serra da Canastra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-05-06 11:53:20-03","UFU","HUFU","17998","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Araújo, G.M.","1941","Brasil","HUFU00046379","HUFU00046379","Nakajima, J.N.","2016","03",NA,"1997","04","29","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Erva, ca. 1,1 m.; Cerrado - vereda.","auto","Estação Ecológica do Panga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-05-06 11:53:20-03","UFU","HUFU","18593","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Amaral, A.F.","1308","Brasil","HUFU00046382","HUFU00046382","Nakajima, J.N.","2016","03",NA,"1999","01","29","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor rosa escuro.; Vereda.","auto","Estação Ecológica do Panga, Meio da vereda 4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-05-06 11:53:20-03","UFU","HUFU","22329","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Araújo, G.M.","3027","Brasil","HUFU00046378","HUFU00046378","Nakajima, J.N.","2016","03",NA,"2000","01","21","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor salmão.; Vereda.","auto","Estação Ecológica do Panga, Oeste da Estação Ecológica do Panga. Fundo da vereda 4, lado direito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-05-06 11:53:20-03","UFU","HUFU","19970","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Faria, P.","1988","Brasil","HUFU00046377","HUFU00046377","Nakajima, J.N.","2016","03",NA,"1999","04","30","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Erva com folhas avermelhadas e tambem ramos. Flores lilás.; Vereda.","auto","Estação Ecológica do Panga, Vereda 4, lado direito, meio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-05-06 11:53:20-03","UFU","HUFU","18612","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Araújo, G.M.","2064","Brasil","HUFU00046375","HUFU00046375","Nakajima, J.N.","2016","03",NA,"1999","01","15","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Planta, ca. 0,3 m. Flor lilás.","auto","Estrada para Campo Florido, Borda direita, meio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-05-06 11:53:20-03","UFU","HUFU","18615","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Amaral, A.F.","1317","Brasil","HUFU00046376","HUFU00046376","Nakajima, J.N.","2016","03",NA,"1999","02","12","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor rósea.; Vereda.","auto","Estrada para Campo Florido, Borda esquerda da vereda 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
