"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","order","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1076701","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.","possible type","C. G. Bertero","s.n.","1830","04","South America","Chile","Juan Fernandez","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215904' target='other'> <mi>dwc_moreinfo</mi></a>","NY01076701","NY01076701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1076700","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.","possible type","C. G. Bertero","s.n.",NA,NA,"South America","Chile","Juan Fernandez","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215902' target='other'> <mi>dwc_moreinfo</mi></a>","NY01076700","NY01076700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1778442","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"J. L. Luteyn","10125","1984","05","South America","Colombia","ca. 45 km E of Piendame.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2031347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778442",NA,"H. Bischler","05","Cauca","Silvia","-76.32","2.58","3050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01778409","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"S. P. Churchill","13404","1985","07","South America","Colombia","Abajo del paramo de Frontino, ca. 15 km directamente N de Urrao.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2031189' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778409",NA,"H. Bischler","01","Antioquia","Urrao","-76.08","6.42","3150","3500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1778425","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"W. J. Eyerdam","11018","1958","01","South America","Chile","Province Valdivia: near Valdivia.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2031330' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778425",NA,"H. E. Robinson","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","607543","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"W. R. Buck","40998","2001","11","South America","Chile","Cabo de Hornos. Isla Navarino, Parque Etnobotánico Omora, ca. 3 km W of Puerto Williams","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607543",NA,"J. J. Engel","22","Magallanes y Antártica Chilena","Antártica Chilena","-67.65403","-54.94125","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","607525","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"W. R. Buck","40731","2001","11","South America","Chile","Cabo de Hornos. Isla Navarino, Parque Etnobotánico Omora, ca. 3 km W of Puerto Williams","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607525",NA,"J. J. Engel","21","Magallanes y Antártica Chilena","Antártica Chilena","-67.65403","-54.94125","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1778426","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"W. J. Eyerdam","11016","1958","02","South America","Chile","Province Valdivia: Bima district, west of La Union, Cordillera de la Alerce.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2031331' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778426",NA,"H. E. Robinson","12",NA,NA,NA,NA,"500","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01240481","PreservedSpecimen","Plantae","Marchantiophyta","Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehm. & Lindenb.",NA,"X. Cornejo","8327","2010","11","South America","Ecuador","towards Bosque Protector Lelia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240481",NA,"W. R. Buck","15","Santo Domingo de los Tsáchilas",NA,"-79","-0.42","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-09 17:04:50-03","IAP","PACA-BRYOPHYTES","68604","PreservedSpecimen","Plantae",NA,"Marchantiaceae","Marchantia","berteroana","Marchantia berteroana","Lehn & Lindenb.",NA,"Silva Junior & Momberger",NA,"1986","10",NA,"Brasil","Picada Verão",NA,"Habitat: Sobre rocha, beira do Rio Feitoria.","PACA068604",NA,"O. Yano","25","RS","Sapiranga","-51.0069007873535","-29.6380996704102",NA,NA,"2010","05","11711","auto",NA,NA,NA,NA,NA,NA,NA
