especie_original,cat_ameaca_cncflora_web,fonte
Abarema brachystachya,LC,cncflora_web
Abarema cochliacarpos,LC,cncflora_web
Abarema obovata,LC,cncflora_web
Abuta selloana,LC,cncflora_web
Abutilon costicalyx,LC,cncflora_web
Abutilon nigricans,CR,cncflora_web
Abutilon venosum,DD,cncflora_web
Acanthocladus brasiliensis,LC,cncflora_web
Achatocarpus praecox,LC,cncflora_web
Acianthera aphthosa,LC,cncflora_web
Acianthera auriculata,LC,cncflora_web
Acianthera bragae,LC,cncflora_web
Acianthera crinita,LC,cncflora_web
Acianthera glumacea,LC,cncflora_web
Acianthera papillosa,VU,cncflora_web
Acianthera pectinata,LC,cncflora_web
Acianthera saurocephala,LC,cncflora_web
Acianthera strupifolia,LC,cncflora_web
Acianthera translucida,LC,cncflora_web
Acianthera tricarinata,LC,cncflora_web
Acicarpha tribuloides,LC,cncflora_web
Acroceras excavatum,DD,cncflora_web
Acrocomia emensis,VU,cncflora_web
Adelothecium bogotense,LC,cncflora_web
Adenocalymma paulistarum,LC,cncflora_web
Adenocalymma ubatubense,CR,cncflora_web
Adiantum mynsseniae,EN,cncflora_web
Aechmea bromeliifolia,LC,cncflora_web
Aechmea bromeliifolia var. albobracteata,LC,cncflora_web
Aechmea caudata,LC,cncflora_web
Aechmea cylindrata,LC,cncflora_web
Aechmea distichantha,LC,cncflora_web
Aechmea gracilis,LC,cncflora_web
Aechmea nudicaulis,LC,cncflora_web
Aechmea pectinata,LC,cncflora_web
Aechmea recurvata var. ortgiesii,DD,cncflora_web
Aechmea setigera,LC,cncflora_web
Aechmea vanhoutteana,VU,cncflora_web
Aeschynomene selloi,LC,cncflora_web
Aeschynomene sensitiva var. hispidula,DD,cncflora_web
Agalinis communis,LC,cncflora_web
Agalinis ramulifera,EN,cncflora_web
Agarista chlorantha,LC,cncflora_web
Agarista niederleinii,LC,cncflora_web
Agarista nummularia,LC,cncflora_web
Agarista pulchra,NT,cncflora_web
Agenium leptocladum,LC,cncflora_web
Agrimonia parviflora,DD,cncflora_web
Agrostis lenis,VU,cncflora_web
Agrostis longiberbis,EN,cncflora_web
Aiouea acarodomatifera,LC,cncflora_web
Aiouea bracteata,VU,cncflora_web
Aiouea piauhyensis,LC,cncflora_web
Aiouea trinervis,LC,cncflora_web
Akrosida macrophylla,DD,cncflora_web
Alansmia senilis,CR,cncflora_web
Alatiglossum croesus,CR|LC,cncflora_web
Alatiglossum longipes,CR|LC,cncflora_web
Albizia edwallii,LC,cncflora_web
Albizia niopoides,LC,cncflora_web
Aldama goyazii,VU,cncflora_web
Allagoptera arenaria,LC,cncflora_web
Allophylus puberulus,LC,cncflora_web
Allophylus semidentatus,LC,cncflora_web
Alophia coerulea,NT,cncflora_web
Alseis involuta,VU,cncflora_web
Alsophila capensis,LC,cncflora_web
