familia,especie_autor,especie_original,cat_ameaca_sp,fonte
Acanthaceae,Aphelandra squarrosa Nees,Aphelandra squarrosa,EW,SP_oficial
Acanthaceae,Lepidagathis meridionalis Kameyama,Lepidagathis meridionalis,VU,SP_oficial
Acanthaceae,Staurogyne itatiaiae (Wawra) Leonard,Staurogyne itatiaiae,EN,SP_oficial
Acanthaceae,Stenandrium diphyllum Nees,Stenandrium diphyllum,EX,SP_oficial
Acanthaceae,Stenandrium mandioccanum Nees,Stenandrium mandioccanum,VU,SP_oficial
Alismataceae,Echinodorus paniculatus Micheli,Echinodorus paniculatus,EX,SP_oficial
Alismataceae,Limnocharis laforestii Duchass,Limnocharis laforestii,VU,SP_oficial
Alstroemeriaceae,Alstroemeria apertiflora Baker,Alstroemeria apertiflora,EN,SP_oficial
Alstroemeriaceae,Alstroemeria caryophyllaea Jacq.,Alstroemeria caryophyllaea,EW,SP_oficial
Alstroemeriaceae,Alstroemeria foliosa Mart.ex Schult & Schult. f.,Alstroemeria foliosa,EN,SP_oficial
Alstroemeriaceae,Alstroemeria plantaginea Mart. ex Schult & Schult. f.,Alstroemeria plantaginea,EN,SP_oficial
Amaranthaceae,Alternanthera aquatica (D. Parodi) Chodat,Alternanthera aquatica,VU,SP_oficial
Amaranthaceae,Alternanthera bahiensis Pedersen,Alternanthera bahiensis,VU,SP_oficial
Amaranthaceae,Alternanthera flavescens Kunth,Alternanthera flavescens,VU,SP_oficial
Amaranthaceae,Alternanthera micrantha R.E. Fr.,Alternanthera micrantha,VU,SP_oficial
Amaranthaceae,Alternanthera paronychioides A.St.-Hil.,Alternanthera paronychioides,EX,SP_oficial
Amaranthaceae,Alternanthera reinekii Briq.,Alternanthera reinekii,VU,SP_oficial
Amaranthaceae,Alternanthera lanceolata (Benth.) Schinz,Alternanthera lanceolata,VU,SP_oficial
Amaranthaceae,Gomphrena agrestis Mart.,Gomphrena agrestis,VU,SP_oficial
Amaranthaceae,Gomphrena elegans Mart.,Gomphrena elegans,VU,SP_oficial
Amaranthaceae,Herbstia brasiliana (Moq.) Sohmer,Herbstia brasiliana,EX,SP_oficial
Amaranthaceae,Quaternella glabratoides (Suess.) Pedersen,Quaternella glabratoides,EN,SP_oficial
Amaryllidaceae,Crinum americanum L.,Crinum americanum,VU,SP_oficial
Amaryllidaceae,Eithea blumenavia (K.Koch & C.D.Bouché ex Carrière) Ravenna,Eithea blumenavia,EN,SP_oficial
Amaryllidaceae,Griffinia hyacinthina Ker Gawl.,Griffinia hyacinthina,EN,SP_oficial
Amaryllidaceae,Hippeastrum angustifolium Pax,Hippeastrum angustifolium,EW,SP_oficial
Amaryllidaceae,Hippeastrum blossfeldiae (Traub & L.J.Doran) van Scheepen,Hippeastrum blossfeldiae,VU,SP_oficial
Amaryllidaceae,Hippeastrum morelianum Lem.,Hippeastrum morelianum,VU,SP_oficial
Amaryllidaceae,Hippeastrum psittacinum (Ker Gawl.) Herb.,Hippeastrum psittacinum,EN,SP_oficial
Amaryllidaceae,Hippeastrum reginae (L.) Herb.,Hippeastrum reginae,EN,SP_oficial
Amaryllidaceae,Hippeastrum striatum (Lam.) Moore,Hippeastrum striatum,EN,SP_oficial
Amaryllidaceae,Zephyranthes candida (Lindl.) Herb.,Zephyranthes candida,EN,SP_oficial
Annonaceae,Annona glaucophylla R.E.Fr.,Annona glaucophylla,EX,SP_oficial
Annonaceae,Annona ubatubensis (Maas & Westra) H.Rainer,Annona ubatubensis,EN,SP_oficial
Annonaceae,Annona xylopiifolia A.St.-Hil. & Tul.,Annona xylopiifolia,EX,SP_oficial
Annonaceae,Duguetia salicifolia R.E.Fr.,Duguetia salicifolia,VU,SP_oficial
Annonaceae,Trigynaea oblongifolia Schltdl.,Trigynaea oblongifolia,EN,SP_oficial
Apiaceae,Apium prostratum Labill.,Apium prostratum,VU,SP_oficial
Apiaceae,Eryngium glaziovianum Urb.,Eryngium glaziovianum,EX,SP_oficial
Apiaceae,Eryngium koehneanum Urb.,Eryngium koehneanum,EN,SP_oficial
Apiaceae,Eryngium sanguisorba Cham. & Schltdl.,Eryngium sanguisorba,EX,SP_oficial
Apiaceae,Eryngium scirpinum Cham.,Eryngium scirpinum,EN,SP_oficial
Apiaceae,Eryngium stenophyllum Urb.,Eryngium stenophyllum,EX,SP_oficial
Apiaceae,Hydrocotyle exigua (Urb.) Malme,Hydrocotyle exigua,EN,SP_oficial
Apiaceae,Hydrocotyle langsdorffii DC.,Hydrocotyle langsdorffii,EX,SP_oficial
Apiaceae,Hydrocotyle pusilla A.Rich.,Hydrocotyle pusilla,EX,SP_oficial
Apiaceae,Spananthe paniculata Jacq.,Spananthe paniculata,EX,SP_oficial
Apocynaceae,Asclepias aequicornu E.Fourn.,Asclepias aequicornu,EN,SP_oficial
Apocynaceae,Asclepias langsdorfii E.Fourn.,Asclepias langsdorfii,EX,SP_oficial
Apocynaceae,Aspidosperma macrocarpon Mart.,Aspidosperma macrocarpon,VU,SP_oficial
Apocynaceae,Aspidosperma nobile Müll.Arg.,Aspidosperma nobile,CR,SP_oficial
Apocynaceae,Aspidosperma quirandy Hassl.,Aspidosperma quirandy,EN,SP_oficial
Apocynaceae,Aspidosperma riedelii Müll.Arg.,Aspidosperma riedelii,EN,SP_oficial
Apocynaceae,Aspidosperma spruceanum Benth. ex Müll.Arg.,Aspidosperma spruceanum,EN,SP_oficial
