grupao,grupo,familia,especie_original,cat_ameaca_CR_lac,fonte
Flora,Angiospermas,Begoniaceae,Begonia piresiana,CR,CR_Lac
Flora,Angiospermas,Melastomataceae,Bertolonia angustifolia,CR,CR_Lac
Flora,Angiospermas,Melastomataceae,Bertolonia hoehneana,CR,CR_Lac
Flora,Angiospermas,Chrysobalanaceae,Couepia meridionalis,CR,CR_Lac
Flora,Angiospermas,Orchidaceae,Dryadella auriculigera,CR,CR_Lac
Flora,Angiospermas,Orchidaceae,Habenaria brachyplectron,CR,CR_Lac
Flora,Angiospermas,Myrtaceae,Marlierea skortzoviana,CR,CR_Lac
Flora,Angiospermas,Poaceae,Merostachys caucaiana,CR,CR_Lac
Flora,Angiospermas,Poaceae,Merostachys scandens,CR,CR_Lac
Flora,Angiospermas,Orchidaceae,Octomeria wilsoniana,CR,CR_Lac
Flora,Angiospermas,Piperaceae,Peperomia guarujana,CR,CR_Lac
Flora,Angiospermas,Solanaceae,Solanum spissifolium,CR,CR_Lac
