familia,especie_autor,cat_ameaca_br,fonte,especie_original
Acanthaceae,Aphelandra espirito-santensis Profice & Wassh.,EN,Portaria 443/2014,Aphelandra espirito-santensis
Acanthaceae,Aphelandra margaritae E.Morren,VU,Portaria 443/2014,Aphelandra margaritae
Acanthaceae,Aphelandra maximiliana (Nees) Benth.,EN,Portaria 443/2014,Aphelandra maximiliana
Acanthaceae,Dyschoriste lavandulacea (Nees) Kuntze,EN,Portaria 443/2014,Dyschoriste lavandulacea
Acanthaceae,Dyschoriste smithii Leonard,CR,Portaria 443/2014,Dyschoriste smithii
Acanthaceae,Justicia clausseniana (Nees) Profice,EN,Portaria 443/2014,Justicia clausseniana
Acanthaceae,Justicia genuflexa Nees & Mart.,VU,Portaria 443/2014,Justicia genuflexa
Acanthaceae,Justicia paranaensis (Rizzini) Wassh. & L.B.Sm.,EN,Portaria 443/2014,Justicia paranaensis
Acanthaceae,Justicia polita (Nees) Profice,EN,Portaria 443/2014,Justicia polita
Acanthaceae,Justicia ramulosa (Morong) C.Ezcurra,VU,Portaria 443/2014,Justicia ramulosa
Acanthaceae,Justicia tijucensis V.A.W.Graham,VU,Portaria 443/2014,Justicia tijucensis
Acanthaceae,Odontonema dissitiflorum (Nees) Kuntze,EN,Portaria 443/2014,Odontonema dissitiflorum
Acanthaceae,Staurogyne brachiata (Hiern) Leonard,EN,Portaria 443/2014,Staurogyne brachiata
Acanthaceae,Staurogyne carvalhoi Profice,VU,Portaria 443/2014,Staurogyne carvalhoi
Acanthaceae,Staurogyne elegans (Nees) Kuntze,VU,Portaria 443/2014,Staurogyne elegans
Acanthaceae,Staurogyne itatiaiae (Wawra) Leonard,EN,Portaria 443/2014,Staurogyne itatiaiae
Acanthaceae,Staurogyne vauthieriana (Nees) Kuntze,EN,Portaria 443/2014,Staurogyne vauthieriana
Acanthaceae,Staurogyne veronicifolia (Nees) Kuntze,EN,Portaria 443/2014,Staurogyne veronicifolia
Acanthaceae,Staurogyne warmingiana (Hiern) Leonard,EN,Portaria 443/2014,Staurogyne warmingiana
Acanthaceae,Stenandrium hatschbachii Wassh.,EN,Portaria 443/2014,Stenandrium hatschbachii
Acanthaceae,Stenandrium stenophyllum Kameyama,EN,Portaria 443/2014,Stenandrium stenophyllum
Acanthaceae,Streblacanthus dubiosus (Lindau) V.M.Baum,EN,Portaria 443/2014,Streblacanthus dubiosus
Alismataceae,Sagittaria lancifolia L.,VU,Portaria 443/2014,Sagittaria lancifolia
Alstroemeriaceae,Alstroemeria amabilis M.C.Assis,EN,Portaria 443/2014,Alstroemeria amabilis
