familia,especie,cat_ameaca_br,fonte
Acanthaceae,Aphelandra espirito-santensis Profice & Wassh.,EN,Portaria 443/2014
Acanthaceae,Aphelandra margaritae E.Morren,VU,Portaria 443/2014
Acanthaceae,Aphelandra maximiliana (Nees) Benth.,EN,Portaria 443/2014
Acanthaceae,Dyschoriste lavandulacea (Nees) Kuntze,EN,Portaria 443/2014
Acanthaceae,Dyschoriste smithii Leonard,CR,Portaria 443/2014
Acanthaceae,Justicia clausseniana (Nees) Profice,EN,Portaria 443/2014
Acanthaceae,Justicia genuflexa Nees & Mart.,VU,Portaria 443/2014
Acanthaceae,Justicia paranaensis (Rizzini) Wassh. & L.B.Sm.,EN,Portaria 443/2014
Acanthaceae,Justicia polita (Nees) Profice,EN,Portaria 443/2014
Acanthaceae,Justicia ramulosa (Morong) C.Ezcurra,VU,Portaria 443/2014
Acanthaceae,Justicia tijucensis V.A.W.Graham,VU,Portaria 443/2014
Acanthaceae,Odontonema dissitiflorum (Nees) Kuntze,EN,Portaria 443/2014
Acanthaceae,Staurogyne brachiata (Hiern) Leonard,EN,Portaria 443/2014
Acanthaceae,Staurogyne carvalhoi Profice,VU,Portaria 443/2014
Acanthaceae,Staurogyne elegans (Nees) Kuntze,VU,Portaria 443/2014
Acanthaceae,Staurogyne itatiaiae (Wawra) Leonard,EN,Portaria 443/2014
Acanthaceae,Staurogyne vauthieriana (Nees) Kuntze,EN,Portaria 443/2014
Acanthaceae,Staurogyne veronicifolia (Nees) Kuntze,EN,Portaria 443/2014
Acanthaceae,Staurogyne warmingiana (Hiern) Leonard,EN,Portaria 443/2014
Acanthaceae,Stenandrium hatschbachii Wassh.,EN,Portaria 443/2014
Acanthaceae,Stenandrium stenophyllum Kameyama,EN,Portaria 443/2014
Acanthaceae,Streblacanthus dubiosus (Lindau) V.M.Baum,EN,Portaria 443/2014
Alismataceae,Sagittaria lancifolia L.,VU,Portaria 443/2014
Alstroemeriaceae,Alstroemeria amabilis M.C.Assis,EN,Portaria 443/2014
Alstroemeriaceae,Alstroemeria brasiliensis Spreng.,EN,Portaria 443/2014
Alstroemeriaceae,Alstroemeria capixaba M.C.Assis,CR,Portaria 443/2014
Alstroemeriaceae,Alstroemeria caryophyllaea Jacq.,EN,Portaria 443/2014
Alstroemeriaceae,Alstroemeria malmeana Kraenzl.,CR,Portaria 443/2014
Alstroemeriaceae,Alstroemeria orchidioides Meerow,EN,Portaria 443/2014
Alstroemeriaceae,Alstroemeria penduliflora M.C.Assis,EN,Portaria 443/2014
Amaranthaceae,Alternanthera decurrens J.C.Siqueira,EN,Portaria 443/2014
Amaranthaceae,Alternanthera hirtula (Mart.) R.E.Fr.,VU,Portaria 443/2014
Amaranthaceae,Alternanthera januarensis J.C.Siqueira,EN,Portaria 443/2014
Amaranthaceae,Amaranthus rosengurtii Hunz.,EN,Portaria 443/2014
Amaranthaceae,Froelichiella grisea R.E.Fr.,EN,Portaria 443/2014
Amaranthaceae,Gomphrena centrota E.Holzh.,EN,Portaria 443/2014
Amaranthaceae,Gomphrena hatschbachiana Pedersen,EN,Portaria 443/2014
Amaranthaceae,Gomphrena nigricans Mart.,CR,Portaria 443/2014
Amaranthaceae,Gomphrena paranensis R.E.Fr.,VU,Portaria 443/2014
Amaranthaceae,Gomphrena pulchella Mart.,EN,Portaria 443/2014
Amaranthaceae,Gomphrena regeliana Seub.,VU,Portaria 443/2014
Amaranthaceae,Pfaffia argyrea Pedersen,EN,Portaria 443/2014
Amaranthaceae,Pfaffia minarum Pedersen,VU,Portaria 443/2014
Amaranthaceae,Quaternella glabratoides (Suess.) Pedersen,EN,Portaria 443/2014
Amaryllidaceae,Eithea blumenavia (Koch & Bouché) Ravenna,EN,Portaria 443/2014
Amaryllidaceae,Griffinia aracensis Ravenna,CR,Portaria 443/2014
Amaryllidaceae,Griffinia colatinensis Ravenna,CR,Portaria 443/2014
Amaryllidaceae,Griffinia espiritensis Ravenna,EN,Portaria 443/2014
Amaryllidaceae,Griffinia gardneriana (Herb.) Ravenna,EN,Portaria 443/2014
Amaryllidaceae,Griffinia hyacinthina Ker Gawl.,EN,Portaria 443/2014
Amaryllidaceae,Griffinia liboniana Morren,EN,Portaria 443/2014
Amaryllidaceae,Griffinia nocturna Ravenna,CR,Portaria 443/2014
Amaryllidaceae,Griffinia parviflora Ker Gawl.,CR,Portaria 443/2014
Amaryllidaceae,Griffinia paubrasilica Ravenna,CR,Portaria 443/2014
Amaryllidaceae,Habranthus coeruleus (Griseb.) Traub,VU,Portaria 443/2014
