especie_original,cat_ameaca_cncflora,fonte
Abarema cochliacarpos,LC,cncflora_web
Abarema langsdorffii,LC,cncflora_ckan
Abarema obovata,LC,cncflora_web
Abuta selloana,LC,cncflora_web
Abutilon costicalyx,LC,cncflora_web
Abutilon nigricans,CR,cncflora_web
Abutilon venosum,DD,cncflora_web
Acalypha fragilis,CR*,cncflora_ckan
Acanthocladus brasiliensis,LC,cncflora_web
Achatocarpus praecox,LC,cncflora_web
Acianthera aphthosa,LC,cncflora_web
Acianthera auriculata,LC,cncflora_web
Acianthera bragae,LC,cncflora_web
Acianthera crinita,LC,cncflora_web
Acianthera glumacea,LC,cncflora_web
Acianthera papillosa,VU,cncflora_web
Acianthera pectinata,LC,cncflora_web
Acianthera saurocephala,LC,cncflora_web
Acianthera strupifolia,LC,cncflora_web
Acianthera translucida,LC,cncflora_web
Acianthera tricarinata,LC,cncflora_web
Acicarpha tribuloides,LC,cncflora_web
Acroceras excavatum,DD,cncflora_web
Acrocomia emensis,VU,cncflora_web
Adelothecium bogotense,LC,cncflora_web
Adenocalymma paulistarum,LC,cncflora_web
Adenocalymma ubatubense,CR,cncflora_web
Adiantum mynsseniae,EN,cncflora_web
Aechmea bromeliifolia,LC,cncflora_web
Aechmea bromeliifolia var. albobracteata,LC,cncflora_web
Aechmea caudata,LC,cncflora_web
Aechmea cylindrata,LC,cncflora_web
Aechmea distichantha,LC,cncflora_web
Aechmea gracilis,LC,cncflora_web
Aechmea nudicaulis,LC,cncflora_web
Aechmea pectinata,LC,cncflora_web
Aechmea recurvata var. ortgiesii,DD,cncflora_web
Aechmea setigera,LC,cncflora_web
Aechmea vanhoutteana,VU,cncflora_web
Aeschynomene selloi,LC,cncflora_web
Aeschynomene sensitiva var. hispidula,DD,cncflora_web
Agalinis communis,LC,cncflora_web
Agalinis ramulifera,EN,cncflora_web
Agarista chlorantha,LC,cncflora_web
Agarista niederleinii,LC,cncflora_web
Agarista nummularia,LC,cncflora_web
Agarista pulchra,NT,cncflora_ckan
Agenium leptocladum,LC,cncflora_web
Agrimonia parviflora,DD,cncflora_web
Agrostis lenis,VU,cncflora_web
Agrostis longiberbis,EN,cncflora_web
Aiouea acarodomatifera,LC,cncflora_web
Aiouea bracteata,EN,cncflora_ckan
Aiouea piauhyensis,LC,cncflora_web
Aiouea trinervis,LC,cncflora_web
Akrosida macrophylla,DD,cncflora_web
Alatiglossum croesus,CR,cncflora_web
Alatiglossum longipes,LC,cncflora_web
Albizia edwallii,LC,cncflora_web
Albizia niopoides,LC,cncflora_web
Albizia polycephala,LC,cncflora_ckan
Algernonia brasiliensis,VU,cncflora_ckan
Algernonia leandrii,LC,cncflora_ckan
Algernonia riedelii,NT,cncflora_ckan
Allagoptera arenaria,LC,cncflora_web
Allophylus melanophloeus,DD,cncflora_ckan
Allophylus puberulus,LC,cncflora_web
Allophylus semidentatus,LC,cncflora_web
Alophia coerulea,NT,cncflora_web
Alseis involuta,VU,cncflora_web
Alseis latifolia,LC,cncflora_ckan
Alsophila capensis,LC,cncflora_web
Alsophila capensis subsp. polypodioides,LC,cncflora_web
Alstroemeria apertiflora,LC,cncflora_web
Alstroemeria inodora,LC,cncflora_web
Alternanthera decurrens,EN,cncflora_web
Alternanthera micrantha,LC,cncflora_web
Alternanthera paronychioides,LC,cncflora_web
Alternanthera praelonga,LC,cncflora_web
Alternanthera puberula,LC,cncflora_web
Alternanthera reineckii,LC,cncflora_web
Alternanthera sessilis,LC,cncflora_web
Alternanthera tenella,LC,cncflora_web
Amburana cearensis,NT,cncflora_web
Anacardium humile,LC,cncflora_web
Anagallis alternifolia,EN,cncflora_web
Anagallis barbata,EN,cncflora_web
Ananas fritzmuelleri,LC,cncflora_web
Anathallis adenochila,LC,cncflora_web
Anathallis crebrifolia,DD,cncflora_web
Anathallis gehrtii,VU,cncflora_web
Anathallis montipelladensis,LC,cncflora_web
Anathallis radialis,NT,cncflora_web
Andira humilis,LC,cncflora_ckan
Andira vermifuga,LC,cncflora_web
Andropogon carinatus,LC,cncflora_web
Andropogon glaucophyllus,EN,cncflora_web
Andropogon hypogynus,LC,cncflora_web
Anemia organensis,NT,cncflora_web
Anemia trichorhiza,VU,cncflora_web
Anemone decapetala,LC,cncflora_web
Anemone sellowii,LC,cncflora_web
Anemopaegma arvense,EN,cncflora_web
Anetium citrifolium,LC,cncflora_web
Aneura pinguis,LC,cncflora_web
Aniba firmula,LC,cncflora_ckan
Aniba heringeri,LC,cncflora_web
Aniba viridis,LC,cncflora_ckan
Aniseia martinicensis var. ambigua,DD,cncflora_web
Anneliesia cuneata,NT,cncflora_web
Anneliesia kayasimae,CR,cncflora_web
Anneliesia russelliana,NT,cncflora_web
Annona cacans,LC,cncflora_web
Annona coriacea,LC,cncflora_web
Annona dioica,LC,cncflora_web
Annona dolabripetala,LC,cncflora_ckan
Annona emarginata,LC,cncflora_web
Annona glabra,LC,cncflora_web
Annona malmeana,DD,cncflora_web
Annona maritima,VU,cncflora_web
Annona monticola,LC,cncflora_web
Annona neosericea,LC,cncflora_ckan
Annona sylvatica,LC,cncflora_ckan
Annona ubatubensis,EN,cncflora_web
Annona xylopiifolia,NT,cncflora_web
Anomospermum reticulatum subsp. nitidum,DD,cncflora_web
Anthurium fontellanus,DD,cncflora_web
Anthurium jureianum,VU,cncflora_web
Anthurium langsdorffii,EN,cncflora_web
Anthurium longifolium,LC,cncflora_web
Anthurium organense,NT,cncflora_web
Anthurium parasiticum,LC,cncflora_web
Aosa parviflora,LC,cncflora_web
Aphelandra longiflora,LC,cncflora_web
Aphelandra prismatica,LC,cncflora_web
Aphelandra schottiana,LC,cncflora_web
Aphelandra squarrosa,LC,cncflora_web
Apinagia riedelii,LC,cncflora_web
Apium prostratum,LC,cncflora_web
Apoclada simplex,EN,cncflora_web
Apteria aphylla,LC,cncflora_web
Apuleia leiocarpa,VU,cncflora_web
Aralia warmingiana,LC,cncflora_web
Araucaria angustifolia,EN,cncflora_web
Aristida brasiliensis,EN,cncflora_web
Aristida laevis,LC,cncflora_web
Aristida oligospira,LC,cncflora_web
Aristida sanctae-luciae,DD,cncflora_web
Aristolochia cymbifera,LC,cncflora_web
Aristolochia labiata,LC,cncflora_web
Aristolochia odora,VU,cncflora_web
Aristolochia odoratissima,LC,cncflora_web
Aristolochia wendeliana,LC,cncflora_web
Arthrocereus melanurus subsp. melanurus,EN,cncflora_web
Arthropogon villosus,LC,cncflora_web
Arthropogon xerachne,CR,cncflora_web
Arundinella deppeana,VU,cncflora_web
Asclepias aequicornu,LC,cncflora_web
Asclepias langsdorffii,LC,cncflora_web
Asclepias mellodora,LC,cncflora_web
Aspasia lunata,LC,cncflora_web
Aspidogyne kuczynskii,LC,cncflora_web
Aspidosperma australe,LC,cncflora_web
Aspidosperma camporum,LC,cncflora_ckan
Aspidosperma cylindrocarpon,LC,cncflora_web
Aspidosperma polyneuron,NT,cncflora_web
Aspidosperma ramiflorum,LC,cncflora_web
Aspidosperma riedelii,LC,cncflora_web
Aspidosperma tomentosum,LC,cncflora_web
Aspilia clausseniana,LC,cncflora_web
Aspilia floribunda,LC,cncflora_web
Asplenium austrobrasiliense,NT,cncflora_web
Asplenium bradeanum,EN,cncflora_web
Asplenium campos-portoi,NT,cncflora_web
Asplenium lacinulatum,LC,cncflora_web
Asplenium muellerianum,LC,cncflora_web
Asplenium praemorsum,LC,cncflora_web
Asplenium ulbrichtii,LC,cncflora_web
Asplenium wacketii,LC,cncflora_web
Asplundia polymera,LC,cncflora_web
Asplundia polymera subsp. reitzii,VU,cncflora_web
Asterella venosa,LC,cncflora_web
Asterostigma cubense,DD,cncflora_web
Asterostigma lividum,LC,cncflora_web
Astraea lobata,LC,cncflora_web
Astrocaryum aculeatissimum,LC,cncflora_web
Astronium graveolens,LC,cncflora_web
Attalea brasiliensis,EN,cncflora_web
Attalea oleifera,LC,cncflora_web
Attalea phalerata,LC,cncflora_web
Aulonemia aristulata,LC,cncflora_web
Aureliana cuspidata,LC,cncflora_ckan
Aureliana fasciculata,LC,cncflora_web
Aureliana sellowiana,EN,cncflora_ckan
Aureliana tomentosa,LC,cncflora_ckan
Aureliana wettsteiniana,LC,cncflora_ckan
Austrocritonia angulicaulis,LC,cncflora_web
Axonopus aureus,LC,cncflora_web
Axonopus chrysoblepharis,LC,cncflora_web
Axonopus comans,LC,cncflora_web
Axonopus complanatus,LC,cncflora_web
Axonopus fastigiatus,VU,cncflora_web
Axonopus monticola,EN,cncflora_web
Axonopus pressus,LC,cncflora_web
Axonopus ramboi,EN,cncflora_web
Axonopus uninodis,CR,cncflora_web
Azara uruguayensis,NT,cncflora_web
Baccharis brevifolia,LC,cncflora_web
Baccharis grandimucronata,LC,cncflora_web
Baccharis megapotamica,LC,cncflora_web
Baccharis paranensis,NT,cncflora_web
Baccharis sagittalis,LC,cncflora_web
Baccharis sphenophylla,NT,cncflora_web
Baccharis xiphophylla,LC,cncflora_web
Bacopa congesta,LC,cncflora_web
Bactris hatschbachii,LC,cncflora_web
Balfourodendron riedelianum,NT,cncflora_web
Banara parviflora,LC,cncflora_ckan
Banara serrata,LC,cncflora_ckan
Banisteriopsis basifixa,VU,cncflora_web
Banisteriopsis parviflora,NT,cncflora_web
Baptistonia cornigera,LC,cncflora_web
Baptistonia lietzei,LC,cncflora_web
Baptistonia sarcodes,NT,cncflora_web
Baptistonia venusta,LC,cncflora_web
Barbacenia gounelleana,EN,cncflora_web
Barbacenia paranaensis,EN,cncflora_web
Barbosella dusenii,NT,cncflora_web
Barjonia erecta,LC,cncflora_web
Barnebya dispar,NT,cncflora_ckan
Barrosoa apiculata,LC,cncflora_web
Bathysa australis,LC,cncflora_web
Bathysa cuspidata,LC,cncflora_web
Bathysa gymnocarpa,LC,cncflora_ckan
Bathysa mendoncaei,LC,cncflora_ckan
Bauhinia cheilantha,LC,cncflora_ckan
Bauhinia longifolia,LC,cncflora_ckan
Bauhinia marginata,DD,cncflora_web
Begonia brevilobata,DD,cncflora_web
Begonia fruticosa,LC,cncflora_web
Begonia handroi,EN,cncflora_web
Begonia hirtella,LC,cncflora_web
Begonia hispida,LC,cncflora_web
Begonia huegelii,LC,cncflora_web
Begonia integerrima,LC,cncflora_web
Begonia itatinensis,EN,cncflora_web
Begonia jureiensis,CR,cncflora_web
Begonia larorum,CR,cncflora_web
Begonia organensis,EN,cncflora_web
Begonia paranaensis,EN,cncflora_web
Begonia paulensis,EN,cncflora_web
Begonia perdusenii,EN,cncflora_web
Begonia piresiana,CR,cncflora_web
Begonia radicans,LC,cncflora_web
Begonia rufa,LC,cncflora_web
Begonia salesopolensis,CR,cncflora_web
Begonia toledoana,EN,cncflora_web
Begonia undulata,EN,cncflora_web
Begonia valdensium,LC,cncflora_web
Begonia venosa,CR,cncflora_web
Begonia vicina,EN,cncflora_web
Behuria insignis,NT,cncflora_ckan
Beilschmiedia emarginata,LC,cncflora_ckan
Beilschmiedia fluminensis,EN,cncflora_ckan
Bernardia confertifolia,EN,cncflora_web
Bertolonia angustifolia,CR,cncflora_web
Bertolonia hoehneana,CR,cncflora_web
Bertolonia leuzeana,EN,cncflora_web
Bertolonia paranaensis,EN,cncflora_web
Bidens bipinnata,LC,cncflora_web
Bifrenaria aureofulva,LC,cncflora_web
Bifrenaria harrisoniae,LC,cncflora_web
Bifrenaria inodora,LC,cncflora_web
Bifrenaria leucorrhoda,LC,cncflora_web
Bifrenaria racemosa,LC,cncflora_web
Bifrenaria tetragona,LC,cncflora_web
Billbergia distachia,LC,cncflora_web
Billbergia meyeri,LC,cncflora_web
Billbergia nutans,LC,cncflora_web
Billbergia pyramidalis,DD,cncflora_web
Billbergia zebrina,LC,cncflora_web
Bixa arborea,LC,cncflora_web
Blechnum organense,NT,cncflora_web
Blechnum penna-marina,LC,cncflora_web
Blepharocalyx salicifolius,LC,cncflora_web
Blepharodon bicuspidatum,LC,cncflora_web
Blotiella lindeniana,LC,cncflora_web
Blumenbachia eichleri,NT,cncflora_web
Blumenbachia scabra,LC,cncflora_web
Blutaparon portulacoides,LC,cncflora_web
Bonamia burchellii,LC,cncflora_web
Boopis bupleuroides,EN,cncflora_web
Boopis itatiaiae,EN,cncflora_web
Borreria paulista,VU,cncflora_web
Borreria pulchristipula,DD,cncflora_web
Borreria remota,LC,cncflora_web
Bothriochloa laguroides,VU,cncflora_web
Botrychium virginianum,LC,cncflora_web
Bouchea fluminensis,LC,cncflora_web
Bowdichia virgilioides,NT,cncflora_web
Brachionidium restrepioides,VU,cncflora_web
Brachymenium hornschunchianum,LC,cncflora_web
Brasilidium concolor,LC,cncflora_web
Brasilidium crispum,LC,cncflora_web
Brasilidium gravesianum,LC,cncflora_web
Brasilidium marshallianum,CR,cncflora_web
Brasilidium pectorale,CR,cncflora_web
Brasilidium praetextum,LC,cncflora_web
Brasiliopuntia brasiliensis,LC,cncflora_web
Brasiliorchis consanguinea,NT,cncflora_web
Brasiliorchis phoenicanthera,LC,cncflora_web
Brasiliorchis schunkeana,EN,cncflora_web
Briza brasiliensis,EN,cncflora_web
Briza itatiaiae,EN,cncflora_web
Bromelia balansae,LC,cncflora_web
Bromeliophila natans,EN,cncflora_web
Brosimum glaziovii,LC,cncflora_web
Brosimum lactescens,LC,cncflora_web
Bryopteris diffusa,LC,cncflora_web
Bryopteris filicina,LC,cncflora_web
Buchenavia hoehneana,NT,cncflora_ckan
Buchenavia iguaratensis,LC,cncflora_web
Buchenavia kleinii,LC,cncflora_web
Buchenavia pabstii,VU,cncflora_web
Buchenavia rabelloana,VU,cncflora_web
Buchnera amethystina,LC,cncflora_web
Buchnera integrifolia,LC,cncflora_web
Buchnera juncea,LC,cncflora_web
Buchnera longifolia,LC,cncflora_web
Buddleja speciosissima,VU,cncflora_web
Bulbophyllum campos-portoi,LC,cncflora_web
Bulbophyllum cantagallense,LC,cncflora_web
Bulbophyllum chloroglossum,LC,cncflora_web
Bulbophyllum exaltatum,LC,cncflora_web
Bulbophyllum gladiatum,LC,cncflora_web
Bulbophyllum plumosum,LC,cncflora_web
Bulbophyllum tripetalum,LC,cncflora_web
Bulbostylis fendleri,LC,cncflora_web
Bulbostylis loefgrenii,LC,cncflora_web
Bunchosia maritima,LC,cncflora_web
Bunchosia pallescens,LC,cncflora_web
Burmannia aprica,DD,cncflora_web
Burmannia bicolor,LC,cncflora_web
Burmannia damazii,LC,cncflora_web
Burmannia flava,LC,cncflora_web
Butia microspadix,VU,cncflora_web
Butia paraguayensis,LC,cncflora_web
Byrsonima affinis,LC,cncflora_ckan
Byrsonima brachybotrya,VU,cncflora_web
Byrsonima coccolobifolia,LC,cncflora_web
Byrsonima cydoniifolia,LC,cncflora_ckan
Byrsonima ligustrifolia,LC,cncflora_ckan
Byrsonima myricifolia,LC,cncflora_ckan
Byrsonima perseifolia,LC,cncflora_ckan
Byrsonima rigida,LC,cncflora_web
Byrsonima salzmanniana,LC,cncflora_ckan
Byrsonima variabilis,LC,cncflora_web
Byttneria catalpifolia subsp. sidaefolia,LC,cncflora_web
Byttneria oblongata,LC,cncflora_web
Byttneria scabra,LC,cncflora_web
Cabomba aquatica,LC,cncflora_web
Cabomba caroliniana,LC,cncflora_web
Cabomba furcata,LC,cncflora_web
Calathea aemula,NT,cncflora_web
Calathea cylindrica,LC,cncflora_web
Calathea longibracteata,LC,cncflora_web
Calathea monophylla,LC,cncflora_web
Calathea zebrina,LC,cncflora_web
Calea acaulis,VU,cncflora_web
Calea clausseniana,LC,cncflora_web
Calea cymosa,LC,cncflora_web
Calea gentianoides,VU,cncflora_web
Calea lantanoides,LC,cncflora_web
Calea polycephala,NT,cncflora_web
Calea serrata,LC,cncflora_web
Calliandra foliolosa,LC,cncflora_ckan
Callianthe latipetala,EN,cncflora_ckan
Callisia monandra,LC,cncflora_web
Callisthene castellanosii,"NT, quase chegando à VU",cncflora_ckan
Callisthene minor,LC,cncflora_ckan
Calyptranthes concinna,LC,cncflora_web
Calyptranthes dryadica,DD,cncflora_web
Calyptranthes fusiformis,VU,cncflora_web
Calyptranthes glazioviana,EN,cncflora_ckan
Calyptranthes grandiflora,LC,cncflora_ckan
Calyptranthes hatschbachii,EN,cncflora_web
Calyptranthes obovata,LC,cncflora_ckan
Calyptranthes obversa,CR,cncflora_ckan
Calyptranthes pileata,VU,cncflora_ckan
Calyptranthes rubella,NT,cncflora_ckan
Calyptranthes rufa,LC,cncflora_ckan
Calyptranthes ubatubana,VU,cncflora_ckan
Camarea affinis,LC,cncflora_web
Camarea ericoides,LC,cncflora_web
Camarea hirsuta,LC,cncflora_web
Camaridium micranthum,LC,cncflora_web
Cambessedesia weddellii,VU,cncflora_web
Campomanesia eugenioides,LC,cncflora_web
Campomanesia neriiflora,LC,cncflora_web
Campomanesia phaea,LC,cncflora_web
Campomanesia pubescens,LC,cncflora_web
Campomanesia schlechtendaliana,LC,cncflora_web
Campomanesia sessiliflora,LC,cncflora_web
Campomanesia simulans,NT,cncflora_ckan
Campomanesia xanthocarpa,LC,cncflora_web
Campuloclinium parvulum,VU,cncflora_web
Campylocentrum crassirhizum,LC,cncflora_web
Campylocentrum densiflorum,LC,cncflora_web
Campylocentrum parahybunense,LC,cncflora_web
Campyloneurum decurrens,LC,cncflora_web
Campylopus densicoma,EN,cncflora_web
Canastra aristella,LC,cncflora_web
Canistropsis microps,LC,cncflora_web
Capanemia adelaidae,LC,cncflora_web
Capanemia fluminensis,DD,cncflora_web
Capanemia micromera,LC,cncflora_web
Capanemia superflua,LC,cncflora_web
Capanemia thereziae,LC,cncflora_web
Caperonia buettneriacea,VU,cncflora_web
Caperonia palustris,LC,cncflora_web
