familia,especie_autor,especie,cat_ameaca_sp
Acanthaceae,Aphelandra squarrosa Nees,Aphelandra squarrosa,EW
Acanthaceae,Lepidagathis meridionalis Kameyama,Lepidagathis meridionalis,VU
Acanthaceae,Staurogyne itatiaiae (Wawra) Leonard,Staurogyne itatiaiae,EN
Acanthaceae,Stenandrium diphyllum Nees,Stenandrium diphyllum,EX
Acanthaceae,Stenandrium mandioccanum Nees,Stenandrium mandioccanum,VU
Alismataceae,Echinodorus paniculatus Micheli,Echinodorus paniculatus,EX
Alismataceae,Limnocharis laforestii Duchass,Limnocharis laforestii,VU
Alstroemeriaceae,Alstroemeria apertiflora Baker,Alstroemeria apertiflora,EN
Alstroemeriaceae,Alstroemeria caryophyllaea Jacq.,Alstroemeria caryophyllaea,EW
Alstroemeriaceae,Alstroemeria foliosa Mart.ex Schult & Schult. f.,Alstroemeria foliosa,EN
Alstroemeriaceae,Alstroemeria plantaginea Mart. ex Schult & Schult. f.,Alstroemeria plantaginea,EN
Amaranthaceae,Alternanthera aquatica (D. Parodi) Chodat,Alternanthera aquatica,VU
Amaranthaceae,Alternanthera bahiensis Pedersen,Alternanthera bahiensis,VU
Amaranthaceae,Alternanthera flavescens Kunth,Alternanthera flavescens,VU
Amaranthaceae,Alternanthera micrantha R.E. Fr.,Alternanthera micrantha,VU
Amaranthaceae,Alternanthera paronychioides A.St.-Hil.,Alternanthera paronychioides,EX
Amaranthaceae,Alternanthera reinekii Briq.,Alternanthera reinekii,VU
Amaranthaceae,Alternanthera lanceolata (Benth.) Schinz,Alternanthera lanceolata,VU
Amaranthaceae,Gomphrena agrestis Mart.,Gomphrena agrestis,VU
Amaranthaceae,Gomphrena elegans Mart.,Gomphrena elegans,VU
Amaranthaceae,Herbstia brasiliana (Moq.) Sohmer,Herbstia brasiliana,EX
Amaranthaceae,Quaternella glabratoides (Suess.) Pedersen,Quaternella glabratoides,EN
Amaryllidaceae,Crinum americanum L.,Crinum americanum,VU
Amaryllidaceae,Eithea blumenavia (K.Koch & C.D.Bouché ex Carrière) Ravenna,Eithea blumenavia,EN
Amaryllidaceae,Griffinia hyacinthina Ker Gawl.,Griffinia hyacinthina,EN
Amaryllidaceae,Hippeastrum angustifolium Pax,Hippeastrum angustifolium,EW
Amaryllidaceae,Hippeastrum blossfeldiae (Traub & L.J.Doran) van Scheepen,Hippeastrum blossfeldiae,VU
Amaryllidaceae,Hippeastrum morelianum Lem.,Hippeastrum morelianum,VU
Amaryllidaceae,Hippeastrum psittacinum (Ker Gawl.) Herb.,Hippeastrum psittacinum,EN
Amaryllidaceae,Hippeastrum reginae (L.) Herb.,Hippeastrum reginae,EN
Amaryllidaceae,Hippeastrum striatum (Lam.) Moore,Hippeastrum striatum,EN
Amaryllidaceae,Zephyranthes candida (Lindl.) Herb.,Zephyranthes candida,EN
Annonaceae,Annona glaucophylla R.E.Fr.,Annona glaucophylla,EX
Annonaceae,Annona ubatubensis (Maas & Westra) H.Rainer,Annona ubatubensis,EN
Annonaceae,Annona xylopiifolia A.St.-Hil. & Tul.,Annona xylopiifolia,EX
Annonaceae,Duguetia salicifolia R.E.Fr.,Duguetia salicifolia,VU
Annonaceae,Trigynaea oblongifolia Schltdl.,Trigynaea oblongifolia,EN
Apiaceae,Apium prostratum Labill.,Apium prostratum,VU
Apiaceae,Eryngium glaziovianum Urb.,Eryngium glaziovianum,EX
Apiaceae,Eryngium koehneanum Urb.,Eryngium koehneanum,EN
Apiaceae,Eryngium sanguisorba Cham. & Schltdl.,Eryngium sanguisorba,EX
Apiaceae,Eryngium scirpinum Cham.,Eryngium scirpinum,EN
Apiaceae,Eryngium stenophyllum Urb.,Eryngium stenophyllum,EX
Apiaceae,Hydrocotyle exigua (Urb.) Malme,Hydrocotyle exigua,EN
Apiaceae,Hydrocotyle langsdorffii DC.,Hydrocotyle langsdorffii,EX
Apiaceae,Hydrocotyle pusilla A.Rich.,Hydrocotyle pusilla,EX
Apiaceae,Spananthe paniculata Jacq.,Spananthe paniculata,EX
Apocynaceae,Asclepias aequicornu E.Fourn.,Asclepias aequicornu,EN
Apocynaceae,Asclepias langsdorfii E.Fourn.,Asclepias langsdorfii,EX
Apocynaceae,Aspidosperma macrocarpon Mart.,Aspidosperma macrocarpon,VU
Apocynaceae,Aspidosperma nobile Müll.Arg.,Aspidosperma nobile,CR
Apocynaceae,Aspidosperma quirandy Hassl.,Aspidosperma quirandy,EN
Apocynaceae,Aspidosperma riedelii Müll.Arg.,Aspidosperma riedelii,EN
Apocynaceae,Aspidosperma spruceanum Benth. ex Müll.Arg.,Aspidosperma spruceanum,EN
Apocynaceae,Ditassa lagoensis E.Fourn.,Ditassa lagoensis,EX
Apocynaceae,Macroditassa marianae Fontella & Ferreira,Macroditassa marianae,EN
Apocynaceae,Macroscepis magnifica Malme,Macroscepis magnifica,EX
Apocynaceae,Mandevilla fragrans (Staldem.) Woodson,Mandevilla fragrans,EX
Apocynaceae,Mandevilla sellowii (Müll.Arg.) Woodson,Mandevilla sellowii,EX
Apocynaceae,Mandevilla venulosa (Müll.Arg.) Woodson,Mandevilla venulosa,VU
Apocynaceae,Matelea glaziovii (E.Fourn.) Morillo,Matelea glaziovii,VU
Apocynaceae,Matelea marcoassisii Fontella,Matelea marcoassisii,VU
Apocynaceae,Oxypetalum confusum Malme,Oxypetalum confusum,EX
