especie_original,cat_ameaca_iucn,fonte
Abarema cochliocarpos,LC,UICN_API
Abarema langsdorffii,LC,UICN_API
Abarema obovata,VU,UICN_API
Acacia riparia,LC,UICN_API
Acalypha fragilis,CR,UICN_API
Acalypha macrostachya,LC,UICN_API
Acalypha villosa,LC,UICN_API
Acca sellowiana,LC,UICN_API
Achatocarpus praecox,LC,UICN_API
Acianthera saundersiana,LC,UICN_API
Acmella uliginosa,LC,UICN_API
Acroceras zizanioides,LC,UICN_API
Acrostichum aureum,LC,UICN_API
Acrostichum danaeifolium,LC,UICN_API
Actinostemon concolor,LC,UICN_API
Actinostemon klotzschii,LC,UICN_API
Actinostemon verticillatus,LC,UICN_API
Aegiphila brachiata,LC,UICN_API
Aegiphila fluminensis,LC,UICN_API
Aegiphila integrifolia,LC,UICN_API
Aegiphila mediterranea,LC,UICN_API
Aegiphila obducta,LC,UICN_API
Aegiphila verticillata,LC,UICN_API
Aegiphila vitelliniflora,LC,UICN_API
Aeschynomene brasiliana,LC,UICN_API
Aeschynomene brevipes,LC,UICN_API
Aeschynomene ciliata,LC,UICN_API
Aeschynomene marginata,LC,UICN_API
Aeschynomene racemosa,LC,UICN_API
Agarista oleifolia,LC,UICN_API
Agonandra brasiliensis,LC,UICN_API
Aiouea acarodomatifera,LR/lc,UICN_API
Aiouea bracteata,EN,UICN_API
Aiouea glaziovii,LC,UICN_API
Aiouea saligna,LC,UICN_API
Albizia carbonaria,LC,UICN_API
Albizia edwallii,LC,UICN_API
Albizia edwarllii,VU,UICN_API
Albizia inundata,LC,UICN_API
Albizia niopoides,LC,UICN_API
Albizia polycephala,LC,UICN_API
Alchornea glandulosa,LC,UICN_API
Alchornea triplinervia,LC,UICN_API
Algernonia brasiliensis,VU,UICN_API
Algernonia riedelii,NT,UICN_API
Allophylus edulis,LC,UICN_API
Allophylus racemosus,LC,UICN_API
Alseis floribunda,LC,UICN_API
Alseis latifolia,LC,UICN_API
Alternanthera sessilis,LC,UICN_API
Amaioua guianensis,LC,UICN_API
Amazona brasiliensis,NT,UICN_API
Ambrosia maritima,LC,UICN_API
Amburana cearensis,EN,UICN_API
Amphirrhox longifolia,LC,UICN_API
Anathallis guimaraensii,VU,UICN_API
Andira anthelmia,LC,UICN_API
Andira fraxinifolia,LC,UICN_API
Andira humilis,LC,UICN_API
Andira ormosioides,LC,UICN_API
Andira vermifuga,LC,UICN_API
Anemia candidoi,DD,UICN_API
Aniba viridis,LC,UICN_API
Aniseia martinicensis,LC,UICN_API
Annona cacans,LC,UICN_API
Annona crassiflora,LC,UICN_API
Annona dioica,LC,UICN_API
Annona dolabripetala,LC,UICN_API
Annona emarginata,LC,UICN_API
Annona glabra,LC,UICN_API
Annona maritima,LC,UICN_API
Annona montana,LC,UICN_API
Annona neosalicifolia,LC,UICN_API
Annona neosericea,LC,UICN_API
Annona nutans,LC,UICN_API
Annona reticulata,LC,UICN_API
Annona rugulosa,LC,UICN_API
Annona sylvatica,LC,UICN_API
Annona ubatubensis,LR/nt,UICN_API
Annona xylopiifolia,LR/nt,UICN_API
Anthodon decussatum,LC,UICN_API
Anthurium sinuatum,LC,UICN_API
Aparisthmium cordatum,LC,UICN_API
Apeiba tibourbou,LC,UICN_API
Apinagia fluitans,DD,UICN_API
Aralia warmingiana,LC,UICN_API
Araucaria angustifolia,CR,UICN_API
Ardisia guianensis,LC,UICN_API
Arthrocereus melanurus,VU,UICN_API
Arundo donax,LC,UICN_API
Aspidosperma australe,LC,UICN_API
Aspidosperma camporum,LC,UICN_API
Aspidosperma compactinervium,DD,UICN_API
Aspidosperma cuspa,LC,UICN_API
Aspidosperma cylindrocarpon,LC,UICN_API
Aspidosperma ingratum,DD,UICN_API
Aspidosperma multiflorum,LC,UICN_API
Aspidosperma polyneuron,EN,UICN_API
Aspidosperma pyricollum,LC,UICN_API
Aspidosperma ramiflorum,LC,UICN_API
Aspidosperma subincanum,LC,UICN_API
Aspidosperma tomentosum,LC,UICN_API
Asplenium formosum,LC,UICN_API
Astrocaryum aculeatissimum,LR/lc,UICN_API
Astronium urundeuva,DD,UICN_API
Attalea oleifera,LR/lc,UICN_API
Aureliana fasciculata,LR/cd,UICN_API
Avena strigosa,DD,UICN_API
Avicennia germinans,LC,UICN_API
Avicennia schaueriana,LC,UICN_API
Axonopus scoparius,LC,UICN_API
Baccharis oreophila,LC,UICN_API
Baccharis punctulata,LC,UICN_API
Bacopa monnieri,LC,UICN_API
Balfourodendron riedelianum,EN,UICN_API
Banara tomentosa,LC,UICN_API
Bathysa mendoncaei,LC,UICN_API
Bathysa stipulata,LC,UICN_API
Bauhinia cheilantha,LC,UICN_API
Bauhinia forficata,LC,UICN_API
Bauhinia longifolia,LC,UICN_API
Bauhinia pentandra,LC,UICN_API
Bauhinia ungulata,LC,UICN_API
Bauhinia variegata,LC,UICN_API
Behuria insignis,NT,UICN_API
Beilschmiedia emarginata,LC,UICN_API
Beilschmiedia fluminensis,EN,UICN_API
Bixa arborea,LC,UICN_API
Bixa orellana,LC,UICN_API
Bixa urucurana,LC,UICN_API
Boehmeria caudata,LC,UICN_API
Boehmeria cylindrica,LC,UICN_API
Boehmeria ulmifolia,LC,UICN_API
Bougainvillea glabra,LC,UICN_API
Bowdichia virgilioides,LC,UICN_API
Brachiaria mutica,LC,UICN_API
Brasiliopuntia brasiliensis,LC,UICN_API
Bredemeyera floribunda,LC,UICN_API
Bredemeyera hebeclada,LC,UICN_API
Brosimum glaziovii,EN,UICN_API
Brosimum guianense,LC,UICN_API
Brosimum lactescens,LC,UICN_API
Brugmansia suaveolens,EW,UICN_API
Brunfelsia pauciflora,LC,UICN_API
Brunfelsia uniflora,LC,UICN_API
Bulbophyllum regnellii,LC,UICN_API
Bulbostylis capillaris,LC,UICN_API
Bunchosia glandulifera,LC,UICN_API
Bunchosia pallescens,LC,UICN_API
Byrsonima basiloba,LC,UICN_API
Byrsonima coccolobifolia,LC,UICN_API
Byrsonima crassifolia,LC,UICN_API
Byrsonima cydoniifolia,LC,UICN_API
Byrsonima guilleminiana,LC,UICN_API
Byrsonima lancifolia,LC,UICN_API
Byrsonima laxiflora,LC,UICN_API
Byrsonima myricifolia,LC,UICN_API
Byrsonima pachyphylla,LC,UICN_API
Byrsonima perseifolia,LC,UICN_API
Byrsonima sericea,LC,UICN_API
Byrsonima variabilis,LC,UICN_API
Byrsonima verbascifolia,LC,UICN_API
Cabralea canjerana,LC,UICN_API
Caesalpinia pulcherrima,LC,UICN_API
Calliandra parvifolia,LC,UICN_API
Calliandra tweediei,LC,UICN_API
Callianthe rufinerva,LC,UICN_API
Callisthene fasciculata,LC,UICN_API
Calophyllum brasiliense,LC,UICN_API
Calycorectes acutatus,LC,UICN_API
Calyptranthes grandifolia,LC,UICN_API
Calyptranthes strigipes,LC,UICN_API
Calyptranthes widgreniana,LC,UICN_API
Campomanesia guazumifolia,LC,UICN_API
Campomanesia neriiflora,VU,UICN_API
Campomanesia phaea,VU,UICN_API
Campomanesia schlechtendaliana var. schlechtendaliana,VU,UICN_API
Campomanesia sessiliflora var. sessiliflora,EN,UICN_API
Campomanesia simulans,NT,UICN_API
Campylocentrum spannagelii,DD,UICN_API
Capparidastrum frondosum,LC,UICN_API
Cardiospermum halicacabum,LC,UICN_API
Cariniana legalis,VU,UICN_API
Caryocar brasiliense,LC,UICN_API
Casearia aculeata,LC,UICN_API
Casearia arborea,LC,UICN_API
Casearia grandiflora,LC,UICN_API
Casearia lasiophylla,DD,UICN_API
Casearia mariquitensis,LC,UICN_API
Casearia obliqua,LC,UICN_API
Casearia paranaensis,NT,UICN_API
Casearia rupestris,LC,UICN_API
Casearia selloana,LC,UICN_API
Casearia sylvestris,LC,UICN_API
Cassia ferruginea,LC,UICN_API
Cassia grandis,LC,UICN_API
Cassia leptophylla,LC,UICN_API
Cecropia hololeuca,LC,UICN_API
Cedrela fissilis,VU,UICN_API
Cedrela odorata,VU,UICN_API
Ceiba erianthos,LC,UICN_API
Ceiba pentandra,LC,UICN_API
Celosia argentea,LC,UICN_API
Celtis chichape,LC,UICN_API
Celtis ehrenbergiana,LC,UICN_API
Celtis iguanaea,LC,UICN_API
Cenchrus latifolius,LC,UICN_API
Centrolobium microchaete,LC,UICN_API
Centrosema arenarium,LC,UICN_API
Centrosema macrocarpum,LC,UICN_API
Ceratophyllum demersum,LC,UICN_API
Ceratopteris thalictroides,LC,UICN_API
Cereus fernambucensis,LC,UICN_API
Cereus hildmannianus,LC,UICN_API
Cestrum axillare,LC,UICN_API
Cestrum bracteatum,LC,UICN_API
Cestrum intermedium,LC,UICN_API
Cestrum mariquitense,LC,UICN_API
Cestrum schlechtendahlii,LC,UICN_API
Cestrum strigilatum,LC,UICN_API
Cestrum subpulverulentum,LC,UICN_API
Chaetocalyx scandens,LC,UICN_API
Chamaecrista desvauxii,LC,UICN_API
Chamaecrista ensiformis,LC,UICN_API
Chamaecrista glandulosa,LC,UICN_API
Chamaecrista setosa,LC,UICN_API
Chamaecrista trachycarpa,LC,UICN_API
Chamaecrista viscosa,LC,UICN_API
Cheiloclinium cognatum,LC,UICN_API
Chiococca alba,LC,UICN_API
Chionanthus filiformis,LR/nt,UICN_API
Chloroleucon tenuiflorum,LC,UICN_API
Chloroleucon tortum,CR,UICN_API
Chomelia brasiliana,LC,UICN_API
Chomelia paniculata,LC,UICN_API
Chomelia parvifolia,LC,UICN_API
Chomelia pedunculosa,LC,UICN_API
Chomelia pohliana,LC,UICN_API
Chomelia randioides,EN,UICN_API
Chrysobalanus icaco,LC,UICN_API
Chrysophyllum flexuosum,LR/cd,UICN_API
Chrysophyllum gonocarpum,LC,UICN_API
Chrysophyllum imperiale,EN,UICN_API
Chrysophyllum inornatum,LR/cd,UICN_API
Chrysophyllum marginatum,LC,UICN_API
Chrysophyllum viride,LR/nt,UICN_API
Chusquea bambusoides,LC,UICN_API
Citronella gongonha,LC,UICN_API
Cladium mariscus,LC,UICN_API
Clarisia ilicifolia,LC,UICN_API
Clarisia racemosa,LC,UICN_API
Cleistes ionoglossa,LC,UICN_API
Clethra scabra,LC,UICN_API
Clidemia capitellata,LC,UICN_API
Clidemia dentata,LC,UICN_API
Clusia lanceolata,LC,UICN_API
Cnidoscolus oligandrus,LC,UICN_API
Cnidoscolus urens,LC,UICN_API
Coccoloba declinata,LC,UICN_API
Coccoloba glaziovii,LC,UICN_API
Coccoloba mollis,LC,UICN_API
Coccoloba striata,LC,UICN_API
