id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,NA.,threat.status,notes,original.search,life.form,habitat,vegetation.type,vernacular.name,occurrence,establishment,domain,endemism
82539,Abarema adenophora (Ducke) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema adenophora,Abarema adenophora,s.i.,,Abarema adenophora,Árvore,Terrícola,Floresta de Terra Firme,s.i.,BR-AC|BR-AM|BR-PA,native,Amazônia,Não endemica
82541,Abarema auriculata (Benth.) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema auriculata,Abarema auriculata,s.i.,,Abarema auriculata,Arbusto|Árvore,Terrícola,Campinarana|Floresta de Terra Firme,s.i.,BR-AC|BR-AM|BR-PA,native,Amazônia,Não endemica
82542,Abarema barbouriana (Standl.) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema barbouriana,Abarema barbouriana,s.i.,,Abarema barbouriana,Árvore,Terrícola,Campinarana|Savana Amazônica,s.i.,BR-AM|BR-PA,native,Amazônia,Não endemica
82545,Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema campestris,Abarema campestris,s.i.,,Abarema campestris,Arbusto|Árvore,Terrícola,Campinarana|Floresta de Terra Firme,s.i.,BR-AM|BR-PA,native,Amazônia,Endemica
82546,Abarema cochleata (Willd.) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema cochleata,Abarema cochleata,s.i.,,Abarema cochleata,Árvore,Terrícola,Área Antrópica|Campinarana|Floresta de Terra Firme|Savana Amazônica,s.i.,BR-AM|BR-MA|BR-MT|BR-PA,native,Amazônia,Endemica
82547,Abarema cochleata var. moniliformis (Ducke) Barneby & J.W.Grimes,s.i.,Fabaceae,variety,accepted,Abarema cochleata var. moniliformis,Abarema cochleata var. moniliformis,s.i.,,Abarema cochleata var. moniliformis,Árvore,Terrícola,Floresta de Terra Firme,s.i.,BR-AM|BR-MA|BR-PA,native,Amazônia,Endemica
17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema cochliacarpos,Abarema cochliacarpos,LC,replaced synonym,Abarema cochliocarpos,Árvore,Terrícola,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Barbatimão/PORTUGUES/Nordeste | Bordão-de-velho/PORTUGUES/Nordeste,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP,native,Cerrado|Mata Atlântica,Endemica
82550,Abarema curvicarpa (H.S.Irwin) Barneby & J.W.Grimes,s.i.,Fabaceae,species,accepted,Abarema curvicarpa,Abarema curvicarpa,s.i.,,Abarema curvicarpa,Árvore,Terrícola,Floresta de Terra Firme,s.i.,BR-AM,native,Amazônia,Não endemica
82551,Abarema curvicarpa var. rodriguesii Barneby & J.W.Grimes,s.i.,Fabaceae,variety,accepted,Abarema curvicarpa var. rodriguesii,Abarema curvicarpa var. rodriguesii,s.i.,,Abarema curvicarpa var. rodriguesii,Árvore,Terrícola,Floresta de Terra Firme,s.i.,BR-AM,native,Amazônia,Endemica
17975,Abarema filamentosa (Benth.) Pittier,s.i.,Fabaceae,species,accepted,Abarema filamentosa,Abarema filamentosa,LC,,Abarema filamentosa,Arbusto|Árvore,Terrícola,Floresta Ombrófila Mista|Restinga,s.i.,BR-AL|BR-BA|BR-ES|BR-PB|BR-PE|BR-RN|BR-SE,native,Mata Atlântica,Endemica
