taxonid,especie,subespecie,rank,subpopulation,cat_ameaca_iucn
151959295,Abarema adenophora,s.i.,s.i.,s.i.,LC
145688533,Abarema auriculata,s.i.,s.i.,s.i.,LC
22484069,Abarema barbouriana,s.i.,s.i.,s.i.,LC
177828298,Abarema campestris,s.i.,s.i.,s.i.,LC
62465,Abarema cochleata,s.i.,s.i.,s.i.,LC
36552,Abarema cochleata var. moniliformis,moniliformis,var.,s.i.,VU
36560,Abarema cochliocarpos,s.i.,s.i.,s.i.,LC
62466,Abarema curvicarpa,s.i.,s.i.,s.i.,LC
36545,Abarema curvicarpa var. rodriguesii,rodriguesii,var.,s.i.,VU
36558,Abarema filamentosa,s.i.,s.i.,s.i.,VU
180071728,Abarema floribunda,s.i.,s.i.,s.i.,LC
144254416,Abarema jupunba,s.i.,s.i.,s.i.,LC
22484074,Abarema laeta,s.i.,s.i.,s.i.,LC
177828213,Abarema langsdorffii,s.i.,s.i.,s.i.,LC
62469,Abarema microcalyx,s.i.,s.i.,s.i.,LC
36557,Abarema obovata,s.i.,s.i.,s.i.,VU
36556,Abarema racemiflora,s.i.,s.i.,s.i.,LC
36559,Abarema turbinata,s.i.,s.i.,s.i.,VU
36566,Abarema villifera,s.i.,s.i.,s.i.,LR/nt
177828133,Abarema villosa,s.i.,s.i.,s.i.,LC
107424699,Abelona michaelisi,s.i.,s.i.,s.i.,VU
13486514,Ablennes hians,s.i.,s.i.,s.i.,LC
47760825,Abrawayaomys ruschii,s.i.,s.i.,s.i.,LC
188581,Abudefduf saxatilis,s.i.,s.i.,s.i.,LC
179300309,Abuta grandifolia,s.i.,s.i.,s.i.,LC
179301876,Abuta grisebachii,s.i.,s.i.,s.i.,LC
61805379,Abuta imene,s.i.,s.i.,s.i.,LC
61805418,Abuta rufescens,s.i.,s.i.,s.i.,LC
179301959,Abuta sandwithiana,s.i.,s.i.,s.i.,LC
60469175,Abyssobrotula galatheae,s.i.,s.i.,s.i.,LC
19892695,Acacia amazonica,s.i.,s.i.,s.i.,LC
131400014,Acacia caven,s.i.,s.i.,s.i.,LC
19891561,Acacia piauhiensis,s.i.,s.i.,s.i.,LC
19892630,Acacia riparia,s.i.,s.i.,s.i.,LC
151967094,Acalypha cuneata,s.i.,s.i.,s.i.,LC
150117801,Acalypha diversifolia,s.i.,s.i.,s.i.,LC
180248513,Acalypha fragilis,s.i.,s.i.,s.i.,CR
180258237,Acalypha juruana,s.i.,s.i.,s.i.,DD
146790439,Acalypha macrostachya,s.i.,s.i.,s.i.,LC
149206660,Acalypha villosa,s.i.,s.i.,s.i.,LC
170000,Acanthacaris caeca,s.i.,s.i.,s.i.,LC
49254377,Acanthagrion abunae,s.i.,s.i.,s.i.,LC
159070,Acanthagrion adustum,s.i.,s.i.,s.i.,LC
49254317,Acanthagrion aepiolum,s.i.,s.i.,s.i.,LC
120035224,Acanthagrion amazonicum,s.i.,s.i.,s.i.,LC
49254631,Acanthagrion apicale,s.i.,s.i.,s.i.,LC
49254714,Acanthagrion ascendens,s.i.,s.i.,s.i.,LC
158995,Acanthagrion chacoense,s.i.,s.i.,s.i.,LC
120035308,Acanthagrion chararum,s.i.,s.i.,s.i.,LC
120035369,Acanthagrion chicomendesi,s.i.,s.i.,s.i.,LC
159060,Acanthagrion cuyabae,s.i.,s.i.,s.i.,LC
120035409,Acanthagrion flaviae,s.i.,s.i.,s.i.,DD
49254630,Acanthagrion floridense,s.i.,s.i.,s.i.,LC
118245249,Acanthagrion franciscoi,s.i.,s.i.,s.i.,CR
107889601,Acanthagrion hildegarda,s.i.,s.i.,s.i.,LC
120035534,Acanthagrion jessei,s.i.,s.i.,s.i.,LC
