especie_autor,especie_original,genero,epiteto,nome_popular,cat_ameaca_mpoSP,fonte
Acicarpha tribuloides Juss.,Acicarpha tribuloides,Acicarpha,tribuloides,NA,EX,mpoSP
Agalinis communis (Cham. & Schltdl.) D’Arcy,Agalinis communis,Agalinis,communis,NA,EN,mpoSP
Agalinis ramulifera Barringer,Agalinis ramulifera,Agalinis,ramulifera,NA,EX,mpoSP
Agarista nummularia (Cham. & Schltdl.) G.Don,Agarista nummularia,Agarista,nummularia,NA,EX,mpoSP
Agenium leptocladum (Hack.) Clayton,Agenium leptocladum,Agenium,leptocladum,NA,EN,mpoSP
Agrimonia parviflora Sol.,Agrimonia parviflora,Agrimonia,parviflora,NA,EX,mpoSP
Agrostis longiberbis Hack. ex L.B.Sm.,Agrostis longiberbis,Agrostis,longiberbis,NA,EN,mpoSP
Alstroemeria caryophyllaea Jacq.,Alstroemeria caryophyllaea,Alstroemeria,caryophyllaea,madressilva-brasileira,EW,mpoSP
Alternanthera paronychioides A.St.-Hil.,Alternanthera paronychioides,Alternanthera,paronychioides,NA,EX,mpoSP
Araucaria angustifolia (Bertol.) Kuntze,Araucaria angustifolia,Araucaria,angustifolia,pinheiro-do-paraná,EN,mpoSP
Aristida circinalis Lindm.,Aristida circinalis,Aristida,circinalis,NA,EN,mpoSP
Aristida macrophylla Hack.,Aristida macrophylla,Aristida,macrophylla,NA,EX,mpoSP
Aristolochia cymbifera Mart. & Zucc.,Aristolochia cymbifera,Aristolochia,cymbifera,"papo-de-peru, jarrinha",VU,mpoSP
Asclepias aequicornu E.Fourn.,Asclepias aequicornu,Asclepias,aequicornu,NA,EN,mpoSP
Aspidosperma riedelii Müll.Arg.,Aspidosperma riedelii,Aspidosperma,riedelii,perobinha-branca,EN,mpoSP
Asterostigma colubrinum Schott,Asterostigma colubrinum,Asterostigma,colubrinum,NA,VU,mpoSP
Axonopus argentinus Parodi,Axonopus argentinus,Axonopus,argentinus,NA,EX,mpoSP
Axonopus uninodis (Hack.) G.A.Black,Axonopus uninodis,Axonopus,uninodis,NA,EX,mpoSP
Brosimum glaziovii Taub.,Brosimum glaziovii,Brosimum,glaziovii,NA,VU,mpoSP
Byttneria scabra L.,Byttneria scabra,Byttneria,scabra,jequeri,VU,mpoSP
Cabomba aquatica Aubl.,Cabomba aquatica,Cabomba,aquatica,NA,EX,mpoSP
Calea gentianoides DC.,Calea gentianoides,Calea,gentianoides,NA,EN,mpoSP
Callitriche terrestris Raf.,Callitriche terrestris,Callitriche,terrestris,NA,EX,mpoSP
Calyptranthes dryadica M.L.Kawas.,Calyptranthes dryadica,Calyptranthes,dryadica,NA,VU,mpoSP
Camarea hirsuta A.St.-Hil.,Camarea hirsuta,Camarea,hirsuta,NA,EN,mpoSP
Campuloclinium riedelii (Baker) R.M.King & H.Rob.,Campuloclinium riedelii,Campuloclinium,riedelii,NA,EN,mpoSP
Cariniana legalis (Mart.) Kuntze,Cariniana legalis,Cariniana,legalis,jequitibá-rosa,VU,mpoSP
Cedrela fissilis Vell.,Cedrela fissilis,Cedrela,fissilis,cedro,VU,mpoSP
Cedrela odorata L.,Cedrela odorata,Cedrela,odorata,cedro,VU,mpoSP
"Chascolytrum brasiliense (Nees ex Steud.) Essi, Longhi-Wagner & Souza-Chies",Chascolytrum brasiliense,Chascolytrum,brasiliense,NA,CR,mpoSP
Cirrhaea fuscolutea Lindl.,Cirrhaea fuscolutea,Cirrhaea,fuscolutea,orquídea,EN,mpoSP
Crotalaria otoptera Benth.,Crotalaria otoptera,Crotalaria,otoptera,guizo-de-cascavel,VU,mpoSP
Cryptocarya micrantha Meisn.,Cryptocarya micrantha,Cryptocarya,micrantha,NA,VU,mpoSP
Ctenium cirrhosum (Nees) Kunth,Ctenium cirrhosum,Ctenium,cirrhosum,NA,EN,mpoSP
Cuphea arenarioides A.St.-Hil.,Cuphea arenarioides,Cuphea,arenarioides,NA,EN,mpoSP
Curtia tenuifolia (Aubl.) Knobl.,Curtia tenuifolia,Curtia,tenuifolia,centáurea-menor,CR,mpoSP
Declieuxia oenanthoides Mart. & Zucc. ex Schult. & Schult.f.,Declieuxia oenanthoides,Declieuxia,oenanthoides,NA,EN,mpoSP
Dicksonia sellowiana Hook.,Dicksonia sellowiana,Dicksonia,sellowiana,xaxim,VU,mpoSP
Ditassa lagoensis E.Fourn.,Ditassa lagoensis,Ditassa,lagoensis,NA,EX,mpoSP
Duguetia salicifolia R.E.Fr.,Duguetia salicifolia,Duguetia,salicifolia,NA,VU,mpoSP
Echinodorus paniculatus Micheli,Echinodorus paniculatus,Echinodorus,paniculatus,NA,EX,mpoSP
Eragrostis neesii Trin.,Eragrostis neesii,Eragrostis,neesii,NA,EN,mpoSP
Eryngium koehneanum Urb.,Eryngium koehneanum,Eryngium,koehneanum,"caraguatá, gravatá",EN,mpoSP
Eryngium scirpinum Cham.,Eryngium scirpinum,Eryngium,scirpinum,"caraguatá, gravatá",EN,mpoSP
Escallonia chlorophylla Cham. & Schltdl.,Escallonia chlorophylla,Escallonia,chlorophylla,NA,CR,mpoSP
Escobedia grandiflora (L.f.) Kuntze,Escobedia grandiflora,Escobedia,grandiflora,açafrão-do-campo,EN,mpoSP
Eugenia pruinosa D.Legrand,Eugenia pruinosa,Eugenia,pruinosa,NA,EN,mpoSP
Euplassa cantareirae Sleumer,Euplassa cantareirae,Euplassa,cantareirae,carvalho-brasileiro,EX,mpoSP
Euterpe edulis Mart.,Euterpe edulis,Euterpe,edulis,palmito-jussara,VU,mpoSP
Evolvulus riedelii Meisn.,Evolvulus riedelii,Evolvulus,riedelii,NA,EN,mpoSP
Galactia marginalis Benth.,Galactia marginalis,Galactia,marginalis,NA,EX,mpoSP
Galianthe cymosa (Cham.) E.L.Cabral & Bacigalupo,Galianthe cymosa,Galianthe,cymosa,NA,EX,mpoSP
Galianthe peruviana (Pers.) E.L.Cabral,Galianthe peruviana,Galianthe,peruviana,NA,EX,mpoSP
Galium humile Cham. & Schltdl.,Galium humile,Galium,humile,NA,EX,mpoSP
Genlisea repens Benj.,Genlisea repens,Genlisea,repens,NA,EN,mpoSP
Gochnatia rotundifolia Less.,Gochnatia rotundifolia,Gochnatia,rotundifolia,NA,EX,mpoSP
Goeppertia zebrina (Sims) Nees,Goeppertia zebrina,Goeppertia,zebrina,calateia-zebra,VU,mpoSP
Gomesa jucunda (Rchb.f.) M.W.Chase & N.H.Willians,Gomesa jucunda,Gomesa,jucunda,orquídea,VU,mpoSP
Gomesa praetexta (Rchb.f.) M.W.Chase & N.H.Willians,Gomesa praetexta,Gomesa,praetexta,orquídea,VU,mpoSP
Gouania blanchetiana Miq.,Gouania blanchetiana,Gouania,blanchetiana,NA,EX,mpoSP
