especie_original,familia,genero,epiteto_especifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,fonte
Mimosa strobiliflora,Fabaceae,Mimosa,strobiliflora,NA,CR,NA,sima
Butia exilata,Arecaceae,Butia,exilata ,NA,CR,NA,sima
Butia pubispatha,Arecaceae,Butia,pubispatha,NA,CR,NA,sima
Erythrophyllastrum andinum,Pottiaceae,Erythrophyllastrum,andinum,NA,DD,NA,sima
Metzgeria subaneura,Metzgeriaceae,Metzgeria,subaneura,NA,DD,NA,sima
Sphagnum amoenum,Sphagnaceae,Sphagnum,amoenum,NA,DD,NA,sima
Eryngium dusenii,Apiaceae,Eryngium,dusenii,NA,DD,NA,sima
Croton glechomifolius,Euphorbiaceae,Croton,glechomifolius,NA,DD,CR,sima
Eryngium glaziovianum,Apiaceae,Eryngium,glaziovianum,NA,DD,EX,sima
Eryngium stenophyllum,Apiaceae,Eryngium,stenophyllum,NA,DD,EX,sima
Hydrocotyle exigua,Araliaceae,Hydrocotyle,exigua,NA,DD,EN,sima
Aldama aspilioides,Asteraceae,Aldama,aspilioides,NA,DD,VU,sima
Aspilia pohlii,Asteraceae,Aspilia,pohlii,NA,DD,NA,sima
Chromolaena latisquamulosa,Asteraceae,Chromolaena,latisquamulosa,NA,DD,VU,sima
Dasyphyllum lanceolatum,Asteraceae,Dasyphyllum,lanceolatum,NA,DD,NA,sima
Dimerostemma bahiense,Asteraceae,Dimerostemma,bahiense,NA,DD,NA,sima
Dimerostemma bishopii,Asteraceae,Dimerostemma,bishopii,NA,DD,NA,sima
Eremanthus brasiliensis,Asteraceae,Eremanthus,brasiliensis,NA,DD,NA,sima
Eupatorium lineatum,Asteraceae,Eupatorium,lineatum,NA,DD,NA,sima
Gardnerina angustata,Asteraceae,Gardnerina,angustata,NA,DD,NA,sima
Lepidaploa luetzelburgii,Asteraceae,Lepidaploa,luetzelburgii,NA,DD,NA,sima
Habenaria crucifera,Orchidaceae,Habenaria,crucifera,NA,DD,EX,sima
Lychnophora blanchetii,Asteraceae,Lychnophora,blanchetii,NA,DD,NA,sima
Lychnophora phylicifolia,Asteraceae,Lychnophora,phylicifolia,NA,DD,NA,sima
Mikania malacolepis,Asteraceae,Mikania,malacolepis,NA,DD,NA,sima
Mikania mosenii,Asteraceae,Mikania,mosenii,NA,DD,NA,sima
Neblinaea promontoriorum,Asteraceae,Neblinaea,promontoriorum,NA,DD,NA,sima
Piptolepis gardneri,Asteraceae,Piptolepis,gardneri,NA,DD,NA,sima
Piptolepis monticola,Asteraceae,Piptolepis,monticola,NA,DD,NA,sima
Piptolepis oleaster,Asteraceae,Piptolepis,oleaster,NA,DD,NA,sima
Stenocephalum monticola,Asteraceae,Stenocephalum,monticola,NA,DD,NA,sima
Stenopadus aracaensis,Asteraceae,Stenopadus,aracaensis,NA,DD,NA,sima
Stenopadus talaumifolius,Asteraceae,Stenopadus,talaumifolius,NA,DD,NA,sima
Stifftia parviflora,Asteraceae,Stifftia,parviflora,NA,DD,NA,sima
Stilpnopappus cearensis,Asteraceae,Stilpnopappus,cearensis,NA,DD,NA,sima
Trichocline maxima,Asteraceae,Trichocline,maxima,NA,DD,NA,sima
Trichogonia eupatorioides,Asteraceae,Trichogonia,eupatorioides,NA,DD,NA,sima
Verbesina macrophylla,Asteraceae,Verbesina,macrophylla,NA,DD,EX,sima
Vittetia bishopii,Asteraceae,Vittetia,bishopii,NA,DD,NA,sima
Lobelia glazioviana,Campanulaceae,Lobelia,glazioviana,NA,DD,NA,sima
Alternanthera malmeana,Amaranthaceae,Alternanthera,malmeana,NA,DD,NA,sima
Gomphrena duriuscula,Amaranthaceae,Gomphrena,duriuscula,NA,DD,NA,sima
Gomphrena schlechtendaliana,Amaranthaceae,Gomphrena,schlechtendaliana,NA,DD,NA,sima
Gomphrena sellowiana,Amaranthaceae,Gomphrena,sellowiana,NA,DD,NA,sima
Herbstia brasiliana,Amaranthaceae,Herbstia,brasiliana,NA,DD,EX,sima
Lecosia oppositifolia,Amaranthaceae,Lecosia,oppositifolia,NA,DD,NA,sima
Discocactus ferricola,Cactaceae,Discocactus,ferricola,NA,DD,NA,sima
Discocactus heptacanthus,Cactaceae,Discocactus,heptacanthus,NA,DD,NA,sima
Frailea curvispina,Cactaceae,Frailea,curvispina,NA,DD,NA,sima
Frailea schilinzkyana,Cactaceae,Frailea,schilinzkyana,NA,DD,NA,sima
Hatiora cylindrica,Cactaceae,Hatiora,cylindrica,NA,DD,NA,sima
Parodia alacriportana,Cactaceae,Parodia,alacriportana,NA,DD,NA,sima
Parodia arnostiana,Cactaceae,Parodia,arnostiana,NA,DD,NA,sima
Parodia buiningii,Cactaceae,Parodia,buiningii,NA,DD,NA,sima
Parodia herteri,Cactaceae,Parodia,herteri,NA,DD,NA,sima
Parodia horstii,Cactaceae,Parodia,horstii,NA,DD,NA,sima
Parodia leninghausii,Cactaceae,Parodia,leninghausii,NA,DD,NA,sima
Parodia magnifica,Cactaceae,Parodia,magnifica,NA,DD,NA,sima
Parodia neohorstii,Cactaceae,Parodia,neohorstii,NA,DD,NA,sima
Parodia schumanniana,Cactaceae,Parodia,schumanniana,NA,DD,NA,sima
Pilosocereus aureispinus,Cactaceae,Pilosocereus,aureispinus,NA,DD,NA,sima
Pseudoacanthocereus brasiliensis,Cactaceae,Pseudoacanthocereus,brasiliensis,NA,DD,NA,sima
Rhipsalis crispata,Cactaceae,Rhipsalis,crispata,NA,DD,VU,sima
Rhipsalis dissimilis,Cactaceae,Rhipsalis,dissimilis,NA,DD,EN,sima
Rhipsalis hileiabaiana subsp. hileiabaiana,Cactaceae,Rhipsalis,hileiabaiana,NA,DD,NA,sima
Rhipsalis sulcata,Cactaceae,Rhipsalis,sulcata,NA,DD,NA,sima
Tacinga funalis,Cactaceae,Tacinga,funalis,NA,DD,NA,sima
Tacinga inamoena,Cactaceae,Tacinga,inamoena,NA,DD,NA,sima
Tacinga saxatilis subsp. estevesii,Cactaceae,Tacinga,saxatilis,NA,DD,NA,sima
Tacinga werneri,Cactaceae,Tacinga,werneri,NA,DD,NA,sima
Belemia fucsioides,Nyctaginaceae,Belemia,fucsioides,NA,DD,NA,sima
Elachyptera coriacea,Celastraceae,Elachyptera,coriacea,NA,DD,NA,sima
Monteverdia basidentata,Celastraceae,Monteverdia,basidentata,NA,DD,NA,sima
Monteverdia comocladiiformis,Celastraceae,Monteverdia,comocladiiformis,NA,DD,NA,sima
Monteverdia radlkoferiana,Celastraceae,Monteverdia,radlkoferiana,NA,DD,NA,sima
Isostigma peucedanifolium,Asteraceae,Isostigma,peucedanifolium,NA,DD,NA,sima
Begonia brevilobata,Begoniaceae,Begonia,brevilobata,NA,DD,EX,sima
Begonia obscura,Begoniaceae,Begonia,obscura,NA,DD,NA,sima
Begonia velloziana,Begoniaceae,Begonia,velloziana,NA,DD,NA,sima
Cayaponia pedata,Cucurbitaceae,Cayaponia,pedata,NA,DD,EX,sima
Ctenardisia speciosa,Primulaceae,Ctenardisia,speciosa,NA,DD,NA,sima
Chromolucuma apiculata,Sapotaceae,Chromolucuma,apiculata,NA,DD,NA,sima
Chrysophyllum acreanum,Sapotaceae,Chrysophyllum,acreanum,NA,DD,NA,sima
Chrysophyllum bombycinum,Sapotaceae,Chrysophyllum,bombycinum,NA,DD,NA,sima
Chrysophyllum durifructum,Sapotaceae,Chrysophyllum,durifructum,NA,DD,NA,sima
Chrysophyllum ovale,Sapotaceae,Chrysophyllum,ovale,NA,DD,NA,sima
Chrysophyllum subspinosum,Sapotaceae,Chrysophyllum,subspinosum,NA,DD,NA,sima
Chrysophyllum superbum,Sapotaceae,Chrysophyllum,superbum,NA,DD,NA,sima
Ecclinusa bullata,Sapotaceae,Ecclinusa,bullata,NA,DD,NA,sima
Ecclinusa lancifolia,Sapotaceae,Ecclinusa,lancifolia,NA,DD,NA,sima
Manilkara cavalcantei,Sapotaceae,Manilkara,cavalcantei,NA,DD,NA,sima
Manilkara elata,Sapotaceae,Manilkara,elata,NA,DD,NA,sima
Manilkara excelsa,Sapotaceae,Manilkara,excelsa,NA,DD,NA,sima
Micropholis caudata,Sapotaceae,Micropholis,caudata,NA,DD,NA,sima
Micropholis grandiflora,Sapotaceae,Micropholis,grandiflora,NA,DD,NA,sima
