"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:34:03-03","UNESC","CRI","6404","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies ex Hook.","A. Bertels","A. Bertels","1950","06","17","Brasil","Rio Grande do Sul","Pelotas","Horto Bot. I. A. S.","-52.342778","-31.7725","52º20'34''W","31º46'21''S","CRI008963","CRI008963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:58-03","UNESC","CRI","13942","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies ex Hook.","Valdemar Boff","Valdemar Boff","1995","09","10","Brasil","Santa Catarina","Bom Jardim da Serra",NA,"-49.624698638916","-28.3369007110596",NA,NA,"CRI012553",NA,"1995","09","10","32577","Flores rente ao caule de cor branca e com espinhos por todo caule Habitat: Terrestre Habito: Arbórea","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533412","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","A. Sehnem","A. Sehnem","1978","09","08","Brazil","Rio Grande do Sul","Rosário do Sul","Rosário do Sul-Timbaúva.","-54.9142","-30.2583",NA,NA,"NY00533412","NY00533412_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","16230","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533409","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","G. G. Hatschbach","J. Cordeiro","1988","08","31","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064","-25.4294",NA,NA,"NY00533409","NY00533409_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597590' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","566","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533410","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","A. C. Cervi","A. C. Cervi","1997","11","12","Brazil","Paraná","Ponta Grossa","Rio dos Papagaios.","-49.73","-25.42",NA,NA,"NY00533410","NY00533410_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597589' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","6428","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533411","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","S. F. Smith","R. A. Wasum","1986","09","21","Brazil","Rio Grande do Sul","Caçapava do Sul","Caçapava do Sul - Fazenda da Taleira.","-53.4914","-30.5122",NA,NA,"NY00533411","NY00533411_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","1996","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 15:46:00-03","NY","NYBG","533408","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana",NA,NA,"J. Araque Molina","1950","01","15","Argentina","Mendoza",NA,"Dep. Tunuyán. 10 km al Oeste de Campo de Los Andes.",NA,NA,NA,NA,"NY00533408",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","1199","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017850","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","A. Schinini","T. M. Pedersen","1976","11","10","Brazil","Rio Grande do Sul","Bagé","BR-153, ca. 40 km S of Bagé.","-54.1067","-31.3317",NA,NA,"NY01017850","NY01017850_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224032' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","11432","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:47:27-03","EAO","IAN","40769","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","longispina","Discaria longispina foliosa","Mrs.",NA,"Lorents",NA,NA,NA,"Uruguai",NA,NA,NA,NA,NA,NA,NA,"IAN040769",NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,"s.n.","Southern America",NA,"foliosa",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:47:27-03","EAO","IAN","40769","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","longispina","Discaria longispina foliosa","Mrs.",NA,"Lorents",NA,NA,NA,"Uruguai",NA,NA,NA,NA,NA,NA,NA,"IAN040769",NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,"s.n.","Southern America",NA,"foliosa",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-27 11:22:06-03","PUCPR","HUCP","25268","S","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","Caxambu, MG","Caxambu, MG","2004","11","07","Brasil","Parana","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00023838","HUCP00023838","2004","12","11","35166","Herbáceae, xilopodífora, com vários ramos delgados, decussados e terminados em espinhos. Fruto do tipo drupa.","auto","Eudicotiledonea",NA,"653-b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-10-27 11:22:06-03","PUCPR","HUCP","25265","S","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","Caxambu, MG","Caxambu, MG","2004","11","07","Brasil","Parana","Palmeira","Rio do Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00023888","HUCP00023888","2004","12","11","35166","Herbáceae xiilopodífera, com város ramos delagados, decusados e terminando em espinhos. Frutos do tipo drupa.","auto","Eudicotiledonea",NA,"653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:43-03","PUCPR","HUCP","13754","S","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gillies & Hook.","Hatschbach, GG","Silva, JM; Ribas, OS","2001","10","05","Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00017348","HUCP00017348",NA,NA,NA,"35166",NA,"auto","Eudicotiledonea",NA,"3490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:23:17-03","UFBA","ALCB","76728","PreservedSpecimen","Plantae","Rhamnaceae","Discaria","americana","Discaria americana","Gill. & Hook.f.","Hatschbach, G","Barbosa, E; Cunha, EM","2006","10","28","Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"ALCB034620","ALCB034620","2006",NA,NA,"35166","Xilopodífera, 1,5m. Flor alva.","auto","Dicotyledon",NA,"1794","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
