"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","class","relatedCatalogItem","fieldNumber"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1320","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Loefgr.","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","2625","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Loefgr.","Brasil",NA,"254","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","19","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555","20º 05' 47S","43º 27' 53W","11966","1310","1310","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645683","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743802' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi",NA,NA,NA,"G. P. Lewis","729","1981","12","02","Bahia","Una","Estrada Ilhéus-Una, ± 35-40 km ao sul de Oilvença","-39.07","-15.27",NA,NA,NA,"35","40",NA,"South America","sheet","NY00645683","NY00645683_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645675","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743797' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi",NA,NA,NA,"D. R. Hunt","6512","1966","08","04","Rio de Janeiro",NA,"Serra dos Orgaos. Subsede of the Parque Nacional","-43.061538","-22.517048",NA,NA,NA,"600","600",NA,"South America","sheet","NY00645675","NY00645675_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645677","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"Cultivated from original collection, Rose 20348 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743798' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi",NA,NA,NA,"J. N. Rose","43072","1915",NA,NA,"Rio de Janeiro",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"South America","sheet","NY00645677","NY00645677_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645676","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743796' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi",NA,NA,NA,"J. A. Shafer","45413","1917",NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"South America","sheet","NY00645676","NY00645676_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645684","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"Cultivated from original collection, Rose 20249 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743803' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"J. N. Rose","43049","1915",NA,NA,"Rio de Janeiro",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"South America","sheet","NY00645684","NY00645684_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645644","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155154' target='other'> <mi>dwc_moreinfo</mi></a>","S. Lahmeyer",NA,NA,NA,"R. Callejas Posada","1561","1983","10","28","Bahia","Una","Km. 9 da estrada Sao José de Burarema-Una","-39.0753","-15.2933",NA,NA,NA,NA,NA,NA,"South America","sheet","NY00645644","NY00645644_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","386157","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"plant grown by Dr. Loefgren at Rio de Janeiro and given to Dr. Shafer in 1917, which flowered and fruited in the New York Botanicla Garden in May 1922 -- Cactaceae (Britton & Rose) 4: 246. 1923 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735646' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"J. A. Shafer","s.n.","1917",NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"South America","sheet","NY00386157","NY00386157_01","type",NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","214595","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","oblonga","Rhipsalis oblonga","Löfgr.","Brazil",NA,"This specimen was made from a plant cultivated at New York Botanical Garden <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735644' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"A. Löfgren","s.n.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"South America","sheet","NY00214595","NY00214595_01",NA,NA,NA,NA
