"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","individualCount","class","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694821","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","421","2015","02","20","South America","Brazil","Minas Gerais","Jaboticatubas","Estrada Lagoa Santa - Jaboticatubas","-43.81156","-19.53503","825","825","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978437' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694821","NY02694821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694860","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","368","2014","12","06","South America","Brazil","Mato Grosso","Ribeirão Cascalheira","Estrada vicinal em direção a Fazenda Campo Alto, ca. de 6 km distante da rodovia BR-158.","-51.82489","-13.09269","431","431","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978409' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694860","NY02694860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02694847","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","416","2015","02","20","South America","Brazil","Minas Gerais","Jaboticatubas","Acesso a Comunidade Bamburral pela MG-020. Fragmento de cerrado na margem da rodovia.","-43.76617","-19.56836","861","861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978436' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694847","NY02694847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02694875","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","330","2014","09","09","South America","Brazil","Mato Grosso","Rondonópolis","Ao lado do 18º GAC do Exército na rodovia Rondonópolis-Campo Grande (BR-163).","-54.64792","-16.500064","258","258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978390' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694875","NY02694875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02694864","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","367","2014","12","06","South America","Brazil","Mato Grosso","Água Boa","Estrada vicinal em direção a Fazenda Campo Alto, ca. de 6 km distante da rodovia BR-158.","-52.15031","-14.00483","477","477","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978408' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694864","NY02694864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02694862","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","M. F. Devecchi","M. F. Devecchi","370","2014","12","07","South America","Brazil","Mato Grosso","Barra do Garças","Serra do Roncador. fazenda na região do Vale do Sonho.","-52.29275","-15.3036","762","762","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978410' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694862","NY02694862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","569219","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","W. W. Thomas","J. G. Jardim","912","1996","08","10","South America","Brazil","Bahia","Correntina","Ca. de 98 km a W da sede do município, na Rod. BA. 349 no sentido Correntina/Brasilia","-44.73","-13.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569219","NY00569219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:37-03","UFRJ","RFA","19497","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","Mello Barreto","Rennó","49","1944",NA,NA,NA,"Brasil","Minas Gerais","Araxá",NA,"-46.940601348877","-19.5932998657227",NA,NA,NA,NA,"RFA48995",NA,"29994","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:44:13-03","EAO","IAN","22947","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.",NA,"Warming, JEB","2466",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN022947","IAN022947_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:39-03","MN","R","71015","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","Cavalcante, P.","Freire Allemão, F.",NA,NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"R010053749","R010053749_001 R010053749_002 R010053749_003 R010053749_004",NA,NA,"1981","05",NA,NA,NA,NA,NA,NA
