"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","year","month","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","order","typeStatus","relatedCatalogItem","sex"
"1","2021-04-08 17:43:14-03","EAO","IAN","7042","PreservedSpecimen","Plantae","Dicotiledônea","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Sellow, F","s.n.","Southern America","Brasil","IAN007042","IAN007042_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:32:55-03","MN","R","142102","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","Weinberg, B.M.T.",NA,NA,"Brasil",NA,NA,"1983","04","Espirito Santo","Vila Velha","-40.2924995422363","-20.3297004699707","27156","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-05-27 10:32:19-03","IPA","IPA","13165","S","Plantae","Plantae","Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","Andrade-Lima","62-4097","Southern America","Brasil","IPA0013165",NA,"1962","07","Sergipe",NA,NA,NA,NA,NA,"Torres, A.M.","2019","05","08","11","Serra de Itabaiana, Encosta da serra; borda da mata de galeria de pequeno porte, em canalão de drenagem com pequeno riacho.","Arbusto 1-2m, ereto com ramos laminares em capitel. Flor creme-claro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-27 13:51:30-03","UFS","ASE","15841","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Santos, LAS; Nascimento - Júnior, JE; Carregosa, T","82","Southern America","Brasil","ASE0022523","ASE0022523","2010","02","Sergipe","Areia Branca","-37.315","-10.758056",NA,NA,"Torres, AM","2019","07","01","08","Parque Nacional da Serra de Itabaiana","Mata.","-37.315","-10.758056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-27 13:51:30-03","UFS","ASE","17276","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Simão-Bianchini, R; Melo, DS; Oliveira, R; Sousa, GM","1769","Southern America","Brasil","ASE0024038","ASE0024038","2010","06","Sergipe","Areia Branca","-37.343194","-10.746861",NA,NA,"Torres, AM","2019","07","01","29","Parque Nacional da Serra de Itabaiana, Serra de Itabaiana","Subarbusto, ca 1 m alt.; cladódios pequenas folhas e várias flores alvas na margem.&nf;; Subarbusto, ca 1 m alt.; cladódios pequenas folhas e várias flores alvas na margem.","-37.343194","-10.746861",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-27 13:51:30-03","UFS","ASE","38449","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Silva, FO; Fabricante, JR","48","Southern America","Brasil","ASE0039843",NA,"2017","02","Sergipe","Areia Branca","-37.2128","-10.4443",NA,NA,NA,"2017","02","14","23","PARNASI, Ambiente seco, umidade baixa, alta incidência solar, predominância de gramíneas e arbusto, solo rochoso. Presença de serrapilheira.","Arbusto. 1,7 m. Flores diminutas que nascem nas folhas apresentando coloração alva. Folhas compostas verdes em disposição de roseta. Caule fino marrom. Raizes subterrâneas.; Mata Atlântica","-37.2128","-10.4443",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-27 13:51:30-03","UFS","ASE","3121","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Gomes, E","242","Southern America","Brasil","ASE0014771","ASE0014771","1983","03","Sergipe","Itabaiana","-37.2081","-10.4583",NA,NA,"Torres, AM","2019","07","01","16","Parque Nacional da Serra de Itabaiana","Arbusto. Flores alvas, folhas simples.; Arbusto. Flores alvas, folhas simples.; Mata ciliar.","-37.2081","-10.4583",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-27 13:51:30-03","UFS","ASE","4149","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Viana, G","1311","Southern America","Brasil","ASE0015485","ASE0015485","1985","12","Sergipe","Itabaiana","-37.2081","-10.4583",NA,NA,"Torres, AM","2019","07","01","14","Parque Nacional da Serra de Itabaiana","Arbusto. 1. m. Flores esverdeadas.; Arbusto. 1. m. Flores esverdeadas.; Mata ciliar.","-37.2081","-10.4583",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-27 13:51:30-03","UFS","ASE","3713","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Viana, G","892","Southern America","Brasil","ASE0015216","ASE0015216","1984","03","Sergipe","Itabaiana","-37.2081","-10.4583",NA,NA,"Torres, AM","2019","07","01","13","Parque Nacional da Serra de Itabaiana, Poço das Moças","Arbusto. 1.5. m. Flores alvas.; Arbusto. 1.5. m. Flores alvas.; Mata ciliar.","-37.2081","-10.4583",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:51:30-03","UFS","ASE","5174","PreservedSpecimen","Plantae","Magnoliophyta","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Santos, ML","96","Southern America","Brasil","ASE0016025","ASE0016025","1991","05","Sergipe","Itabaiana","-37.2081","-10.4583",NA,NA,"Torres, AM","2019","07","01","01","Parque Nacional da Serra de Itabaiana, Riacho dos Negros","Arbusto. Folhas verticiladas,flores alvas e estames amarelos, e as folhres inseridas nas folhas.; Arbusto. Folhas verticiladas,flores alvas e estames amarelos, e as folhres inseridas nas folhas.; Mata ciliar.","-37.2081","-10.4583",NA,NA,NA,NA,NA,NA,NA,NA,NA
