"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","413895","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","L. B. Smith; S. F. Smith","G. G. Hatschbach","18615","1968","02","16","South America","Brazil","Paraná","Paranaguá","Alexandra","-48.631716","-25.548936","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413895","NY00413895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","413887","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","A. E. Burkart","R. M. Klein","153","1950","05","10","South America","Brazil","Santa Catarina","Brusque","Mata do Hoffmann","-48.9","-27.1","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413887","NY00413887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","413900","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.",NA,"M. Kuhlmann","3242","1946","01","31","South America","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413900","NY00413900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","413888","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","A. E. Burkart","R. M. Klein","909","1954","11","30","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413888","NY00413888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","413896","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","G. G. Hatschbach","J. M. Silva","2260","1998","11","07","South America","Brazil","Paraná","Sao José dos Pinhais","Castelhanos","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413896","NY00413896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018756","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","H. C. de Lima","H. C. de Lima","6866","2008","02","17","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Estrada para o Pico das Flores, ca. 500 m apás o Hotel Fazenda São João.","-42.5308","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262360' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018756","NY01018756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","413883","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","R. O. Vanni","A. Krapovickas","43974","1992","01","22","South America","Brazil","Santa Catarina","Fraiburgo","Fraiburgo, Reserva Renar","-50.9214","-27.0261",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413883","NY00413883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","413884","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","I. A. Rodrigues","J. P. Lanna Sobrinho","7585","1970","11","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara. Tijuca, Estr. da Vista Chinesa, pr. Rancho Alegre","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413884","NY00413884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413893","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","O. Poncy","G. G. Hatschbach","17964","1967","11","24","South America","Brazil","Paraná","Paranaguá","Morro Al Jesus","-48.5092","-25.5203","50","70","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413893","NY00413893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","413892","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","sellowiana","Inga sellowiana","Benth.","A. E. Burkart","G. G. Hatschbach","21264","1969","03","14","South America","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092","-25.5203","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413892","NY00413892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
