"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","individualCount","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","sex","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","547615","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","F. C. Hoehne","syntype","F. C. Hoehne","3020","1918","03","04","South America","Brazil","São Paulo","Alto da Serra, terreno da Estacao Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547615","NY00547615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:59-03","MN","R","13814","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Batista, J.A.N.",NA,"Gehrt, A.",NA,"1921","03","07",NA,"Brasil","São Paulo",NA,NA,"Seção de botânica Museu Paulista",NA,NA,"1998","09",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-16 13:53:00-02","MO","MOBOT","101094576","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,"Syntype","F.C. Hoehne","Hoehne s.n.","1918","3","4","South America","Brazil","São Paulo","Estação Biológica do Alto de Serra",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"4","2019-01-16 13:57:00-02","MO","MOBOT","101094583","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,"Syntype","F.C. Hoehne","Hoehne s.n.","1921","2","10","South America","Brazil","São Paulo","Estação Biológica do Alto de Serra.",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"5","2019-01-16 14:01:00-02","MO","MOBOT","101094584","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,"Syntype","Augusto Gehrt","Gehrt s.n.","1921","3","7","South America","Brazil","São Paulo","Estação Biológica do Alto de Serra.",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:27:45-03","USP","SPF","65141","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,"syntype","Gehrt, A","s.n.","1921","03","07",NA,"Brasil","São Paulo","Estação Biológica do Alto da Serra",NA,"Campo, beira da mata. Flor verde-clara.","SPF00065141","SPF00065141",NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"7","2019-11-21 10:13:23-03","IBt","SP","28885","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Hoehne, FC",NA,"Edwall, G","CGG4058","1899","02",NA,NA,"Brasil","São Paulo","Alto da Serra, campo úmido.",NA,NA,"SP009551","SP009551","1935",NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"8","2019-11-21 10:13:23-03","IBt","SP","28912","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,NA,"Lemos, C","s.n.","1926","02","21",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"9","2019-11-21 10:13:23-03","IBt","SP","3020","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Handro, O","Isosyntype","Hoehne, FC","s.n.","1918","03","04",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,NA,"SP002105","SP002105","1985","09",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"10","2019-11-21 10:13:23-03","IBt","SP","3072","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Handro, O","Isosyntype","Hoehne, FC","s.n.","1919","03","14",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,NA,"SP002104","SP002104","1985","09",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"11","2019-11-21 10:13:23-03","IBt","SP","5262","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Handro, O","Isosyntype","Hoehne, FC","s.n.","1921","02","10",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,"Flor esverdeada","SP002103","SP002103","1985","09",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"12","2019-11-21 10:13:23-03","IBt","SP","9769","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.",NA,NA,"Havlasa, E","s.n.","1922","02","13",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"13","2019-11-21 10:13:23-03","IBt","SP","5369","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Handro, O","Isosyntype","Gehrt, A","s.n.","1921","03","07",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Campo, beira da mata",NA,"Campo, beira da mata, flor verde clara","SP002106","SP002106","1985","09",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"14","2019-11-21 10:13:23-03","IBt","SP","5355","S","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schltr.","Batista, JAN",NA,"Gehrt, A","s.n.","1921","01",NA,NA,"Brasil","São Paulo","Butantan",NA,NA,NA,NA,"1998","09",NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA
"15","2019-11-26 16:44:02-03","AMES","HU-HERB","AMES 01947761","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schlechter",NA,NA,"F. C. Hoehne",NA,"1921","1","27","South America","Brazil","Minas Gerais","Miguel Burnier","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined",NA
"16","2019-11-26 16:40:49-03","AMES","HU-HERB","AMES 01947762","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schlechter",NA,NA,"Lyman B. Smith","1912","1929","2","15","South America","Brazil","São Paulo","Estacão Biologica, Alto da Serra.","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined","1912"
"17","2019-11-26 16:39:03-03","AMES","HU-HERB","AMES 01947763","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","brachyplectron","Habenaria brachyplectron","Hoehne & Schlechter",NA,NA,"D. Lemos",NA,"1926","2","21","South America","Brazil",NA,"Alto da Serra, São Paulo.","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined",NA
