"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00994638","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","H. O. Sleumer","G. G. Hatschbach","27293","1971","09","06","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço","-43.7406","-18.4544","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994638","NY00994638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00994636","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","H. O. Sleumer","W. R. Anderson","36196","1972","02","18","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.566908","-19.391522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994636","NY00994636_01","1225","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00994629","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","L. S. K. Gouvea","H. S. Irwin","20079","1968","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994629","NY00994629_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","10069","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal",NA,"A.-C. Vauthier","2",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010069","NY00010069_01",NA,NA,"holotype fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00994639","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","J. R. Pirani","T. B. Cavalcanti","CFSC9888","1986","09","12","South America","Brazil","Minas Gerais","Alto do Paraiso","Próximo do rio.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994639","NY00994639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00994632","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","J. W. Floyd","I. Andrade","7714","1987","07","12","South America","Brazil","Minas Gerais",NA,"Serra da Saliheira - Serra do Cipó. Coletada proxima à casa do IBDF.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994632","NY00994632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00994635","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","H. O. Sleumer","W. R. Anderson","36107","1972","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994635","NY00994635_01","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00994631","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","J. W. Floyd","M. do C. E. Amaral","CFSC8385","1982","04","22","South America","Brazil","Minas Gerais","Congonhas do Norte","Retiro do Barbado, morro a esquerda do Rio Preto. Arbusto 3 m prox. do Rio Preto.","-43.77","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994631","NY00994631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00994637","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","H. O. Sleumer","L. B. Smith","6778","1952","04","28","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Palacio.","-43.58","-19.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994637","NY00994637_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00994634","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","J. W. Floyd","N. Hensold","812","1982","05","11","South America","Brazil","Minas Gerais","Itambé do Mato Dentro","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.","-43.3210983276367","-19.414400100708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994634","NY00994634_01","1300","1500",NA,"22479","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
