"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3853","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","multipennis","Cassia multipennis","H.S.Irwin & Barneby","isotype","A. P. Duarte","2597","1950","04","21","South America","Brazil","Minas Gerais","Serra do Cipó, km 135.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003853","NY00003853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3854","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","multipennis","Cassia multipennis","H.S.Irwin & Barneby","isotype","A. P. Duarte","2597","1950","04","21","South America","Brazil","Minas Gerais","Serra do Cipó, km 135.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003854","NY00003854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959752","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"I. Andrade","s.n.","1987","07","11","South America","Brazil","Minas Gerais","Faz. Cach. da Capivara, S. do Cipó",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959752","NY00959752_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00959751","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"J. R. Stehmann","s.n.","1991","05","04","South America","Brazil","Minas Gerais","Santana do Riacho. Próximo à sede do Ibama, embaixo da serra",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959751",NA,"R. C. Barneby","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00959749","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"G. W. Fernandes","35",NA,NA,NA,"South America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959749",NA,"R. C. Barneby",NA,"-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00959756","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"Collector unspecified","s.n.","1990","05","19","South America","Brazil","Minas Gerais","Santana do Riacho- Serra do Cipó",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959756","NY00959756_01","R. C. Barneby","Santana do Riacho","-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00959745","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"H. S. Irwin","20355","1968","02","17","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km. 105 (ca. 130km N. of Belo Horizonte).","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959745",NA,NA,NA,"-43.4","-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00959746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"H. S. Irwin","2427","1959","01","12","South America","Brazil","Minas Gerais","Serra do Cipó, 15 km E. of S. José do Almeida, on road to Morro do Pilar","1128","1128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00959748","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"M. Pereira","1021","1992","07","05","South America","Brazil","Minas Gerais","Parque Nacional Serra do Cipó. Na regiao do Congonhas, abaixo da Casa de Pedra e próximo ao Córrego Gaviao (AQ 59)","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959748","NY00959748_01","R. C. Barneby","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00959750","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"J. A. Lombardi","261","1993","05","24","South America","Brazil","Minas Gerais","Serra do Cipó, Santana do Riacho. Próximo ao Chapéu do Sol",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959750","NY00959750_01","R. C. Barneby","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00959744","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"H. S. Irwin","20355","1968","02","17","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km. 105 (ca. 130km N. of Belo Horizonte).","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959744",NA,NA,NA,"-43.4","-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00959755","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"J. R. Pirani","CFSC112334","1991","05","31","South America","Brazil","Minas Gerais","km 124 da Rodovia Belo Horizonte- Conceiçao do Mato Dentro. Alto do Palácio. Curva da estrada ao Sul da Estátua do Velho Juca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959755",NA,"R. C. Barneby","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00959747","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"W. Mantovani","93","1979","07","26","South America","Brazil","Minas Gerais","Jaboticatubas, Serra do Cipo","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959747",NA,"R. C. Barneby",NA,"-43.567497","-19.391589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00959754","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","cipoana","Chamaecrista cipoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"A. A. A. Barbosa","341","1989","06","08","South America","Brazil","Minas Gerais","Parque Nacional da Serra do Cipó, Santana do Riacho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959754",NA,"R. C. Barneby","Santana do Riacho","-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
