"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","county","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","4109259","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","T. M. Koyama","7338","1967","03","01","South America","Venezuela","Bolívar","Uaipan-tepui, plateau at SE foot of the peak of Uaipan","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428734' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4109258","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. Maguire","32670","1951","12","01","South America","Venezuela","Bolívar","vic. Sect. 22, Cerro Bolívar","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428733' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4109263","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. Maguire","40275","1954","12","16","South America","Venezuela","Bolívar","in savanna 5 km. southeast of Serra Sabang","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428738' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4109269","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","M. J. Jansen-Jacobs","4865","1995","08","26","South America","Guyana","Upper Takutu-Upper Essequibo","Rupununi. Shea Rock","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428744' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109269","-59.08","2.83","NY04109269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04109257","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","O. Huber","11305","1986","02","16","South America","Venezuela","Bolívar","Dist. Piar/Sifontes: sabanas secundarias y bosques de falería en la región del Salto del Machele, afluente meridional del Río Uaiparú alto, aprox 35 km al NNE de Ikabarú","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428726' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109257","-61.63","4.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4109266","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. Maguire","33166","1952","02","05","South America","Venezuela","Amazonas","Occasional in savanna between San Rafeal and Enemasic","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428741' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109266",NA,NA,NA,"Gran Sabana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4109273","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. M. Boom","9496","1990","02","11","South America","Venezuela","Bolívar","Cerro Guaiquinima, Camp 3.","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428748' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109273","-63","5","NY04109273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4109270","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","M. J. Jansen-Jacobs","5405","1997","09","07","South America","Guyana",NA,"S Rupununi Savanna, Wakadanawa Savanna. 01 60 N; 059 34 W.","290","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428745' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4109268","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","G. H. H. Tate","1219","1937","12",NA,"South America","Venezuela",NA,NA,"1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428743' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4109277","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","O. Huber","9938","1984","12","14","South America","Venezuela","Bolívar","cumbre del Kurún-tepui, aprox. 17 Km al E de Canaima","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428752' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109277","-62.72","6.23",NA,"Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
