"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","individualCount","class"
"20","2019-11-06 09:55:10-03","UFOP","OUPR","13206","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Lisboa, M.A.","s.n.","1971","06",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serrinha de Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"21","2020-12-21 16:23:37-03","MBM","MBM","194467","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","corymboides","Paepalanthus corymboides epilosus","Ruhland","Moldenke, H.N.","Hertel, R.","s.n.","1944","09",NA,"Southern America","Brazil","Paraná","Ponta Grossa","Estrada para Castro","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM194467",NA,NA,NA,NA,NA,NA,NA,"46557","auto","epilosus",NA,NA,NA
"22","2020-12-21 16:23:37-03","MBM","MBM","37338","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","corymboides","Paepalanthus corymboides epilosus","Ruhland","Moldenke, H.N.","Hatschbach, G.","2911","1952","12","21","Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM037338","MBM037338",NA,NA,NA,NA,NA,NA,"46557","auto","epilosus",NA,NA,NA
"23","2015-09-03 21:48:48-03","MNHN","RECOLNAT_MNHN_P","P01727033","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Claussen",NA,"1842","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil (Minas-Geraes). Pico do Itabira. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . P. 16 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01727033' target='other'> <mi>dwc_moreinfo</mi></a>","P01727033","P01727033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"266",NA,NA
"24","2015-09-03 21:41:46-03","MNHN","RECOLNAT_MNHN_P","P01727301","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil, Minas Geraës. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01727301' target='other'> <mi>dwc_moreinfo</mi></a>","P01727301","P01727301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1804",NA,NA
"25","2020-12-11 11:44:05-03","UFMG","BHCB","176841","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L","120","2015","04","16","Southern America","Brasil","Minas Gerais","Congonhas","RPPN Poço Fundo, RPPN proxima à Mina de Fabrica","-43.905833","-20.445833","1260","1260",NA,"Campo Rupestre Ferreginoso","BHCB041468",NA,NA,"2017","-43.905833","-20.445833","06","14",NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:44:05-03","UFMG","BHCB","191624","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Souza, JAM; Paiva, JAM; Silva, SHA","226","2018","03","19","Southern America","Brasil","Minas Gerais","Ouro Branco","Parque Estadual da Serra do Ouro Branco","-43.710278","-20.486667","1543","1543",NA,"Erva, 0,10m. Flor branca.; Campo Rupestre Quartzítico","BHCB191624",NA,NA,"2018","-43.710278","-20.486667","07","23",NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:44:05-03","UFMG","BHCB","534","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Schwacke, CAW","s.n.","1904",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"Serra de Lavras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:44:05-03","UFMG","BHCB","62745","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Gonçalves, MM; Schwacke, CAW","2723","1895","05","12","Southern America","Brasil","Rio de Janeiro",NA,"Serra do Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2012-05-16 13:02:00-03","MO","MOBOT","3036706","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","corymboides","Paepalanthus corymboides epilosus","Ruhland",NA,"Carl Schwacke","Schwacke 14514","1901","5","26","South America","Brazil","Minas Gerais",NA,"In ocumpis elevatis ad Lavrds. Houds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"epilosus",NA,"1",NA
