"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:32-03","E","E","83919","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","Munhoz, C. & Rodrigues, N.","289","1995","08","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92789","<a href=http://data.rbge.org.uk/herb/E00083919 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909015","PreservedSpecimen","Plantae","Melastomataceae","Leandra","parvifolia","Leandra parvifolia","H. S. Irwin","20015","1968","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909015","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1200","1200","NY00909015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","520476","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","A. C. Brade","17390","1945","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520476","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","R. Goldenberg","Rio de Janeiro","Rio Campo Belo","-44.61807","-22.433227","1000","1000","NY00520476_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909030","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","H. S. Irwin","27257","1970","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909030","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","J. J. Wurdack","Minas Gerais","Middle slopes of Serra do Cabral, ca. 2.5 km W. of Cantoni","-44.13","-17.57","850","850","NY00909030_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01856058","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","M. J. R. Rocha","448","2012","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2191820' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856058","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","R. Goldenberg","Minas Gerais","Parque Estadual de Serra Nova, Gerais de Santana.","-42.7656","-15.6611",NA,NA,"NY01856058_01","Rio Pardo de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00909031","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","H. S. Irwin","22608","1969","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909031","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","J. J. Wurdack","Minas Gerais","Ca. 15km NE of Diamantina, on road to Mendanha. Serra do Espinhaço.","-43.55","-18.17","1300","1300","NY00909031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00909026","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","H. S. Irwin","29018","1971","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909026","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","J. J. Wurdack","Minas Gerais","Serra do Espinhaço, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500","NY00909026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00909037","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909037","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.",NA,NA,"Brasilia.",NA,NA,NA,NA,"NY00909037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00683185","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","W. R. Anderson","8457","1973","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00683185","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","J. J. Wurdack","Minas Gerais","Serra do Espinhaco, ca 18 km by road SW of Diamantina on road to Curvelo","-43.72036","-18.36499","1400","1400","NY00683185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00909033","PreservedSpecimen","Plantae","Melastomataceae","Leandra","salicina","Leandra salicina","W. R. Anderson","8980","1973","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909033","Magnoliophyta","Myrtales","(Ser. ex DC.) Cogn.","J. J. Wurdack","Minas Gerais","Serra do Espinhaço, 10 km by road SW of Rio Jequití and Mendanha on road to Diamantina","-43.56681","-18.16389",NA,NA,"NY00909033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
