"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1186065","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa","umbellaris","Coussarea nodosa umbellaris","M.Gomes","R. Marquete","1662","1994","04","17","South America","Brazil","Rio de Janeiro","Paratí","Morro do Carrapato, APA-Cairuçu","-44.7131","-23.2178","130","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01186065","NY01186065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396632","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","H. da S. Brito","120","1981","09","22","South America","Brazil","Bahia","Santa Cruz Cabrália","Est. Ecológica do Pau brasil","-39.1815805","-16.3721094",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396632","NY00396632_01","M. T. V. do A. Campos; B. M. Boom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885368","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","L. Riedel","s.n.","1821",NA,NA,"South America","Brazil",NA,NA,"Mandiocca",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885368","NY00885368_01","C. M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02730493","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","T. D. Gaui","515","2015","10","14","South America","Brazil","Rio de Janeiro","Piraí","Conglomerado 21-1-1-3-R. UTM do Ponto Central","-43.8981018066406","-22.6291999816895",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3046440' target='other'> <mi>dwc_moreinfo</mi></a>","NY02730493","NY02730493_01",NA,"20293","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","396633","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","S. A. Mori","9907","1978","04","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 45 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana. Folha SD-24 (15-39a)","-39.1584277","-14.5229582",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396633","NY00396633_01","M. T. V. do A. Campos; B. M. Boom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396634","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","H. S. Irwin","29471","1971","01","31","South America","Brazil","Minas Gerais","Ouro Preto","Cerrado on middle slopes of Pico de Itacolomí, ca. 3 km S of Ouro Preto","-43.5081","-20.2878","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396634","NY00396634_01","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396631","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","S. A. Mori","12102","1979","07","05","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga rodovia que liga a Estaçao Ecológica do Pau-brasil a Sta. Cruz, 5-7 km ao NE da Estaçao. Ca. 12 km ao NW de Porto Seguro","-39.13","-16.38","80","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396631","NY00396631_01","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:10:01-03","UNESP-IBB","BOTU","29635","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","Ishara, K.L.","516",NA,NA,NA,NA,"Brasil","São Paulo","Botucatu",NA,"-48.016667","-22.866667",NA,NA,NA,"Jardim Botânico UNESP Botucatu","BOTU029635",NA,"Mantovani, W.",NA,NA,"2013","08","16","48°01'w","22°52's",NA,NA,NA,NA,NA
"9","2020-06-29 11:32:19-03","UFRJ","RFA","9451","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","P. Occhioni","3853","1970","04","00",NA,"Brasil","Rio de Janeiro","Duas Barras","Próximo a Rio Bonito","-42.5217018127441","-22.0510997772217",NA,NA,NA,"Arbusto, flores alvas","RFA28074",NA,"J. H. Kirkbride Jr.","18303","auto","1978","02","10",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:50-03","UFRJ","RFA","25970","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","A. Quinet","20/58","2000","12","17",NA,"Brasil","Rio de Janeiro","Magé","Piabetá, Estrada do Matão nº100 - Cachoeira Grande","-43.121667","-22.568889","290","290",NA,"Árvore, 3m de altura, 12cm de DAP, folha discolor verde, fruto verde, comum no local","RFA29059",NA,"M.Gomes",NA,NA,"2001","02","23","43º7'18''W","22º34'8''S",NA,NA,NA,NA,NA
"11","2020-11-13 09:20:50-03","UFRJ","RFA","29674","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","nodosa",NA,"Coussarea nodosa","(Benth.) Müll.Arg.","A. Quinet","33/131","2001","11","30",NA,"Brasil","Rio de Janeiro","Macaé","8º distrito/Sana, Av. Principal/ Cabeceira do Sana","-42.173056","-22.2625","800","800",NA,"Árvore, 3m de altura, 18cm de DAP, folha discolor verde, botões amarelos, comum no local","RFA29060",NA,"M.Gomes",NA,NA,"2002","01","15","42º10'23''W","22º15'45''S",NA,NA,NA,NA,NA
