"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","coordinatePrecision","geoFlag","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:31-03","UNESC","CRI","13019","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","Oliveira, AA de","2015","11","24","Oliveira, A.A. de","2779","2015","11","24","Brasil","Santa Catarina","Morro da Fumaça","Vila Rica. Vila Rica.","-49.232222","-28.619167","49º13'56''W","28º37'9''S","50","50","CRI011626","CRI011626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01806108","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","R. Goldenberg",NA,NA,NA,"A. K. A. dos Santos","253","2004","01","22","Brazil","Bahia","Conde","Estrada para Esplanada, 13.5 km do entrocamento do Conde.","-37.7347","-11.7714",NA,NA,"42","42","NY01806108","NY01806108_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129983' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522285","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","R. Goldenberg",NA,NA,NA,"P. A. Munz","15399","1939","01","03","Brazil","São Paulo","Sao Paulo","Represa de Santo Amaro","-46.63","-23.5403",NA,NA,NA,NA,"NY00522285","NY00522285_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574846' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1652828","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","J. J. Wurdack",NA,NA,NA,"P. M. Jørgensen","791","1994","11","22","Ecuador","Loja",NA,"Cordillera de Las Lagunitas. Amaluza-Jimbura-Zumba, Km 41.","-79.4203","-4.7486",NA,NA,"3270",NA,"NY01652828","NY01652828_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1158718' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521749","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","6476","1997","12","12","Brazil","Paraná","Guaraqueçaba",NA,"-48.32","-25.27",NA,NA,NA,NA,"NY00521749","NY00521749_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338006' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521750","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","18150","1967","12","14","Brazil","Paraná","Antonina","Rio Copiuva","-48.7117","-25.4286",NA,NA,"5","10","NY00521750","NY00521750_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338005' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1652830","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","J. J. Wurdack",NA,NA,NA,"N. Betancourt","324","1986","07","31","Ecuador","Loja",NA,"Km. 14 de la carretera Yangana-Zumba.",NA,NA,NA,NA,"2300",NA,"NY01652830","NY01652830_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1158737' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017201","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","18150","1967","12","14","Brazil","Paraná","Antonina","Rio Copiuva","-48.7117","-25.4286",NA,NA,"5","10","NY01017201","NY01017201_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200601' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521751","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","R. Goldenberg",NA,NA,NA,"P. K. H. Dusén","13650","1911","12","28","Brazil","Paraná","Guaratuba","Rio Cubatao","-48.5744","-25.8831",NA,NA,NA,NA,"NY00521751","NY00521751_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714620' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521752","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. M. Klein","958","1955","01","04","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"15","15","NY00521752","NY00521752_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338003' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","03257174","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana",NA,NA,NA,NA,"S. A. Nicolau","1096","1996","06","19","Brazil","São Paulo","Mogi das Cruzes","Margens do Rio Tieté em direção a Biritiba Mirim","-46.1883010864258","-23.5228004455566",NA,NA,NA,NA,"NY03257174",NA,"Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3557211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"28666","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1652829","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","J. J. Wurdack",NA,NA,NA,"J. Brandbyge","42312","1983","09","26","Ecuador","Loja",NA,"18 km south of Yangana on the road under construction from Loja to Zumba.","-79.13","-4.5",NA,NA,"2400",NA,"NY01652829","NY01652829_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1158730' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","521747","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana",NA,NA,NA,NA,"Collector unspecified","1167",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00521747","NY00521747_01","Magnoliophyta","Myrtales","South America","sheet","Herb. Mus. Vind. 1837 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714622' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","521757","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana","H. A. Gleason",NA,NA,NA,"Martii Herbar. Florae Brasil.","28",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","M. Corcovado prope Rio de Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"NY00521757","NY00521757_01","Magnoliophyta","Myrtales","South America","sheet","Acc. 1837 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","521760","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda","(DC.) Triana",NA,NA,NA,NA,"E. L. Ekman","s.n.","1907",NA,NA,"Argentina","Misiones",NA,"Posadas, sine loco natata",NA,NA,NA,NA,NA,NA,"NY00521760","NY00521760_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714623' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","521754","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","A. C. Brade",NA,NA,NA,"R. M. Klein","827","1954","10","29","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"10","10","NY00521754","NY00521754_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338000' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","521748","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","C. A. Cogniaux",NA,NA,NA,"Helmreichen","47",NA,NA,NA,"Brazil",NA,NA,"Brasilia merid.",NA,NA,NA,NA,NA,NA,"NY00521748","NY00521748_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338001' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","521756","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","A. C. Brade",NA,NA,NA,"R. M. Klein","827","1954","10","29","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"10","10","NY00521756","NY00521756_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337999' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","521755","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","C. A. Cogniaux",NA,NA,NA,"J. B. E. Pohl","102",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Inter frutices ad Juiz da Fora, Cap. Rio d. Jan.","-43.377068","-21.736337",NA,NA,NA,NA,"NY00521755","NY00521755_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338002' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","521753","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"F. Torgo","s.n.","1961","12","02","Brazil","São Paulo","Itanhaém","Vila Atlantica, Fazenda Santa Cruz","-46.670689","-24.085616",NA,NA,NA,NA,"NY00521753","NY00521753_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338004' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","521749","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","6476","1997","12","12","Brazil","Paraná","Guaraqueçaba",NA,"-48.32","-25.27",NA,NA,NA,NA,"NY00521749","NY00521749_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338006' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","521750","PreservedSpecimen","Plantae","Melastomataceae","Miconia","jucunda","Miconia jucunda olfersiana","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","18150","1967","12","14","Brazil","Paraná","Antonina","Rio Copiuva","-48.7117","-25.4286",NA,NA,"5","10","NY00521750","NY00521750_01","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338005' target='other'> <mi>dwc_moreinfo</mi></a>","olfersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
