"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","barcode","imagecode","preparationType","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015318","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","C. M. Taylor","P. Fiaschi","1751","2003","10","23","South America","Brazil","Bahia","Uruçuca","Rodovia Ilhéus-Itacaré, entrada à esquerda, na rotatória de acesso à Uruçuca, ca. 9.5 km, ramal à esq. Parque Estadual Serra do Conduru.","-39.1","-14.48","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015318","NY01015318_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396636","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","K. Krause","P. von Luetzelburg","374","1911",NA,NA,"South America","Brazil","Bahia",NA,"Boa Esperança",NA,NA,"sheet 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396636","NY00396636_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015263","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","C. M. Taylor","A. M. Amorim","618","1992","08","24","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3km na estrada Serra Grande / Itacaré. Conjunto Fazenda Santa Cruz. Coletas efetuadas 30.7 km a partir da sede do municpio.","-39.2842","-14.5933","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=411299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015263","NY01015263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396637","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.",NA,"G. Gardner","5507","1841",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396637","NY00396637_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-05-17 10:21:00-03","NY","NYBG","02680572","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis",NA,NA,"S. J. da Silva Neto","1339","1999","11","17","South America","Brazil","Rio de Janeiro","Duque de Caxias","Trilha ao redor da barragem, lado dcireito, interior de mata. Saracuruna. Reserva da Petrobras","-43.233333","-22.516667","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2948921' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680572","NY02680572_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01195819","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","C. M. Taylor","J. G. Jardim","4166","2003","12","18","South America","Brazil","Bahia","Uruçuca","Rod. Serra Grande/Uruçuca, ca. 14 km W Parque Estadual Serra do Conduru; Serra do Conduru","-39.1056","-14.4806","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1403977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195819","NY01195819_01","sheet","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01095822","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","C. M. Taylor","P. Fiaschi","2384","2004","07","03","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo do Parque Estadual da Serra do Conduru. Mata da torre do celular","-39.115","-14.4997","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095822","NY01095822_01","sheet","380","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396635","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg.","K. Krause","P. von Luetzelburg","374","1911",NA,NA,"South America","Brazil","Bahia",NA,"Boa Esperança",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396635","NY00396635_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1182888","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis porophylla","(Vell.) M.Gomes","M. Gomes","C. M. Vieira","205","1992","03","16","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Parcela 14 - Morro das Mariquitas. Área 14A.","-42.883","-22.483","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411095' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182888","NY01182888_01","sheet",NA,NA,"porophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:10:01-03","UNESP-IBB","BOTU","28661","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","meridionalis","Coussarea meridionalis","(Vell.) Müll.Arg",NA,"Quinet, A.","388","2000","08","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.266667","-22.55","Arvoreta de 3 m de altura. Folhas cartáceas discolores verdes. Frutos carnosos, imaturos verdes, maduros alvos, cálice persistente. Ciófila.","BOTU028661",NA,NA,NA,NA,NA,"43°16'00w","22°33'00s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
