"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","barcode","locality","typeStatus","fieldNumber","year","preparationType","occurrenceRemarks","imagecode","class","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2019-02-15 11:49:34-02","IPA","IPA","41353","S","Plantae","Plantae","Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll. Arg.","Gardner","1152","Southern America","Brasil","Pernambuco","IPA0041353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:49:34-02","IPA","IPA","41352","S","Plantae","Plantae","Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll. Arg.","Blanchet","2878","Southern America","Brasil","Bahia","IPA0041352","Morais d'Ithabira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-04 01:48:05-02","MNHN","RECOLNAT_MNHN_P","P00836568","PreservedSpecimen",NA,NA,"Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll.Arg.","Blanchet, J.S.",NA,NA,"Brésil",NA,"P00836568","Bahia","type","3088","1865","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836568' target='other'> <mi>dwc_moreinfo</mi></a>","P00836568_01",NA,NA,NA,NA,NA,NA,NA
"4","2014-04-23 16:27:30-03","MNHN","RECOLNAT_MNHN_P","P00836569","PreservedSpecimen",NA,NA,"Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll.Arg.","Blanchet, J.S.",NA,NA,"Brésil",NA,"P00836569","Bahia","type","3088","1865","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836569' target='other'> <mi>dwc_moreinfo</mi></a>","P00836569_01",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:14:29-03","UEFS","HUEFS","42211","PreservedSpecimen","Plantae","Angiospermae","Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll.Arg.","Blanchet","3088",NA,"Brasil","Bahia","HUEFS0042211","Vila do Barra.","Holótipo",NA,"1840",NA,NA,NA,"Asteranae","Gentianales","Jacobina","-40.5182991027832","-11.1806001663208","62396","auto"
"6","2019-09-04 18:14:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Guettarda","paludosa","Guettarda paludosa",NA,"J. S. Blanchet","3088","South America","Brazil",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA
"7","2019-01-23 11:14:33-02","F","FMNH-SEEDPLANTS","V0069376F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Guettarda","paludosa","Guettarda paludosa",NA,"J. S. Blanchet","3088","South America","Brazil",NA,"V0069376F",NA,"Isotype",NA,NA,NA,NA,"V0069376F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA
"8","2019-01-23 11:14:33-02","F","FMNH-SEEDPLANTS","V0069377F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Guettarda","paludosa","Guettarda paludosa",NA,"J. S. Blanchet","3088","South America","Brazil",NA,"V0069377F",NA,"Isotype",NA,NA,NA,NA,"V0069377F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA
"9","2019-01-23 10:11:58-02","F","FMNH-SEEDPLANTS","V0360139F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Guettarda","paludosa","Guettarda paludosa",NA,"J. S. Blanchet","3088","South America","Brazil",NA,"V0360139F",NA,"Isotype",NA,NA,NA,NA,"V0360139F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA
"10","2017-09-11 17:13:25-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll.Arg.","Blanchet, JS","3088","Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"In paludosis Japirensibus.; HABITAT: In paludosis Japirensibus.",NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:13:25-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Rubiaceae","Guettarda","paludosa","Guettarda paludosa","Müll.Arg.","Blanchet, JS","3088","Southern America","Brazil","Bahia",NA,"in provincia Bahia, in paludosis Japirensibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
