"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:19-03","UNESC","CRI","14550","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Renato Colares","2018","03","17","Renato Colares; Altamir Antunes; Guilherme Lodetti; Aline Guislon & Bruna Ghislandi","2018","03","17","Brasil","Santa Catarina","Grão Pará","-49.212778","-28.186667","49º12'46''W","28º11'12''S","Habito: Arbustivo","CRI013853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","11364","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Renato Colares","2019","01","15","A. Korte; A. Kniess","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","-49.410833","-27.629167","49º24'39''W","27º37'45''S","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI001098","1109","Soldadinho.","772","772","CRI001098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798013","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"F. C. Hoehne","1933","08","17","Brazil","São Paulo",NA,"-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798013","31903","Jardim Botanico de S. Paulo",NA,NA,"NY00798013_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798009","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","J. F. Pruski",NA,NA,NA,"A. C. Dias","1984","10","02","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798009","5","P. E. Carlos Botelho, Instituto Florestal",NA,NA,"NY00798009_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","798008","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","H. E. Robinson",NA,NA,NA,"G. G. Hatschbach","1980","11","04","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798008","43261","Rio do Corvo",NA,NA,"NY00798008_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","798012","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"F. C. Hoehne","1933","08","18","Brazil","São Paulo",NA,"-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798012","31772","Parque do Estado de Sao Paulo",NA,NA,"NY00798012_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","798011","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"G. L. Smith","1980","10","23","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798011","1088","Tabatinga",NA,NA,"NY00798011_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798014","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"O. Handro","1931","08","05","Brazil","São Paulo",NA,"-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798014","28130","Parque do Estado de Sao Paulo",NA,NA,"NY00798014_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","798015","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"G. L. Smith","1980","10","23","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798015","1088","Tabatinga",NA,NA,"NY00798015_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","806694","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","S. Dala Rosa",NA,NA,NA,"S. Dala Rosa","1999","08","24","Brazil","Paraná","Morretes","-48.9","-25.43",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806694","29","Parque Estadual do Pico Marumbi.","700","700","NY00806694_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","798010","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"G. G. Hatschbach","1966","08","12","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798010","14580","Col. S. Andrade",NA,NA,"NY00798010_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","798016","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","G. L. Smith",NA,NA,NA,"G. G. Hatschbach","1972","07","11","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798016","29796","Borda do Campo",NA,NA,"NY00798016_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:24:53-03","PUCPR","HUCP","19979","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Smith.","Selusniaki, M",NA,NA,NA,"Selusniaki, M; Beltrami, L","2007","11","15","Brasil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,"HUCP00007821","1533","Morro do Canal",NA,NA,"HUCP00007821","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:24:53-03","PUCPR","HUCP","19759","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Smith.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2008","07","14","Brasil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,"HUCP00007948","2196","Morro do Canal",NA,NA,"HUCP00007948","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:24:53-03","PUCPR","HUCP","19748","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Smith.","Selusniaki, M",NA,NA,NA,"Selusniaki, M; Ariati, V","2008","07","14","Brasil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,"HUCP00007753","2127","Morro do Canal",NA,NA,"HUCP00007753","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:51:01-03","NBC","NL-BOTANY","WAG.1877453","PreservedSpecimen","Plantae","Compositae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.",NA,NA,NA,NA,"Cordeiro J; Zelma FJ","1987","07","24","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1877453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1877453",NA,"Morro Mae Catira (mun. Quatro Barras) Parana.",NA,NA,"NL-WAG1877453",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
