"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","individualCount"
"1","2020-12-21 16:43:21-03","MBM","MBM","53521","PreservedSpecimen","Plantae","Rubiaceae","Galium","rubidiflorum","Galium rubidiflorum","Dempster","Dempster, L.T.","1986","ISOTYPE","Hatschbach, G.","14786","1966","10","03","Southern America","Brazil","Paraná","Lapa","Gruta do Monge","-49.7158012390137","-25.7696990966797","49965","Flor bordeau.; Campo pedregoso.","MBM053521","MBM053521","auto",NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2564427","PreservedSpecimen","Plantae","Rubiaceae","Galium","rubidiflorum","Galium rubidiflorum","Dempster",NA,NA,"Holotype","G. Hatschbach","14786","1966","10","3","South America","Brazil","Paraná","Lapa","Gruta de Monje.","-49.7158012390137","-25.7696990966797","49965",NA,"US00170118","US00170118_01","auto","Dicotyledonae","Rubiales","1"
