"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus","eventTime"
"1","2021-04-05 14:33:32-03","UNESC","CRI","6131","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","Vanilde Citadini- Zanette","Antonio Topanotti","1996","09","10","Brasil","Santa Catarina","Treze de Maio","Santa Cruz.","-49.148056","-28.559444","49º8'53''W","28º33'34''S","179","179","CRI003217","CRI003217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","1688","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","Vanilde Citadini- Zanette","V. Citadini-Zanette; A. J. de Aguiar & C. M. Martinello","1993","05","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI003218","CRI003218","Habito: epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:25-03","E","E","289771","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis",NA,NA,"Ribas, O.S.; Hirai, R.Y.","1997","10","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00289771",NA,"<a href=http://data.rbge.org.uk/herb/E00289771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1999","E. Tropical South America","herbarium specimen of unspecif","BGBASE:299551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:25-03","E","E","162552","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis",NA,NA,"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.","1976","08","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00162552",NA,"<a href=http://data.rbge.org.uk/herb/E00162552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","441898","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Chautems","A. P. Duarte","1961","08","01","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes","-43.482796","-23.016442",NA,NA,NA,NA,"NY00441898","NY00441898_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665032' target='other'> <mi>dwc_moreinfo</mi></a>","6239","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","441902","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Chautems","G. G. Hatschbach","1966","01","05","Brazil","Paraná","Morretes","Electric Plant Marumbi","-48.8342","-25.4769",NA,NA,NA,NA,"NY00441902","NY00441902_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665027' target='other'> <mi>dwc_moreinfo</mi></a>","Ha13466","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","441903","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Chautems","N. A. Rosa","1980","11","26","Brazil","São Paulo",NA,"Sto. André, reserva Biológica do alto da serra Paranapiacaba","-46.3","-23.75",NA,NA,"750","890","NY00441903","NY00441903_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665030' target='other'> <mi>dwc_moreinfo</mi></a>","3892","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","441899","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Chautems","G. G. Hatschbach","1977","10","05","Brazil","Paraná","Cerro Azul","Rio Turvo","-49.2608","-24.8236",NA,NA,NA,NA,"NY00441899","NY00441899_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665028' target='other'> <mi>dwc_moreinfo</mi></a>","40344","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","441900","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Chautems","G. G. Hatschbach","1966","01","05","Brazil","Paraná","Morretes","Usina Eletrica Marumbi","-48.8342","-25.4769",NA,NA,NA,NA,"NY00441900","NY00441900_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665029' target='other'> <mi>dwc_moreinfo</mi></a>","13466","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","441901","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","gracilis","Codonanthe gracilis","(Mart.) Hanst.","A. Gehrt","F. C. Hoehne","1936","10","06","Brazil","São Paulo","Ribeirao Pires","Est. Biol., A. Serra","-46.4097","-23.71",NA,NA,NA,NA,"NY00441901","NY00441901_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665026' target='other'> <mi>dwc_moreinfo</mi></a>","2375","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
