"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:34:08-03","UNESC","CRI","9109","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","M. Verdi","2009","11","19","M. Verdi; B. Grosch & G. Klemz","982","2009","11","19","Brasil","Santa Catarina","Campos Novos","Florão da Serra.","-51.526111","-27.32","51º31'34''W","27º19'12''S","585","585","Floresta Estacional Decidual","CRI009846","CRI009846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:06-03","UNESC","CRI","8527","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","A. L. de Gasper","2008","11","22","A. Stival-Santos; A.L. de Gasper & S. Silveira","188","2008","11","22","Brasil","Santa Catarina","Luzerna",NA,"-51.435","-27.09","51º26'6''W","27º5'24''S",NA,NA,NA,"CRI009845","CRI009845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:06-03","UNESC","CRI","14255","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","Verdi, M","2008","11","26","Verdi, M.; Grosch, B. & Klemz, G.","1065","2008","11","26","Brasil","Santa Catarina","Concórdia","Linha Sertão. Linha Sertão.","-51.974722","-27.313889","51º58'29''W","27º18'50''S","548","548","IFFSC 1693/S/14 Habitat: Floresta Estacional Decidual; Estágio Inicial Habito: Fruto vermelho;","CRI013369","CRI013369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182794","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","laevigatus","Allophylus laevigatus","(Turcz.) Radlk.","D. B. O. S. Cardoso",NA,NA,NA,"D. B. O. S. Cardoso","1234","2006","04","21","Brazil","Bahia","Ruy Barbosa","ARIE Serra do Orobó. Fragmento de floresta estacional semidecidual em frente da sede da Faz. Rancho de Deus.","-40.4761","-12.3286",NA,NA,"591","591","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408980' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182794","NY01182794_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447770","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","T. D. Pennington",NA,NA,NA,"Martii Herbar. Florae Brasil.","524","1839","02",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447770",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017656","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","T. D. Pennington",NA,NA,NA,"M. Dupré","s.n.","1842",NA,NA,"Brazil",NA,NA,"Bresil Meridional.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017656",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447776","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","T. D. Pennington",NA,NA,NA,"L. Riedel","1071","1832",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447776",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","447778","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","L. A. T. Radlkofer",NA,NA,NA,"G. Schüch","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447778",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1416101","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","P. Acevedo-Rodríguez",NA,NA,NA,"P. Acevedo-Rodríguez","14847","2009","02","07","Brazil","Acre","Jordão","Moist Forest, surroundings of Jordão.","-71.935505","-9.18467",NA,NA,"280","280","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416101","NY01416101_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","447775","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","puberulus","Allophylus puberulus","(Cambess.) Radlk.","T. D. Pennington",NA,NA,NA,"L. Riedel","s.n.","1832",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447775",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
