"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","individualCount","yearIdentified","county","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","428591","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","teixeirae","Licania teixeirae","Prance","isotype","L. O. A. Teixeira","728","1982","02","25","South America","Brazil","Rondônia","Municipio de Santa Barbara, Rondovia BR 364, km 120, 10 km ao Norte da Sede da Mineracao","-63.12","-9.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428591","NY00428591_01 NY00428591_02",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","42851","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","teixeirae","Licania teixeirae","Prance","isotype","L. O. A. Teixeira","728","1982","02","25","South America","Brazil","Rondônia","Municipio de Santa Barbara, Rondovia BR 364, km 120, 10 km ao Norte da Sede da Mineracao","-63.12","-9.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00042851",NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-07-26 16:43:00-03","MO","MOBOT","1820571","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","teixeirae","Licania teixeirae","Prance","Isotype","L.O. Adão Teixeira","Teixeira 728","1982","5","25","South America","Brazil","Rondônia","Município de Santa Barbara, Rodovia BR 364, km. 120. 10 km. ao Norte da Sede da Mineracão. Mata na beira da estrada.","-63.1166667","-9.1666667",NA,NA,NA,NA,"G.T. Prance","1",NA,NA,NA,NA,NA
"4","2020-08-31 09:01:23-03","INPA","INPA","104465","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Licania","teixeirae","Licania teixeirae","Prance","holotype","Teixeira, LOA","728","1982","05","25","Southern America","Brasil","Rondônia","BR 364, km 120, 10 km Norte da Sede da Mineração, Rodovia BR 364, km 120, 10 km ao Norte da Sede da Mineração. Mata de beira de estrada.","-63.116667","-9.166667",NA,NA,"INPA0104465","INPA0104465 INPA0104465_e INPA0104465_e1","Prance, GT",NA,"1984","Santa Bárbara","-63.116667","-9.166667",NA
"5","2020-09-12 05:00:02-03","US","US","3095619","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Licania","teixeirae","Licania teixeirae","Prance","Isotype","L. O. A. Teixeira, A. Fife, K. McFarland, C. D. A. Mota & J. L. Santos","728","1982","5","25","South America - Neotropics","Brazil","Rondônia","Rodovia BR 364, km 120, 10 km N of Sede de Mineracao.",NA,NA,NA,NA,"US00007854","US00007854_01",NA,"1",NA,"Santa Barbara",NA,NA,"Dicotyledonae"
"6","2019-01-23 11:35:38-02","F","FMNH-SEEDPLANTS","V0054076F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Licania","teixeirae","Licania teixeirae",NA,"Isotype","L. O. A. Teixeira et al.","728","1982","5","25","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0054076F","V0054076F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"7","2019-01-23 11:35:38-02","F","FMNH-SEEDPLANTS","V0054077F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Licania","teixeirae","Licania teixeirae",NA,"Isotype","L. O. A. Teixeira et al.","728","1982","5","25","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0054077F","V0054077F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
