"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","898570","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","L. B. Smith; E. S. Ayensu","G. G. Hatschbach","35399","1974","10","27","South America","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio S. Antonio","-43.4247","-19.0372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898570","NY00898570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","898569","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","R. de Mello-Silva","N. L. de Menezes","1366","1998","01","29","South America","Brazil","Minas Gerais","Conceição do Mato Dentro","estrada Lagoa Santa-Serro, margens do rio Santo Antônio.","-43.4247","-19.0372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898569","NY00898569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:20:47-03","UNICAMP","UEC","17520","S","Plantae","Liliopsida",NA,"Velloziaceae","Pleurostima","delicatula","Pleurostima delicatula","(L.B.Sm. & Ayensu) N.L.Menezes","Menezes, NL","Hatschbach, G","35399","1974","10","27",NA,"Brazil","Minas Gerais","Conceição do Mato Dentro","Rio São Antonio","-43.4249992370605","-19.0372009277344",NA,"Dos lageados da beira do rio, prefere local levemente sombrio. Flor alva a lilaz","UEC060846","UEC060846","1976","paratypus","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:46:47-03","MBM","MBM","22081","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu","Hatschbach, G.","30090","1972","08","08","Southern America","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio, Rod. MG 2","-43.4249992370605","-19.0372009277344",NA,"Flor creme esverdeada, paredões sombrios margens rio.; Flor creme esverdeada.; Pardões sombrios àsmargens do rio.","MBM022081","MBM022081","1975","PARATYPE","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:46:47-03","MBM","MBM","31732","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"Hatschbach, G.; Ferreira, L.F.; Ferreira, L.F.","35399","1974","10","27","Southern America","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,"dos lageados da beira do rio, prefere local levemente sombrio. flor alva e lilás; Flor alva a lilás.; Dos lajeados da beira do rio, prefere local levemente sombrio.","MBM031732","MBM031732",NA,"PARATYPE","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:46:47-03","MBM","MBM","20092","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","28878","1972","01","18","Southern America","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,"Flor verde, afloramentos rochosos.; Flor verde.; Afloramentos rochosos.","MBM020092","MBM020092","1972","ISOTYPE","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:46:49-03","MBM","MBM","104782","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","delicatula","Pleurostima delicatula","L.B.Sm. & E. Ayensu","Mello-Silva, R.","Hatschbach, G.; et al.; et al.","50106",NA,NA,NA,"Southern America","Brazil","Bahia","Andaraí","Rio Coisa Boa","-41.3314018249512","-12.8072004318237",NA,NA,"MBM104782","MBM104782",NA,NA,"58558","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-12-26 16:03:50-02","MNHN","RECOLNAT_MNHN_P","P00712987","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Smith & Ayensu","Hatschbach, G.|Ferreira, L.F.",NA,"1974","10","27",NA,"Brésil",NA,NA,"Minas Gerais : Conceiçao de Mata, Rio S. Antonio",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00712987' target='other'> <mi>dwc_moreinfo</mi></a>","P00712987","P00712987_01 P00712987_02",NA,"paratype",NA,NA,"35399",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-01 14:26:21-03","JBB","HEPH","34555","S","Plantae","Monocotyledon","Pandanales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Quaresma, AS","Quaresma, AS; Oliveira, CT","802","2017","05","24","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4375","-19.0625",NA,"CNC Flora - Categoria de Ameaça: Em Perigo",NA,NA,"2017",NA,NA,NA,NA,"07","05","-43.4375","-19.0625",NA,NA,NA,NA,NA
"10","2020-12-11 11:45:25-03","UFMG","BHCB","186123","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Vidal, CV","1294","2014","11","11","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.364997","-19.888717",NA,"Herbáceo; Floração; Flor lilás claro, quase branco, altura 2m; Campo rupestre sobre formação ferruginosa","BHCB186123",NA,NA,NA,NA,NA,NA,NA,NA,"-43.364997","-19.888717",NA,NA,NA,NA,NA
