"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:56-03","E","E","315763","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","Harley, Raymond M.","21267","1980","04","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319547","<a href=http://data.rbge.org.uk/herb/E00315763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400584","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","W. W. Thomas","9528","1993","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400584","Magnoliophyta","Lamiales","Vahl","P. G. Taylor","Bahia","Ilhéus","Rapids and falls of the Rio feeding into the Lagoa Encantada, Caldeiras.","-39.17","-14.6","NY00400584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3857690","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","B. Maguire","35826","1953","10","18","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135470' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857690","Magnoliophyta","Lamiales","Vahl",NA,"Bolívar",NA,"2 km. south of Ciudad Piar",NA,NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01173294","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","G. T. Prance","4487","1967","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173294","Magnoliophyta","Lamiales","Vahl","P. G. Taylor","Roraima",NA,"Plateau of Serra Tepequem","-61.726002","3.785408","NY01173294_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03687179","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","L. Nusbaumer","4233","2014","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952266' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687179","Magnoliophyta","Lamiales","Vahl",NA,"Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.445917","-9.230181","NY03687179_01","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400677","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","T. Morong","332","1888","12","25","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400677","Magnoliophyta","Lamiales","Vahl","P. G. Taylor",NA,NA,"Lugue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01173295","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","G. T. Prance","P24819","1977","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173295","Magnoliophyta","Lamiales","Vahl","P. G. Taylor","Pará",NA,"Serra do Cachimbo, BR 163, Cuiabá-Santarém Highway, Cachoeira de Curuá; north slope of Serra Cachimbo.","-54.9644","-8.7367","NY01173295_01","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3857689","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","L. Aristeguieta","2247","1954","04",NA,"South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135469' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857689","Magnoliophyta","Lamiales","Vahl",NA,"Bolívar",NA,"Sitio pantanosos en las márgenes de los morichales. Alrededores de Ciudad Piar",NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3857694","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","J. A. Steyermark","41171","1956","01","07","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135474' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857694","Magnoliophyta","Lamiales","Vahl",NA,"Bolívar",NA,"1-4 km. above Salto de Humito (25-30 km. from river mouth)",NA,NA,NA,"130","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400688","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","J. S. Blanchet",NA,"1832",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400688","Magnoliophyta","Lamiales","Vahl",NA,"Bahia",NA,"In subinundatis circa Bahiam omnium Sanctor. Brasiliae intratropicae",NA,NA,"NY00400688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","929763","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pusilla","Utricularia pusilla","H. S. Irwin","25900","1970","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929763","Magnoliophyta","Lamiales","Vahl","P. G. Taylor","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","-46.8727","-17.22555","NY00929763_01 NY00929763_02","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
