"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00934798","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","E. P. Heringer","3262","1953","04","24","South America","Brazil","Minas Gerais","Juiz de Fora","Juiz de Fora","-43.377068","-21.736337","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934798","NY00934798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459238","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","L. Riedel",NA,"1923","02","01","South America","Brazil","Rio de Janeiro","Magé","Prov. Mand in collibus apricis","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459238","NY00459238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459239","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","A. F. M. Glaziou","8448",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459239","NY00459239_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00934799","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Y. E. J. Mexia","4614","1930","04","22","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Agricultural College Lands. North slope of Barbabo","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934799","NY00934799_01","G. O. A. Malme","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459240","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","E. P. Heringer","3261","1953","04","24","South America","Brazil","Minas Gerais","Juiz de Fora","Juiz de Fora","-43.377068","-21.736337","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459240","NY00459240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:54-03","UFRJ","RFA","27471","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","A. Quinet","30/85","2001","04","09",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Lumiar / Macaé de Cima","-42.324444","-22.356389",NA,"Liana, folha verde, inflorescência esverdeada, flores esverdeadas com estames vinosos, comum no local.","RFA40032",NA,"H. C. de Lima & L. F. G. da Silva","700","700","2001","12","17","42º19'28''W","22º21'23''S",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:54-03","UFRJ","RFA","27789","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Flávio Britto Pereira","abr-90","2001","04","26",NA,"Brasil","Rio de Janeiro","Silva Jardim","Fazenda Novo Horizonte.","-42.483889","-22.535",NA,"Planta trepadeira, folha verde, flor de cor de vinho, comum no local.","RFA40033",NA,"L. F. G. da Silva & H. C. de Lima","28","28","2001","12","17","42º29'2''W","22º32'6''S",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:54-03","UFRJ","RFA","29820","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","F. B. Pereira","38/137","2001","12","29",NA,"Brasil","Rio de Janeiro","Rio Claro","Distrito Lídice.","-44.1356010437012","-22.7231006622314",NA,"Trepadeira, folha verde, caule verde, flor vinho, solo argiloso, comum na região.","RFA40030",NA,"H. C. de Lima & L. F. G. da Silva","660","660","2002","04","08","44º9'79''W","22º50'80''S","27045","auto",NA,NA,NA,NA,NA
"9","2020-11-13 09:19:54-03","UFRJ","RFA","27697","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","A. Quinet","33/91","2001","05","06",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Distrito Lumiar/Sibéria. Sítio Pouso Certo.","-42.5311012268066","-22.2819004058838",NA,"Arbusto, 3m de altura, 7cm de DAP, folíolos membranáceos discolores verdes, comum no local.","RFA40031",NA,"L. F. G. da Silva & H. C. de Lima","650","650","2001","12","17","42º22'84''W","22º20'72''S","33190","auto",NA,NA,NA,NA,NA
"10","2021-04-08 17:40:14-03","EAO","IAN","15151","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Oliveira, JE de","327","1941","05","04","Southern America","Brasil","Minas Gerais","Tombos","Capoeira-fazenda da Cachoeira-muito frequente.","-42.0228004455566","-20.9046993255615",NA,"Trepadeira; flores amarelas.","IAN015151","IAN015151 IAN015151_e","Ribeiro, PG",NA,NA,"2013","05","24",NA,NA,"16749","auto",NA,NA,NA,NA,NA
"11","2021-04-08 17:40:14-03","EAO","IAN","82152","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Mexia, Y","4614","1930","04","22","Southern America","Brasil","Minas Gerais","Viçosa","Shrub, scandent 6m. high with dark red flower. Agricultural College Lands. North slope of Barbabo; cut-over woods.","-42.8819007873535","-20.7539005279541",NA,NA,"IAN082152",NA,"Ribeiro, PG",NA,NA,"2013","05","24",NA,NA,"13937","auto",NA,NA,NA,NA,NA
"12","2020-02-08 09:10:42-03","NBC","NL-BOTANY","U.1308560","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Mexia YEJ",NA,"1930","04","22","Southern America","Brazil",NA,NA,"State of Minas Geraes. Vicosa College lands. North slope of Barbado.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308560","NL-U1308560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-11-04 11:10:13-03","ESALQ","ESA","78963","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Oliveira, J.E.","327.0","1941","05","04",NA,"Brasil","Minas Gerais","Tombos",NA,"-42.0228004455566","-20.9046993255615",NA,NA,"ESA078963","ESA078963","Mello-Barreto",NA,NA,NA,NA,NA,NA,NA,"16749","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:10:13-03","ESALQ","ESA","103685","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha",NA,"Valente, A.","295.0","2003","02","24",NA,"Brasil","Minas Gerais","São João Nepomuceno",NA,"-43.0106010437012","-21.5400009155273",NA,NA,"ESA103685",NA,"Lopes, A.V.",NA,NA,"2003","08","18",NA,NA,"20981","auto",NA,NA,NA,NA,NA
"15","2021-01-14 15:30:08-03","MN","R","38431","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Yellan, N.H.P.","245","1943","02","13",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"16","2020-12-20 21:17:41-03","UFV","VIC","37255","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","loefgreniana","Piptadenia loefgreniana","Hoehne","Krieger, L.","1094","1944","07","20",NA,"Brasil","Minas Gerais","Juiz de Fora","Capoeira.","-43.3502998352051","-21.7642002105713",NA,"Árvore pequena.","VIC037255","VIC037255","O.H. (IBSP)",NA,NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA
"17","2020-12-20 21:17:41-03","UFV","VIC","43685","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.; et al.","1440","2012","05","30",NA,"Brasil","Minas Gerais","Açucena","Parque Estadual do rio corrente","-42.5463981628418","-19.0730991363525",NA,"Flores com filetes avermelhados, material para filogenia.","VIC043685","VIC043685","Fernandes, J.M.",NA,NA,"2012","05","30",NA,NA,"35235","auto",NA,NA,NA,NA,NA
"18","2020-12-20 21:17:41-03","UFV","VIC","35902","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.","274","2006","04","28",NA,"Brasil","Minas Gerais","Araponga","Entorno do Parque Estadual Serra do Brigadeiro, Fragmento da Lurdinha. Floresta Estacional Semidecidual.","-42.5208015441895","-20.6667003631592",NA,"Trepadeira com flores vermelhas.","VIC035902","VIC035902","Fernandes, J.M.",NA,NA,"2006","04","28",NA,NA,"16385","auto",NA,NA,NA,NA,NA
"19","2020-12-20 21:17:41-03","UFV","VIC","35768","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.","326","2006","08","05",NA,"Brasil","Minas Gerais","Araponga","Entorno do Parque Estadual Serra do Brigadeiro, Fragmento da Lurdinha. Floresta Estacional Semidecidual.","-42.5208015441895","-20.6667003631592",NA,"Trepadeira; frutos imaturos.","VIC035768","VIC035768","Fernandes, J.M.",NA,NA,"2006","08","05",NA,NA,"16385","auto",NA,NA,NA,NA,NA
"20","2020-12-20 21:17:41-03","UFV","VIC","20984","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Silva, J.L.; Messias, M.C.T.B.; Roschel, M.B.","s.n.","1994","04","14",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Estrada para fazenda do Manso.","-43.5080986022949","-20.2875003814697",NA,"Inflorescências avermelhadas.","VIC020984","VIC020984",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"21","2020-12-20 21:17:41-03","UFV","VIC","47040","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Castro, R.M.; et al.","512","2001","07","07",NA,"Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama, Beira da mata.","-42.9674987792969","-21.4596996307373",NA,"Árvore com ca. 5m de altura na borda da mata. Frutos imaturos verdes.; Árvore com ca. 5m de altura. Frutos imaturos verdes.; Mata","VIC047040","VIC047040","Lima, H.C. de",NA,NA,NA,NA,NA,NA,NA,"11991","auto",NA,NA,NA,NA,NA
"22","2020-12-20 21:17:41-03","UFV","VIC","35811","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.","285","2006","04","28",NA,"Brasil","Minas Gerais","Araponga","Entorno do Parque Estadual Serra do Brigadeiro, SAF do Sr. João dos Santos. Floresta Estacioal Semidecidual.","-42.5208015441895","-20.6667003631592",NA,"Trepadeira com flores avermelhadas.","VIC035811","VIC035811","Fernandes, J.M.",NA,NA,"2006","04","28",NA,NA,"16385","auto",NA,NA,NA,NA,NA
"23","2020-12-20 21:17:41-03","UFV","VIC","20986","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Lima, L.C.P.; Duelhi-Filho, J.C.","390","2005","08","23",NA,"Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi (PEI), Estrada do Cibrão, próximo ao rio Belchior.","-43.4160995483398","-20.377799987793",NA,"trepadeira armada. Fruto esverdeado. Coletado em área de mata.","VIC020986","VIC020986",NA,NA,NA,NA,NA,NA,NA,NA,"33524","auto",NA,NA,NA,NA,NA
"24","2020-12-20 21:17:41-03","UFV","VIC","35910","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.","350","2006","08","05",NA,"Brasil","Minas Gerais","Araponga","Entorno do Parque Estadual Serra do Brigadeiro, Fragmento da Lurdinha. Floresta Estacioal Semidecidual.","-42.5208015441895","-20.6667003631592",NA,"Trepadeira com frutos verdes.","VIC035910","VIC035910","Fernandes, J.M.",NA,NA,"2006","08","05",NA,NA,"16385","auto",NA,NA,NA,NA,NA
"25","2020-12-20 21:17:41-03","UFV","VIC","041957","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Siqueira, L.C. de; Batista, M.L.","689","2012","04","19",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada para Ervália.","-42.5208015441895","-20.6667003631592",NA,"Escandente, coleta realizada em barranco de flores vermelho escuro.","VIC041957","VIC041957",NA,NA,NA,NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA
"26","2020-12-20 21:17:41-03","UFV","VIC","20985","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Lima, L.C.P.; Duelhi-Filho, J.C.","390","2005","08","23",NA,"Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi (PEI), Estrada do Cibrão, próximo ao rio Mainarte.","-43.4160995483398","-20.377799987793",NA,"Liana armada. Fruto verde imaturo. Coletado em área de mata.","VIC020985","VIC020985",NA,NA,NA,NA,NA,NA,NA,NA,"33524","auto",NA,NA,NA,NA,NA
"27","2020-12-20 21:17:41-03","UFV","VIC","37495","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Terra, V.; Fernandes, J.M.; Miller, J.T.","664","2012","06","01",NA,"Brasil","Minas Gerais","Santa Maria do Salto",NA,"-40.1493988037109","-16.2488994598389",NA,"Trepadeira. Floresta estacional.","VIC037495","VIC037495","Terra, V.",NA,NA,"2012","06","01",NA,NA,"24863","auto",NA,NA,NA,NA,NA
"28","2020-12-20 21:17:41-03","UFV","VIC","286","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Mexia, Y.","4614","1930","04","22",NA,"Brasil","Minas Gerais","Viçosa","E. S. A. V., Ao norte da encosta de Barbado. Floresta cortada.","-42.8819007873535","-20.7539005279541",NA,"Arbusto escandente, c.a. de 6 metros de altura. Flores vermelhas escuras.","VIC000286","VIC000286","Tamashiro, J.Y.",NA,NA,"1981","01",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA
