"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","locality","recordNumber","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","typeStatus","sex"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1482","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","Carlos A. Ferreira Jr.","2010","08","11","Juliana Ordones Rego;","2010","08","10","Brasil","Minas Gerais","Juatuba","-44.3428001403809","-19.9519004821777","19º 56' 55 S","43º24'59W","9809","955","955","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1894","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","Inês Ribeiro de Andrade",NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","03","27","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949",NA,NA,"28215",NA,NA,"1","254","auto","Campolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645304","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","A. E. Burkart",NA,NA,NA,"A. L. Woolston","1956","01","08","Paraguay","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Alto Paraguay: Primavera","632","South America","sheet","NY00645304","NY00645304_01",NA,NA,NA,NA,NA,NA
"4","2016-09-30 15:46:00-03","NY","NYBG","2210893","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus",NA,NA,NA,NA,NA,"W. R. Anderson","1974","02","12","Brazil","Pará",NA,"-57.08","-8",NA,NA,NA,"200","300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345238' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Alto Tapajós, Rio Cururú. 1-10 km upriver (SE) from village of Pratatí.","10868","South America","sheet","NY02210893","NY02210893_01",NA,NA,NA,NA,NA,NA
"5","2016-09-29 23:29:00-03","NY","NYBG","00996957","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus",NA,NA,NA,NA,NA,"G. C. G. Argent","1967","09","30","Brazil","Mato Grosso",NA,"-51.77","-12.82",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139512' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Base camp.","6582","South America","sheet","NY00996957","NY00996957_01",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645305","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","S. T. McDaniel",NA,NA,NA,"M. Rimachi Y.","1986","02","20","Peru","Loreto","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326578' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Dtto. Iquitos. Río Momón, del caserio de San Andres hasta el caserio de Santa Rosa","8171","South America","sheet","NY00645305","NY00645305_01",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02210879","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.",NA,NA,NA,NA,"D. C. Daly","1981","10","28","Brazil","Pará",NA,"-49.559238","-3.764177",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345212' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263","1019","South America","sheet","NY02210879","NY02210879_01",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996953","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus phyllanthus","(L.) Haw.","P. C. Hutchison",NA,NA,NA,"H. S. Irwin","1965","09","29","Brazil","Distrito Federal","Brasília","-47.67","-15.62",NA,NA,NA,"950","950",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139499' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Vicinity of Planaltina","8800","South America","sheet","NY00996953","NY00996953_01","phyllanthus",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2210884","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.",NA,NA,NA,NA,"S. A. Mori","1992","06","23","Brazil","Amazonas",NA,"-60.966667","-2.4",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345227' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Rio Negro. Santo Antonio","22460","South America","sheet","NY02210884","NY02210884_01",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645308","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","J. A. Steyermark",NA,NA,NA,"L. C. M. Croizat","1951","09","05","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326575' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Isla del Esfuerzo","563","South America","sheet","NY00645308","NY00645308_01",NA,NA,NA,NA,NA,NA
