"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","phylum","yearIdentified","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","dayIdentified"
"1","2020-02-08 09:08:18-03","NBC","NL-BOTANY","U 0182166","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Caes.","Tachigali","catingae","Tachigali catingae","Ducke","Ducke A","isotype","Ducke A","1936","11","29","Southern America","Brazil","Amazonas","Rio Curicuriary superior (affl. Rio Negro, civ. Amazonas).","In silvula catinga.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200182166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0182166","NL-U0182166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 08:35:10-03","MNHN","RECOLNAT_MNHN_P","P00577088","PreservedSpecimen",NA,NA,NA,"Fabaceae","Tachigali","catingae","Tachigali catingae","Ducke","Ducke","isotype","Ducke","1936","11","29",NA,"Brésil",NA,"Rio Curicuriary superior (Affl. Rio Negro, Riv. Amazonas), in silvula catinga","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00577088' target='other'> <mi>dwc_moreinfo</mi></a>","P00577088","P00577088_01","35421","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-31 08:52:13-03","INPA","INPA","7463","S","Plantae",NA,"Fabales","Leguminosae-Caes","Tachigali","catingae","Tachigali catingae","Ducke","Werff, HH van der",NA,"Rodrigues, WA","1959","02",NA,"Southern America","Brasil","Amazonas","Taracuá, Alto Rio Negro. Taracuá.",NA,"INPA0007463","INPA0007463 INPA0007463_e INPA0007463_e1",NA,NA,"Dicotyledon","2007","1144","São Gabriel da Cachoeira","-69.666667","1.083333","-69.666667","1.083333",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","1694255","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Tachigali","catingae","Tachigali catingae","Ducke",NA,"Isotype","A. Ducke","1936","11","29","South America - Neotropics","Brazil","Amazonas","Upper Rio Curicuriary (affl. Rio Negro).",NA,"US00811460","US00811460_01",NA,NA,NA,NA,"Herb. Jard. Bot. Rio 35421",NA,NA,NA,NA,NA,"1",NA,NA
"5","2014-09-23 10:57:51-03","G","G","G00367874","S","Plantae",NA,NA,"Fabaceae","Tachigali","catingae","Tachigali catingae","Ducke","Lima, H. C.","ISOTYPUS of Tachigali catingae Ducke","Ducke, A.","1936","11","29","AMERIQUE DU SUD","Brazil","Amazonas",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00367874",NA,NA,NA,NA,"2010","35421",NA,"-65.08583333","-4.14444444","-65.08583333","-4.14444444",NA,"01","01"
