"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","639076","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B.Sm.","F. J. Fernández Casas","G. G. Hatschbach","26332","1971","02","19","South America","Brazil","Paraná","Guarapuava","Fda. 3 Capoes","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=746413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639076","NY00639076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:29:58-03","IAP","PACA-AGP","11812","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","E.B. Miranda","Irm. Augusto",NA,"1932","02",NA,NA,"Brasil","RS","Caxias do Sul",NA,"-51.1794013977051","-29.1681003570557",NA,"Habitat: in siccis graminosis Fenofase: sterilis","PACA011812",NA,"Magnoliatae","2007","12","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:29:58-03","IAP","PACA-AGP","3682","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","E.B. Miranda","Rambo, B.",NA,"1940","12","23",NA,"Brasil","RS","Montenegro","Piedade.","-51.4611015319824","-29.6886005401611",NA,"Habitat: in silva Fenofase: flor","PACA003682",NA,"Magnoliatae","2007","12","21601","auto","27",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:29:58-03","IAP","PACA-AGP","34552","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","E.B. Miranda","Rambo, B.",NA,"1946","12","30",NA,"Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,"Habitat: in campestribus siccis graminosis Fenofase: flor e fruto maturo","PACA034552",NA,"Magnoliatae","2007","12","63451","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:31:47-03","MBM","MBM","30787","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","hatschbachii","Spigelia hatschbachii","Fern. Casas","Casas, J.F.","Hatschbach, G.","31064","1972","12","28","Southern America","Brazil","Paraná","São José dos Pinhais","Rio Itaqui, Rod. BR 277","-49.2064018249512","-25.5347003936768",NA,"Flor bordeoux, do brejo; Flor bordeaux.; Brejo.","MBM030787","MBM030787",NA,"2003","12","45291","auto","14","HOLOTYPE",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:31:47-03","MBM","MBM","231096","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","hatschbachii","Spigelia hatschbachii","Fern. Casas","Casas, J.F.","Ribas, O.S.","2751","1998","10","18","Southern America","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Erva procumbente, flor bordô. Campo limpo, úmido, solo turfoso; Erva procumbente, flor bordô.; Campo limpo, úmido, solo turfoso.","MBM231096","MBM231096",NA,"2003","12","45291","auto","14","PARATYPE",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:31:47-03","MBM","MBM","14163","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","hatschbachii","Spigelia hatschbachii","Fern. Casas","Casas, J.F.","Hatschbach, G.","22832","1969","11","05","Southern America","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Flor purpúrea, campo graminoso, pedregoso, encosta de pequenos morros; Flor purpúrea.; Campo graminoso, pedregoso, encosta de pequenos morros.","MBM014163","MBM014163",NA,"2003","12","45291","auto","14","PARATYPE","900","900",NA,NA,NA,NA
"8","2020-12-21 16:31:47-03","MBM","MBM","17140","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","Casas, F.","Hatschbach, G.","26332","1971","02","19","Southern America","Brazil","Paraná","Guarapuava","Fazenda Três Corações","-51.4580993652344","-25.395299911499",NA,NA,"MBM017140","MBM017140",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:31:47-03","MBM","MBM","44348","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","kleinii","Spigelia kleinii paranaensis","E.F. Guim. & Fontella","Fontella, J.","Hatschbach, G.","1777","1950","01","22","Southern America","Brazil","Paraná","São José dos Pinhais","Rincão","-49.2064018249512","-25.5347003936768",NA,"Flor rosa-carminado, do brejo. Unicata; Flor rosa-carminado.; Brejo.","MBM044348","MBM044348",NA,"1969",NA,"45291","auto",NA,"ISOTYPE",NA,NA,"paranaensis",NA,NA,NA
"10","2011-02-28 13:47:00-03","MO","MOBOT","2178513","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","hatschbachii","Spigelia hatschbachii","Fern. Casas","F.J. Fernández Casas","Gert G. Hatschbach|P. Pelanda","Hatschbach 27947","1971","11","14","South America","Brazil","Minas Gerais",NA,"Local de coleta Guinda (mun. Diamantina) Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","1300.00000000",NA,NA,NA,NA,NA
"11","2009-07-09 17:05:00-03","MO","MOBOT","2452824","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","hatschbachii","Spigelia hatschbachii","Fern. Casas",NA,"Gert G. Hatschbach","Hatschbach 31064","1974","12","28","South America","Brazil","Paraná",NA,"São José dos Pinhais. BR-277, Rio Itaqui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-08-21 06:32:00-03","MO","MOBOT","2452913","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","Hurley, H.","Balduino Rambo","Rambo 34552","1947","1","10","South America","Brazil","Rio Grande do Sul",NA,"Bom Jesus. Fazenda Bernardo Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2009-08-23 08:48:00-03","MO","MOBOT","2452930","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","Smith, L. B.","Lyman B. Smith|Roberto M. Klein","Smith 11336","1957","2","12","South America","Brazil","Santa Catarina",NA,"Lajes. 1o km East of Capão Alto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2012-12-21 13:14:00-02","MO","MOBOT","3400703","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","kleinii","Spigelia kleinii","L.B. Sm.","J.Fernandez Casas (MA)","Gert G. Hatschbach","Hatschbach 26332","1971",NA,NA,"South America","Brazil","Paraná",NA,"Fda. 3 capoes. mun> Guarapuava.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
