"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1016226","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","E. Fromm Trinta","M. Kuhlmann","s.n.","1939","03","18","South America","Brazil","São Paulo","Lorena","Lagoa, estrada para Piquete, beira do Paraiba.","-45.1197","-22.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016226","NY01016226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03857939","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski",NA,"J. L. Clark","12391","2011","06","01","South America","Ecuador","Zamora-Chinchipe","Palanda","Parroquia: Valladolid. Reserva Tapichalaca (Fundación de Conservación Jocotoco). Sendero Las Pavas (from main highway to bus stop)","-79.1319","-4.4958","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136544' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857939",NA,"2469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-02 16:29:00-03","CPAN-UFMS","COR","4416","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","V. J. Pott","Pott, V.J.","1881","1993","04","14",NA,"Brasil","Mato Grosso","Poconé","Estrada de salina (MT-370), Poconé e Pinzal 7Km da estrada para Porto Cerrado.","-56.416667","-16.216667",NA,"Com Flor: creme Habito: Aquática submersa livre",NA,NA,"100","1993","11","15","56º25'0''W","16º13'0''S","100",NA,NA,NA
"4","2020-11-19 10:24:03-03","CPAP","CPAP","10410","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","V. J. Pott","Pott, V. J.","1881","1993","04","14",NA,"Brasil","MT","Nossa Senhora do Livramento","Estrada da salina (MT-370), Poconé a Pinzal, 7km da estrada para Porto Cercado, Pantanal","-56.416667","-16.216667",NA,"aquática submersa livre. FLOR: creme. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Frequente. AMBIENTE: Campo alagável com água de chuva, 20cm profundidade. Junto com Sagittaria guianenesis. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,"100","1993","11","15","56°25' W","16°13' S","100",NA,NA,NA
"5","2020-11-19 10:24:03-03","CPAP","CPAP","15563","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski",NA,"Pott, V. J.","3047","1996","02","29",NA,"Brasil","MT","Poconé","25Km E de Poconé a Porto Cercado; Sub-região de Poconé; Pantanal","-56.448333","-16.3825",NA,"Erva aquática submersa livre. FLOR: creme. Flor com centro amarelo; balão flutuante de cor castanho claro. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: . AMBIENTE: Campo/vazante alagado. SUBSTRATO: solo siltoso. RELEVO: plano com micro relevo.",NA,NA,"120",NA,NA,NA,"56°26'54'' W","16°22'57'' S","120",NA,NA,NA
"6","2020-11-19 10:24:03-03","CPAP","CPAP","13577","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski",NA,"Prado, A. L.","240493-A4","1993","04","24",NA,"Brasil","MT","Poconé","3km da estrada Poconé-Porto Cercado, km 18-20","-56.6227989196777","-16.2567005157471",NA,"Erva ramificada 30-50cm de altura. Planta curtamente ramificada, não viscosa, frequente nas áreas alaga-veis, flores c/ pedicelo de 1-2cm emergente, vistosas. Pedicelo dotado de (1) suporte inflado. FLOR: amarelo-clara. FRUTO: . INTERESSE: . FREQUÊNCIA:",NA,NA,"160",NA,NA,NA,NA,NA,"160","200792","auto",NA
"7","2019-11-21 14:38:12-03","UFJF","CESJ","49920","PreservedSpecimen","Plantae","Angiosperma",NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","M.G. Rezende","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","114","2008","03","28","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641",NA,"Erva saxícola, campo de altitude, local úmido. Flores amarelas.","CESJ049920",NA,"1700","2010","01",NA,NA,NA,"1700","25710","auto",NA
"8","2019-11-21 14:38:12-03","UFJF","CESJ","49920","PreservedSpecimen","Plantae","Angiosperma",NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","M.G. Rezende","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Ramon; F.S. Souza","114","2008","03","28","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641",NA,"Erva saxícola, campo de altitude, local úmido. Flores amarelas.","CESJ049920",NA,NA,"2010","01",NA,NA,NA,NA,"25710","auto",NA
"9","2021-04-07 11:45:23-03","UFMS","CGMS","70690","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski","V.J. Pott","V.J. Pott; A. Pott","9376","2007","06","12",NA,"Brasil","Mato Grosso","Poconé","Rodovia MT-370, 21 km de Poconé, Pantanal.","-56.4436111","-16.3897222",NA,NA,"CGMS1103099",NA,"118",NA,NA,NA,"-56,4436111","-16,3897222","118",NA,NA,NA
"10","2021-04-07 11:45:23-03","UFMS","CGMS","27179","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","warmingii","Utricularia warmingii","Kamienski",NA,"V.J. Pott; A.POTT; N.C.BUENO & A.ARANTES","3047","1996","02","29",NA,"Brasil","Mato Grosso","Poconé","25KM E DE POCONE A PORTO CERCADO, SUB-REGIAO DE POCONE, PANTANAL.","-56.4483333","-16.3825",NA,"Flor creme, com centro amarelo. Balão flutuante de cor castanho-claro. Material também em álcool 70%. Habitat: Campo/vazante alagado; solo siltoso; plano c/ micro relevo Habito: Erva aquática submersa livre.","CGMS1056616",NA,"120",NA,NA,NA,"-56,4483333","-16,3825","120",NA,NA,NA
