"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks"
"1","2021-04-08 17:40:41-03","EAO","IAN","14262","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Cercidoideae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","Barreto, M","Magalhães, MG","2206","1942","04","24","Southern America","Brasil","Minas Gerais","Pirapora","Cerrado sujo, pouco frequente.","-44.9418983459473","-17.3449993133545","25004","IAN014262","IAN014262 IAN014262_e","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 11:43:44-03","UFMS","CGMS","66955","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.",NA,"D.M. Pineda; A.L.B. Sartori; R.C. Oliveira; P.T.A. Ojeda; L.K. Reis","30","2017","10","24",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Parque Estadual das Nascentes do Rio Taquari. Canyons.","-53.3075","-18.2313889",NA,"CGMS1099916",NA,NA,"2017","10","24","-53,3075","-18,2313889","786","786","CercidoideaeFruto marrom escuro. Habitat: Cerrado stricto sensu. Habito: Arvoreta. 2,00 m de altura."
"3","2021-04-07 11:43:44-03","UFMS","CGMS","11664","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","G.M. Silva","A. Sciamarelli; M.I.B. de Oliveira; C.M. Ishimi","1359","2002","01","24",NA,"Brasil",NA,"Brasil","Estrada BR163. Nova Alvorada Campo Grande. 21K 0763910 UTM 7651299.",NA,NA,NA,"CGMS1040992",NA,NA,"2007","11","26",NA,NA,NA,NA,"Caesalpinioideae. Furtos verdes. Botões fechados."
"4","2021-04-07 11:43:44-03","UFMS","CGMS","23173","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","G. Silva","L.C. Romero; V.A.Assução; F.Carvalho","130","2008","06","05",NA,"Brasil","Mato Grosso do Sul","Campo Grande","RPPN.","-54.6464004516602","-20.4428005218506","161190","CGMS1052581",NA,"auto","2008",NA,NA,NA,NA,NA,NA,"Caesalpinioideae. Nao fértil. Habitat: Cerradão. Habito: Arbusto. 1,50m de altura."
"5","2021-04-07 11:43:44-03","UFMS","CGMS","19757","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","G.M. Silva","G.M. Silva; A.C. de M. Cristaldo","85","2007","10","19",NA,"Brasil","Mato Grosso do Sul","Campo Grande","RPPN da UFMS, perto da Química.","-54.6464004516602","-20.4428005218506","161190","CGMS1049064",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Caesalpinioideae. Flor pétas brancas; botão 5-alado. associação com formigas e besouros Habitat: Borda de Cerrado sensu lato, Área antropizada, com Brachiariaplano. Habito: subarbusto 1,0 m."
"6","2021-04-07 11:43:44-03","UFMS","CGMS","19758","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","G.M. Silva","G.M. Silva; A.C. de M. Cristaldo","86","2007","10","19",NA,"Brasil","Mato Grosso do Sul","Campo Grande","RPPN da UFMS, perto da Química.","-54.6464004516602","-20.4428005218506","161190","CGMS1049065",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Caesalpinioideae. Flor botão 5-alado. Habitat: Borda de Cerrado sensu lato, Área antropizada, com Brachiariaplano. Habito: arvoreta 3,0 m."
"7","2021-04-07 11:43:44-03","UFMS","CGMS","19759","PreservedSpecimen","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.","G.M. Silva","G.M. Silva; A.C. de M. Cristaldo","87","2007","10","19",NA,"Brasil","Mato Grosso do Sul","Campo Grande","RPPN da UFMS, perto do Biotério.","-54.6464004516602","-20.4428005218506","161190","CGMS1049066",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Caesalpinioideae. Flor pétas brancas; botão 5-alado. Habitat: Borda de Cerrado sensu lato, Área antropizada, com Brachiariaplano. Habito: arbusto 80 cm."
"8","2017-09-11 17:09:51-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.",NA,"?","Herb. Acads.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in campis siccis Rio Pardo, prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:09:51-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Fabaceae","Bauhinia","marginata","Bauhinia marginata","(Bong.) Steud.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in campis siccis Rio Pardo, prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
