"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2020-09-23 10:43:50-03","E","E","285300","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","syntype","Glaziou, Auguste Francois Marie","6023","E. Tropical South America","BR","Rio de Janeiro","Pecha Acu","herbarium specimen of unspecif","BGBASE:293401","<a href=http://data.rbge.org.uk/herb/E00285300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","297033","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","syntype","A. F. M. Glaziou","6023","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=661825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297033","Magnoliophyta","Ericales","Brand","NY00297033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921008","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"F. Almeda","8792","South America","Brazil","Rio de Janeiro","Serra do Mar. Pico da Caledônia. Downslope from the summit near the NW tower facing Tres Picos.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2181529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921008","Magnoliophyta","Ericales","Brand","NY01921008_01","J. L. M. Aranha Filho","2004","11","11","-42.58681","-22.35372","2219","2245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921006","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"F. Almeda","8798","South America","Brazil","Rio de Janeiro","Serra do Mar. Pico da Caledônia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2181525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921006","Magnoliophyta","Ericales","Brand","NY01921006_01","J. L. M. Aranha Filho","2004","11","11","-42.58506","-22.35422","2219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","297032","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","lectotype","A. F. M. Glaziou","3641","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=661824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297032","Magnoliophyta","Ericales","Brand","NY00297032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:21:02-03","UFRJ","RFA","Foto 17154","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Glaziou","6023",NA,"Brasil",NA,NA,NA,NA,NA,"RFA-Foto35417",NA,NA,"Brand",NA,NA,"1972","10","21",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:50:03-03","EAO","IAN","93622","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","isoparatipo","Glaziou, AFM","6023","Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,"IAN093622","Dicotiledônea",NA,"Brand",NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:03-03","EAO","IAN","94276","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","isoparatipo","Glaziou, AFM","6023","Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,"IAN094276","Dicotiledônea",NA,"Brand",NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:16:10-03","ESALQ","ESA","135124","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Gissi, D. S.","207.0",NA,"Brasil","Rio de Janeiro","PARNA Serra dos Órgãos. Trilha para a Pedra do Sino.",NA,NA,"Arbusto formando uma touceira de copa arredondada, ca. 1,5m alt. Flores hialinas.","ESA135124",NA,NA,"Brand",NA,"C. A. P. Toledo","2015","10","01","-42.9655990600586","-22.4122009277344",NA,NA,"Teresópolis","2015","10","08","43°01'39,5","22°27'40,6","38539","auto",NA,NA,NA
"10","2021-03-01 16:42:16-03","UNICAMP","UEC","185100","S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Rocha, LCF; Veiga, EB; Konopczyk, RMG; Lombardi, JA; Saka, MN","Azul73",NA,"Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos - Trilha do Abrigo 4 para a Pedra do Sino (Campos de Altitude) 2035-2248m.",NA,NA,"Prensado em álcool. Amostra em sílica. Arbórea, 4,5m. Folhas discolor, cartáceas. Flores cálice verde; corola roxa na base, verde no ápice, filete alvos, anteras amarelas.","UEC011103","Magnoliopsida",NA,"Brand","UEC011103","Araújo, D","2012","10","25","-43.316667","-22.469444",NA,NA,"Teresópolis",NA,NA,NA,"-43.316667","-22.469444",NA,NA,NA,NA,NA
