"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01173219","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","G. T. Prance","9574","1969","02","01","South America","Brazil","Roraima","85 km N of Boa Vista, Fazenda União.","-60.65","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173219","NY01173219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400643","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","P. J. M. Maas","3697","1979","10","21","South America","Guyana",NA,"Rupununi. Manari","-59.68","3.47","sheet","flowers in FAA <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400644","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","H. H. van der Werff","7822","1985","11","07","South America","Venezuela","Bolívar","In morichal, 14 km S of Calcara de L'Orinoco","-66.25","7.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400644",NA,"Cedeño","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01173218","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","G. T. Prance","9124","1969","01","08","South America","Brazil","Roraima","Rio Murupu, 28 km NW of Boa Vista, road to Taiano",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173218","NY01173218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400622","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","R. M. Harley","16114","1974","02","07","South America","Brazil","Bahia","9 km SW of Mucugé, on road from Cascavel. Waste ground by Rio Paraguaçú","-41.42","-13.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400622","NY00400622_01",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01173338","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. C. Baleeiro S.","L. Coradin","531",NA,NA,NA,"South America","Brazil","Roraima",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388355' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173338","NY01173338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02706177","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard",NA,"G. H. H. Tate","19","1927","09","06","South America",NA,NA,"British Guiana and northern Brazil. Frechal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995759' target='other'> <mi>dwc_moreinfo</mi></a>","NY02706177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929827","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard",NA,"D. R. Hunt","5884","1966","06","09","South America","Brazil","Mato Grosso","Barra do Garças-Xavantina road, 25 km. from Xavantina.","-52.29","-14.86539","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929827","NY00929827_01","Barra do Garças","600","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929829","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","R. Callejas Posada","M. Macedo","1532","1980","05","29","South America","Brazil","Mato Grosso","Varginha Road, St. Antonio de Leverger, Cuiabá.","-56.0767","-15.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929829","NY00929829_01","Santo Antônio do Leverger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929830","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","erectiflora","Utricularia erectiflora","A.St.-Hil. & Girard","P. G. Taylor","G. T. Prance","58470","1964","07","29","South America","Brazil","Tocantins","2-6 km. north of Miracema do Norte.","-48.3917","-9.5672","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929830","NY00929830_01","Miracema do Tocantins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
