"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00956083","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F. Salimena-Pires","B. Maguire","49255","1960","08","17","South America","Brazil","Minas Gerais","Slopes and summit of Serra Grao Mogul.","900","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956083","NY00956083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","83811","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"F. Markgraf","3369","1938","11","11","South America","Brazil","Minas Gerais","Montes Claros, Serra do Calixto rochedos Algonquinos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00083811","NY00083811_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956082","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F. Salimena-Pires","I. Cordeiro","CFCR10029","1986","09","02","South America","Brazil","Minas Gerais","Grao Mogol. Nascente do Córrego das Taiobeiras","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956082","NY00956082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:29-03","ESALQ","ESA","78943","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Stehmann, J.R. et al.","2731.0","2001","02","13",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA078943","ESA078943",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"5","2020-07-02 19:03:31-03","UFJF","CESJ","67528","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","M. Verdi; N. Pougy; G. Martinelli; D. Maurenza; E. Martins","7095","2014","06","24","América do Sul","Brasil","Minas Gerais","Parque Estadual de Grão Mogol, Serra do Curiacá, a partir do meio da encosta até o topo no ponto georreferenciado.","1202","1202",NA,"Folhas verdes; cálice rosa-esverdeado e corola rosa pink; frequente; encontrada em solo pedregoso em afloramentos rochosos; no interior do parque há incêndios devido a presença de arbustos queimados e no entorno encontram-se extensos plantios de Eucalypt","CESJ067528",NA,NA,"Grão Mogol","-42.875","-16.359444",NA,NA,"2016","-42.875","-16.359444",NA,NA
"6","2020-07-02 19:03:31-03","UFJF","CESJ","71590","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","P.H. Cardoso","M. Verdi; N. Pougy; G. Martinelli; D. Maurenza; E. Martins","7186","2014","06","25","América do Sul","Brasil","Minas Gerais","Morro do Chapéu, Na base do morro.","1240","1240",NA,"Folhas verdes discolores; cálice e corola rosa pink; frequente; encontrada em solo areno-pedregoso com afloramentos rochosos; no local encontram-se torres de transmissão de TV e no entorno encontram-se áreas utilizadas para pecuária. Arbusto 1,4m alt. Ca","CESJ071590",NA,NA,"Cristália","-42.9225","-16.722222",NA,NA,"2018","-42.9225","-16.722222","10",NA
"7","2019-11-21 14:47:47-03","UFJF","CESJ","28649","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","I. Cordeiro; R. Mello-Silva","CFCR10029","1986","09","02","América do Sul","Brasil","Minas Gerais","Córrego das Taiobeiras, Nascente do córrego.",NA,NA,NA,"Subarbusto,ca. 1,5m. alt., brácteas verde-vinho, flores lilases com base e fauce alvas. Levemente odoríferas. Em grande população.","CESJ028649",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1996",NA,NA,NA,NA
"8","2019-11-21 14:47:47-03","UFJF","CESJ","28675","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","R. Mello-Silva; J.R. Pirani","CFCR10781","1987","05","21","América do Sul","Brasil","Minas Gerais","Riacho Ribeirão, Escarpas à direita do riacho Ribeirão.","1","1",NA,"Arbusto,ca. 1,5m. alt., brácteas verdes, da metade para o ápice lilases, flores rosa-intenso com interior do tubo alvo. Odorífero. Solo arenoso.","CESJ028675",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1996",NA,NA,NA,NA
"9","2019-11-21 14:47:47-03","UFJF","CESJ","28566","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","M.L. Kawasaki; R.M. Harley; B. Stannard; J.D.P. Oliveira","CFCR6596","1984","11","29","América do Sul","Brasil","Minas Gerais","5Km a leste da cidade, na estrada para Montes Claros.",NA,NA,NA,"Arbusto até 1,5m. Folhas verdes brilhantes na face superior. Brácteas florais verde-avermelhadas. Flores cor-de-rosa com tubo branco.","CESJ028566",NA,NA,"Itacambira","-43.3088989257812","-17.0646991729736","48089","auto","1997",NA,NA,"09",NA
"10","2019-11-21 14:47:47-03","UFJF","CESJ","28561","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","A. Freire-Fierros; T.R.S. Silva; P.T. Sano; J.R. Pirani","CFCR12795","1989","12","14","América do Sul","Brasil","Minas Gerais","a ca. 2Km da cidade, na estrada para Juramento. Coordenadas aproximadas: 17º00' S; 43º50' W",NA,NA,NA,"Afloramento rochoso no campo rupestre. Arbusto 1,5m alt., em fenda de rocha. Brácteas verde-claras a rosadas, flores rosa intenso.","CESJ028561",NA,NA,"Itacambira","-43.3088989257812","-17.0646991729736","48089","auto","1997",NA,NA,NA,NA
