"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","monthIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","971700","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","polygaloides","Ditassa polygaloides","Silveira","A. Rapini","M. das G. Sajo","CFSC7610","1981","10","30","South America","Brazil","Minas Gerais","Santana do Riacho","132 km ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971700","NY00971700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:57-03","ESALQ","ESA","22152","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides",NA,"Rapini, A.","Souza, V.C. et al.","8258.0","1995","03","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA022152",NA,"2008","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:22:06-03","UNICAMP","UEC","373","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","1295","1972","03","06",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 140 ao longo da rodovia Lagoa Santa - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Erva 20-25cm. Flor creme.","UEC040487","UEC040487","2008","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:43:01-03","UFOP","OUPR","979","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","polygaloides","Ditassa polygaloides","Silveira",NA,"Schwacke, C.A.W.","8184","1892","03","24",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Ex Herb. Magalhães Gomes n. 2835.",NA,NA,NA,NA,NA,"Isolectotype",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-05 16:43:01-03","UFOP","OUPR","31037","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","polygaloides","Ditassa polygaloides","Silveira",NA,"Pedrosa, L.G.","237","2018","04","27",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Calais.","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 50cm. Flores amarelas. Campo rupestre.",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:12:28-03","MBM","MBM","22593","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini","Rapini, A.","Hatschbach, G.","28981","1972","01","20","Southern America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,"Ereta, flor creme, lacticífera. Junto aos afloramentos rochosos; solo arenoso; ereta, flor creme, lacticífera.; Junto aos afloramentos rochosos; solo arenoso.","MBM022593","MBM022593","1999","101169","auto","PARATYPE",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:31:54-03","UFMG","BHCB","166630","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Minaria","inconspicua","Minaria inconspicua","(Rapini) Rapini",NA,"Augsten, M; Meyer, PB","395","2010","04","03","Southern America","Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842",NA,NA,"BHCB049664",NA,NA,NA,NA,NA,"-43.4899","-18.469842","1078","1078",NA,NA,NA
"8","2020-12-11 11:31:54-03","UFMG","BHCB","79977","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","T.U.P.Konno & Rapini",NA,"Mota, RC da; Viana, PL","1803","2002","11","08","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.","-43.574528","-19.103417",NA,"Erva, perianto vináceo.; Campo limpo arenoso.",NA,NA,NA,NA,NA,NA,"-43.574528","-19.103417",NA,NA,NA,NA,NA
"9","2021-01-15 17:51:35-03","UFMG","BHCB","83680","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","T.U.P.Konno & Rapini",NA,"Magalhães, GM","2640","1942","11","20","Southern America","Brasil","Minas Gerais","Caeté","Serra do Córrego das Congonhas","-43.6697006225586","-19.8799991607666",NA,"Herbácea. Flor castanho-escura.; Campo úmido.",NA,NA,"2008","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-29 04:36:00-03","MO","MOBOT","2611557","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini",NA,"Vinicius C. Souza|Rosângela Simão-Bianchini|Nanuza Luiza de Menezes","Souza 8769","1994","9","23","South America","Brazil","Minas Gerais",NA,"Diamantina, Pedra da Ferradura, road to Conselheiro Mata, 6 km from Curvelo-Diamantina road",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,"1",NA,NA
"11","2009-07-09 17:05:00-03","MO","MOBOT","2611561","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini","A. Rapini","Gert G. Hatschbach","Hatschbach 28981","1972","1","20","South America","Brazil","Minas Gerais",NA,"Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2012-07-26 05:16:00-03","MO","MOBOT","2611564","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini","A. Rapini","S. Splett","Splett 652a","1994","9","23","South America","Brazil","Minas Gerais",NA,"Road to Conselheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2012-07-26 05:16:00-03","MO","MOBOT","2611565","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini","A. Rapini","S. Splett","Splett 1015","1995","3","22","South America","Brazil","Minas Gerais",NA,"Road to Mendanha, Km 578","-44.6","-18.18333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-15 18:50:08-03","USP","SPF","40926","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","inconspicua","Ditassa inconspicua","Rapini","Rapini, A","Souza, VC; Simão, R; Menezes, NL","CFCR8769","1985","12","17",NA,"Brasil","Minas Gerais","Diamantina","Pedra da Ferradura, Estrada para Conselheiro Mata a 6 km da estrada Curvelo-Diamantina.","-43.6002998352051","-18.2493991851807",NA,"Erva, 10 cm, flores branco-amareladas.","SPF00040926","SPF00040926","1999","101169","auto","holotype",NA,NA,NA,NA,NA,"10",NA
