"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","439950","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Gonolobus","hatschbachii","Gonolobus hatschbachii","Fontella & C.Valente","J. Fontella Pereira","G. G. Hatschbach","23334","1970","01","15","South America","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092","-25.5203","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439950","NY00439950_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:12:43-03","MBM","MBM","14061","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","hatschbachii","Matelea hatschbachii","(Fontella et Valente) Morillo","Fontella, J.","Hatschbach, G.","23334","1970","01","15","Southern America","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"MBM014061","MBM014061","24916","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:12:43-03","MBM","MBM","8972","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","hatschbachii","Matelea hatschbachii","(Fontella et Valente) Morillo","Fontella, J.","Hatschbach, G.","20325","1968","11","13","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM008972","MBM008972","55154","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:12:43-03","MBM","MBM","44557","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","hatschbachii","Matelea hatschbachii","(Fontella et Valente) Morillo","Fontella, J.P.","Hatschbach, G.","6399","1959","10","23","Southern America","Brazil","Paraná","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043",NA,NA,NA,"Volúvel, flor verde, lactecífera. Da mata da encosta dos morros; Volúvel, flor verde, lacticífera.; Da mata da encosta dos morros.","MBM044557","MBM044557","32006","auto","1992","01","15","ISOTYPE",NA,NA
"5","2009-07-09 17:05:00-03","MO","MOBOT","1217551","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gonolobus","hatschbachii","Gonolobus hatschbachii","Fontella & C. Valente",NA,"Gert G. Hatschbach","Hatschbach 6399","1959","10","23","South America","Brazil","Paraná",NA,"Municipio Cerro Azul, Morro Grande, Da Mata da ecosta dos Morros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"6","2009-07-09 17:05:00-03","MO","MOBOT","1329159","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gonolobus","hatschbachii","Gonolobus hatschbachii","Fontella & C. Valente","J. Fontella","Gert G. Hatschbach","Hatschbach 23334","1970","1","15","South America","Brazil","Paraná",NA,"Mpio. Paranaguá, Pico Torto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2009-07-09 17:05:00-03","MO","MOBOT","2458367","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","hatschbachii","Matelea hatschbachii","(Fontella & C. Valente) Morillo",NA,"Gert G. Hatschbach","Hatschbach 6399","1959","10","23","South America","Brazil","Paraná",NA,"Cerro Azul. Morro Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2706921","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Gonolobus","hatschbachii","Gonolobus hatschbachii","Fontella & C. Valente",NA,"G. Hatschbach","23334","1970","1","15","South America","Brazil","Paraná",NA,"Pico Torto (Mun. Paranagua) Parana",NA,NA,"300",NA,NA,"Transcribed by digital volunteers","US01860819","US01860819_01 US01860819_02",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
