"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","individualCount","class","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","557698","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","oestriferum","Pachygenium oestriferum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","E. L. Ekman","426","1907","11","30","South America","Argentina","Posadas, locis siccis graminosis prope La Granja praedium","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557698","NY00557698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","505138","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","oestriferum","Pachygenium oestriferum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","E. Pereira","8130","1963","11","23","South America","Brazil","Vila Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505138","NY00505138_01","Paraná","Ponta Grossa","-50.012929","-25.234872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9639","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Pabst, G.F.","Amaral Jr., A.","1527","1973","04","27",NA,"Brasil","Horto",NA,NA,"BOTU009639",NA,"São Paulo","Botucatu",NA,NA,"1974","04","09","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:13-03","MN","R","35433","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb. f. & Warm.) Schltr.","Mello Barreto, H.L.","Sampaio, A.J.","6900","1934","02","03",NA,"Brasil",NA,NA,"Jardim Botânico de Belo Horizonte",NA,NA,"Minas Gerais","Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:40:58-03","UFJF","CESJ","23638","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pachygenium","oestriferum","Pachygenium oestriferum","(Rchb. f. & Warm.) Szlach., Tamayo & Rutk.","C.R. Buzzatto","L. Krieger; et al.","CESJ23638","1989","04","01","América do Sul","Brasil","Parque Nacional do Caparaó, Campos Altos.",NA,"caminho para a Tronqueira. Sobre humus, flores branco-esverdeadas. Local úmido e ensolarado.","CESJ023638","CESJ023638","Minas Gerais",NA,NA,NA,"2014","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:40:58-03","UFJF","CESJ","66495","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","E.R. Pansarin","V.A.O. Dittrich; L.V. Lima; E. Landroz","1955","2015","03","21","América do Sul","Brasil","Parque Estadual da Serra do Papagaio, Pico da Careta",NA,"Herbácea em campo de altitude com sépala dorsal verde e outras peças florais brancas","CESJ066495",NA,"MInas Gerais","Baependi","-44.782639","-22.114639","2015","03",NA,"-44.782639","-22.114639",NA,NA,"2025","2025",NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:00:57-03","UNICAMP","UEC","129649","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1003","2003","03","03",NA,"Brazil","Morro com rochas expostas, A cerca de 4 km do sítio Quaresmeira.",NA,NA,"UEC027320","UEC027320","Minas Gerais","Alagoa","-44.6418991088867","-22.1706008911133","2003","03",NA,NA,NA,"13155","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:57-03","UNICAMP","UEC","120268","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Pansarin, ER","Meireles, LD","5","2001","03","18",NA,"Brazil","Monte Verde, Afloramento da Pedra do Selado",NA,"Erva terrestre, em solo raso sob pedra, com folhas levemente discolores,flores verdes com labelo variando de branco á amarelo,com estrias verdes","UEC038955","UEC038955","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","2001","04",NA,NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:57-03","UNICAMP","UEC","124566","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.",NA,"Meireles, LD","942","2002","03","10",NA,"Brazil","Monte Verde, Afloramento do Platô",NA,"Erva, até 50cm, flores esverdeadas, lebelo alaranjado, sobre substrato na rocha","UEC038965","UEC038965","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506",NA,NA,NA,NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:57-03","UNICAMP","UEC","139096","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Singer, RB","Singer, RB","2004/21","2004","04","02",NA,"Brazil","Pedra Grande",NA,NA,"UEC027317","UEC027317","São Paulo","Atibaia","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-20 10:00:57-03","UNICAMP","UEC","139185","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Singer, RB","Singer, RB","97/25","1997","05","07",NA,"Brazil","Parque Estadual da Grota Funda",NA,"Cultivada. Prensada em 18.02.1997.","UEC027318","UEC027318","São Paulo","Atibaia","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-20 10:00:57-03","UNICAMP","UEC","138937","S","Plantae","Liliopsida",NA,"Orchidaceae","Pelexia","oestrifera","Pelexia oestrifera","(Rchb.f. & Warm.) Schltr.","Singer, RB","Singer, RB","98/43","1998","03","27",NA,"Brazil","Pedra Grande",NA,NA,"UEC027316","UEC027316","São Paulo","Atibaia","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA
