"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","522135","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","F. C. Hoehne","F. C. Hoehne","28608","1931","12","21","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522135","NY00522135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522133","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera brusqueana","Brade","A. C. Brade","R. Reitz","3213","1949","11","25","South America","Brazil","Santa Catarina","Brusque","Mata do Hoffmann","-48.9","-27.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522133","NY00522133_01","brusqueana","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522134","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","F. Markgraf","R. M. Klein","127","1949","11","24","South America","Brazil","Santa Catarina","Brusque","Mata do Hoffmann","-48.9","-27.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522134","NY00522134_01",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522132","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","C. A. Cogniaux","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522132","NY00522132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916755","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","R. Goldenberg","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916755","NY00916755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01318270","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","M. K. Caddah","M. K. Caddah","763","2010","01","24","South America","Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos, começo da trilha para Pico do Alicate","-43.093611","-22.462222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318270","NY01318270_01",NA,"1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02591387","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","R. Goldenberg","S. A. Nicolau","982","1995","12","17","South America","Brazil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Riberão Grande, São talhão 10.","-45.4599990844727","-22.9200000762939","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2855850' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591387","NY02591387_01",NA,NA,NA,"24176","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:37-03","EAO","IAN","81511","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","Cogn.",NA,"Pohl, RW","3972",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN081511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:38-03","ESALQ","ESA","128465","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera",NA,NA,"Flores, T.B.","1797.0","2013","03","26",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).","-47.31605","-24.02021",NA,NA,"ESA128465",NA,NA,"480","480",NA,NA,"-47.31605","-24.02021",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:38-03","ESALQ","ESA","84804","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","Silva, R.R.","Aguiar, A.C.; Silva, R.R.; Pereira, Z.V.; Cerqueira, R.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.","144.0","2003","04","16",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Est.Intervales, trilha da cachoeira das pedrinhas, Floresta Ombrófila Densa, próximo ao rio","-482.188","-241.728",NA,"Árvore.Frutos imaturos verdes; frutos maturos violáceos a nigro-violáceos","ESA084804","ESA084804",NA,"790","790",NA,NA,"-482,188","-241,728",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:13:38-03","ESALQ","ESA","15892","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","Goldenberg, R.","Souza, V.C. et al.","5909.0","1994","04","22",NA,"Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061",NA,NA,"ESA015892",NA,NA,NA,NA,"38740","auto",NA,NA,"2009","01","01",NA,NA,NA,NA
"12","2020-11-04 11:13:38-03","ESALQ","ESA","105563","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera",NA,"Silvia Corrêa Chiea","L. Roth","14662.0","1955","07","28",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,"ESA105563","ESA105563",NA,NA,NA,"17082","auto",NA,NA,"1990","10","17",NA,NA,NA,NA
"13","2020-11-04 11:13:38-03","ESALQ","ESA","18405","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(Schrank et Mart. ex DC.) Triana","Goldenberg, R.","Barreto, K.D. et al.","1888.0","1994","01","26",NA,"Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061",NA,NA,"ESA018405",NA,NA,NA,NA,"38740","auto",NA,NA,"1998","01","01",NA,NA,NA,NA
"14","2019-10-18 16:49:48-03","IAP","PACA-AGP","118719","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Naudin","Baumgratz, J. F. A.","Baumgratz, J. F. A.","1368","2014","06","05",NA,"Brasil","SP","São José do Barreiro","Parque Nacional da Serra da Bocaina","-44.620556","-22.753889",NA,"3 m de altura, esciófila, ramos, pecíolos, raque da inflorescência, brácteas e bractéolas verdes com indumento pardacento, ramos adultos afilos e cinéreos; folhas verdes discolores, face abaxial com indumento pardacento, tricomas espa","PACA118719",NA,NA,"1.4","1.4",NA,NA,"44º37'14W","22º45'14S","2014","07",NA,"Magnoliatae",NA,NA,NA
"15","2019-08-27 13:31:10-03","IAP","PACA-AGP","58382","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Naudin","Markgraf","R. Klein","127","1949","11","24",NA,"Brasil","SC","Brusque","Hollmam","-48.9174995422363","-27.0981006622314",NA,"arbusto, atura 3m. Habitat: in silva Fenofase: flor","PACA058382",NA,NA,NA,NA,"19684","auto",NA,NA,"1954",NA,NA,"Magnoliatae",NA,NA,NA
"16","2020-12-20 21:18:22-03","UFV","VIC","23107","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(D.C) . Triana",NA,"Valente, G.E.; et al.","77","1995","07","01",NA,"Brasil","Minas Gerais","Ponte Nova","mata do Baltazar","-42.9085998535156","-20.4164009094238",NA,NA,"VIC023107","VIC023107",NA,NA,NA,"16921","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-28 19:10:02-03","UFJF","CESJ","14662","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","S.A.C. Chiea","L. Roth","CESJ14662","1955","07","28","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,"Arbusto do cerrado(canga) 1m, flores brancas.","CESJ014662",NA,NA,NA,NA,"17082","auto",NA,NA,"1990","10","17",NA,NA,NA,NA
"18","2019-11-21 14:39:39-03","UFJF","CESJ","36225","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","R. Goldenberg","B.K.S. Franco","55","2001","10","31","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Arvoreta ca. 2,5m da altura, próximo ao curso d'água.","CESJ036225",NA,NA,NA,NA,"11991","auto",NA,NA,"2002","09",NA,NA,NA,NA,NA
"19","2019-11-21 14:39:39-03","UFJF","CESJ","35401","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","R. Goldenberg","R.M. Castro; D.S. Pifano","701","2001","12","01","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Arbusto na mata ciliar na beira do rio do Grama. Botões florais e brácteas ferrugíneas.","CESJ035401",NA,NA,NA,NA,"11991","auto",NA,NA,"2002","03",NA,NA,NA,NA,NA
"20","2019-11-21 14:39:39-03","UFJF","CESJ","32044","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","racemifera","Miconia racemifera","(DC.) Triana","R. Goldenberg","R.M. Castro; P. Fiaschi","144","2001","02","22","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Arbusto com ca. 1,7m no brejo em interior de mata, folhas descolores. Inflorescência creme. Frutos creme esverdeado.","CESJ032044",NA,NA,NA,NA,"11991","auto",NA,NA,"2002","09",NA,NA,NA,NA,NA
