"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4457","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrolobium","froesii","Macrolobium froesii","R.S.Cowan","holotype","R. de Lemos Fróes","22232","1947","04","26","South America","Brazil","Amazonas","Rio Içana, afl. do Rio Negro; cachoeira Maçarico.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004457","NY00004457_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:03-03","EAO","IAN","28781","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Macrolobium","froesii","Macrolobium froesii","Cowan","isotipo","Fróes, RL","22232","1947","04","26","Southern America","Brasil","Amazonas","Rio Negro, Içana, Cach. Maçarico, high forest, high land.",NA,"Tree, 30 ft. 6, rosy flower.","IAN028781","IAN028781 IAN028781_1 IAN028781_e","Pires, JM","1953",NA,NA,NA,NA,NA
"3","2020-02-08 09:07:39-03","NBC","NL-BOTANY","U 0003255","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Macrolobium","froesii","Macrolobium froesii","R.S.Cowan","isotype","Lemos Fróes R de",NA,"1947","04","26","Southern America","Brazil","Amazonas","Estado do AmazonasRio Negro, Içana, Cach. Maçarico",NA,"high forest, high land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003255","NL-U0003255","Cowan RS",NA,"Magnoliopsidae","95585 A",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","79184","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Macrolobium","froesii","Macrolobium froesii","R.S. Cowan","Isotype","R. L. Fróes","22232","1947","4","26","South America - Neotropics","Brazil","Amazonas","Rio icana, afl. of rio negro; cachoeira macarice",NA,NA,"US00244558","US00244558_01",NA,NA,"Dicotyledonae",NA,"1",NA,NA
"5","2011-01-15 15:49:28-02","GH","HU-HERB","GH 00065230","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Macrolobium","froesii","Macrolobium froesii","R. S. Cowan","Isotype","R. L. Fróes","22232","1947","4","26","South America","Brazil","Amazonas","Rio Içana, afl. de Rio Negro, cachoeira Maçarice","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,"22232","undetermined"
