"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","872719","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","L. B. Smith; R. J. Downs","G. A. Black","51-12100","1951","04","05","South America","Brazil","Minas Gerais","Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872719","NY00872719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","872718","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"L. B. Smith","6872","1952","04","29","South America","Brazil","Minas Gerais","Serra do Cipó, 6 km. north of Palacio","-43.58","-19.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872718","NY00872718_01","Jaboticatubas","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01131983","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","W. L. Wanderly","J. R. Pirani","CFSC12287","1991","04","27","South America","Brazil","Minas Gerais","Parque Nacional da Serra do Cipó. Campo próximo à sede do IBAMA do Alto do Palácio. vide suplemento.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285891' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131983","NY01131983_01","Santana do Riacho","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872720","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","M. das G. L. Wanderley","R. Kral","73006","1985","08","01","South America","Brazil","Minas Gerais","Km 112, Serra do Cipo","-43.4247","-19.0372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872720","NY00872720_01","Conceição do Mato Dentro","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:01:54-03","UNICAMP","UEC","17637","S","Plantae","Liliopsida",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Silva, GO","Joly, AB; Semir, J; Ugadim, Y","124","1970","06","06",NA,"Brazil","Minas Gerais","Conceição do Mato Dentro - Diamantina. Brejo.","-43.7449989318848","-19.513599395752",NA,"Flores amarelas, inflorescência até 70 cm de altura.","UEC019147","UEC019147","Jaboticatubas","1175","1175","2012","03","13","31264","auto",NA,NA,NA,NA,NA,NA
"6","2015-09-03 21:11:16-03","MNHN","RECOLNAT_MNHN_P","P01679944","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Maguire, B.|Magalhaes, G.M.|Maguire, C.K.",NA,"1960","8","7",NA,"Brasil","Minas Gerais","Summit of Serra do Cipo, km. 112-128 from Hotel Chapeu do Sol. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679944' target='other'> <mi>dwc_moreinfo</mi></a>","P01679944","P01679944_01",NA,"1200",NA,NA,NA,NA,NA,NA,"49073",NA,NA,NA,NA,NA
"7","2015-09-03 21:11:16-03","MNHN","RECOLNAT_MNHN_P","P01679945","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Smith, L.B.|Dau, L.|Silva, Z.L.|Ormond, W.T.|Machline, G.C.",NA,"1952","4","29",NA,"Brasil","Minas Gerais","Brazil. Serra do Cipó, 6 km. north of Palacio. Jaboticatubas, Minas Gerais, Sudeste, Brasil, América do Sul","-43.58333","-19.16667","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679945' target='other'> <mi>dwc_moreinfo</mi></a>","P01679945","P01679945_01","Jaboticatubas","1200",NA,NA,NA,NA,NA,NA,"6872",NA,NA,NA,NA,NA
"8","2020-12-11 11:45:33-03","UFMG","BHCB","170815","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Scatena, VL; Oriani, A; Nardi, KO; Dugarte, BAC; Ferrari, RC; Daltin, AO; Nogueira, MA","452","2012","04","21","Southern America","Brasil","Minas Gerais","Trilha para a Estátua do Juquinha, lado direito; entre Santana do Riacho e Conceição do Mato Dentro.","-43.550556","-19.256672",NA,"Planta herbácea com 1 m de altura.","BHCB015510",NA,"Santana do Riacho","1322","1322",NA,NA,NA,NA,NA,NA,"-43.550556","-19.256672",NA,NA,NA
"9","2020-12-11 11:45:33-03","UFMG","BHCB","191590","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Paiva, JAM; Souza, JAM; Silva, SHA","1822","2018","08","07","Southern America","Brasil","Minas Gerais","Parque Nacional Serra do Cipó","-43.526111","-19.266944",NA,"Erva, 0,30m. Terrestre. Flor amarela. Escapo floral com aproximadamente 1,00m.; Campo Brejoso.","BHCB191590",NA,"Santana do Riacho","1314","1314","2018","08","29",NA,NA,NA,"-43.526111","-19.266944",NA,NA,NA
"10","2020-12-11 11:45:33-03","UFMG","BHCB","19422","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Sajo, MG; L.M.C.","s.n.","1991","11",NA,"Southern America","Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-11 11:45:33-03","UFMG","BHCB","10182","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Andrade, IR; Horta, MB","154","1987","07","12","Southern America","Brasil","Minas Gerais","Serra do Cipó. Serra da Salitreira.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:11:49-03","FZB-BH","BHZB","2233","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis",NA,"Wanderley, M.G.L","Abreu, M.E.",NA,"1999","08","10",NA,"Brasil","MG","Serra do Cipó,Juquinha - LM 3.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2001","02","01","26557","auto",NA,NA,NA,NA,NA,NA
