"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","preparationType","identifiedBy","fieldNumber","class","order","typeStatus","continentOcean","individualCount"
"1","2019-08-20 10:01:53-03","UNICAMP","UEC","17572","S","Plantae","Liliopsida","Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B.Sm. & Ayensu","Sazima, M","8537","1974","09","06","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752","31264","flor","UEC000682","UEC000682","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 19:25:18-03","MNHN","RECOLNAT_MNHN_P","P02075342","PreservedSpecimen",NA,NA,"Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B.Sm. & Ayensu","Langsdorff",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Reçú le 11 décembre 1906 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075342' target='other'> <mi>dwc_moreinfo</mi></a>","P02075342","P02075342_01",NA,"hb",NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 19:25:18-03","MNHN","RECOLNAT_MNHN_P","P02075343","PreservedSpecimen",NA,NA,"Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B.Sm. & Ayensu","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075343' target='other'> <mi>dwc_moreinfo</mi></a>","P02075343","P02075343_01",NA,"hb","Mello-Silva","B1 457",NA,NA,NA,NA,NA
"4","2015-09-03 19:25:18-03","MNHN","RECOLNAT_MNHN_P","P02075344","PreservedSpecimen",NA,NA,"Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B.Sm. & Ayensu","Saint-Hilaire",NA,"1816","1","1","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075344' target='other'> <mi>dwc_moreinfo</mi></a>","P02075344","P02075344_01",NA,"hb",NA,"B1 457",NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2725952","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B. Sm. & Ayensu","N. L. Menezes","193","1971","12","11","Brazil","Minas Gerais",NA,"Road between Chapeo do Sol and Rio Cipo Dam",NA,NA,NA,"Fragmentary material of type specimen ex herb. SP.","US00092412","US00092412_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","Isotype","South America - Neotropics","1"
"6","2021-03-15 18:30:17-03","USP","SPF","33111","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","subalata","Vellozia subalata","L.B.Sm. & Ayensu","Menezes, NL","193","1971","12","11","Brasil","Minas Gerais",NA,"Serra do Cipó, Km 10 a 18 da estrada que liga a pensão Chapéu-do-Sol e a represa do rio Cipó.",NA,NA,NA,"Muito semelhante a V. alata, mas caule ramificado, folhas mais largas e fruto glanduloso.","SPF00033111",NA,NA,NA,"Smith, LB; Ayensu, ES",NA,NA,NA,"holotype",NA,NA
