"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","barcode","imagecode","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","continentOcean","dayIdentified","individualCount","preparationType","typeStatus","class","order"
"1","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG4563","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Isabel Fonseca","Brasil","Minas Gerais","Caeté","Serra da Piedade - Perto da primeira parada denominada Carvalhada","-43.674722","-19.822778","43°40'29'' W","19°49'22' 'S","1697","1697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:02-03","ESALQ","ESA","81146","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Souza, V.C.; Mazine, F.F.; Tsuji, R.","Brasil","Minas Gerais","Caeté","Serra da Piedade. Campo rupestre.","-434.044","-194.907","-434,044","-194,907",NA,NA,"Magnoliophyta","Ravenna","Oliveira, R.S.","26958.0","2001","08","27","ESA081146","ESA081146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:02-03","ESALQ","ESA","31370","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","Brasil","Minas Gerais","Caeté","Serra da Piedade. Campo rupestre","-43.6697006225586","-19.8799991607666","-43,671,861","-1,982,375","1640","1640","Magnoliophyta","Ravenna","Oliveira, R.S.","10116.0","1996","01","11","ESA031370","ESA031370","22051","Erva; corola rósea.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:20-03","UFV","VIC","019087","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","de Paula, C.C.; et al.","Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco - Área 2","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,"Raverma",NA,"191","2002","07","14","VIC019087","VIC019087","13809","Terrestre de campo graminoide, herbácea de 0,20 m, freguência abundante, séplas lilás, pétalas lilás, caule bulboso, ocorre em solo muito seco e floresce após queimada.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:30:02-03","UFJF","CESJ","32708","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","F.R.G. Salimena","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca; Parque Estadual de Ibitipo","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","Ravenna","A.C. Amaral","s.n.","2000","12",NA,"CESJ032708","CESJ032708","30417",NA,"auto","2011","06","América do Sul",NA,NA,NA,NA,NA,NA
"6","2020-06-30 18:31:49-03","UFJF","CESJ","27392","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","F.R.G. Salimena","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","Ravenna","R.S.Oliveira","s.n.","1993","10","13","CESJ027392","CESJ027392","30417","No caminho para o Lago dos Espelhos. Erva, flores róseas, em solo arenoso no campo rupestre.","auto","2005","04","América do Sul",NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:30:02-03","UFJF","CESJ","38242","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Rio Preto","Ribeirão Santa. PCH H de Mello","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Angiosperma","Ravenna","A.C. Amaral","s.n.","1996",NA,NA,"CESJ038242","CESJ038242","20815",NA,"auto","2011","06","América do Sul",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:30:02-03","UFJF","CESJ","25462","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","F.R.G. Salimena; G.M. Gomes; M.C. Alves; R.C. Oliveira","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca; Parque Estadual de Ibitipo, próx. ao Lago dos Espelhos","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","Ravenna","A.C. Amaral","s.n.","1991","06","29","CESJ025462","CESJ025462","30417","em campo rupestre, de solo arenoso. Flor lilás. Rara.","auto","2011","06","América do Sul",NA,NA,NA,NA,NA,NA
"9","2019-08-20 09:58:56-03","UNICAMP","UEC","89979","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Mendonça, RC; Felfili, JM; Oliveira, NR; MC; Silva, Jr","Brazil","Goiás","Alto Paraíso de Goiás","Desicida para a cachoeira de 80 metros; Solo: concrecionário com afloramento quartzoso; Relevo; ondulado. Vegetação: Cerrado. Área queimada recentemente.","-47.833889","-14.161944","-47.833889","-14.161944",NA,NA,"Liliopsida","Ravenna","Amaral, AC","2672","1996","09","10","UEC105668","UEC105668",NA,"Erva, ca. de 20 cm. de altura; heliófita; rupicola; flor solitária com corola com base esverdeada e ápice róseo-claras; bulbo alvacento; anteras amarelos e estígmas alvos. Planta crescendo em moitas junto com vellozias sobre uma rocha.",NA,"2011","06",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 09:58:56-03","UNICAMP","UEC","136060","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Simões, AO; Belinello, R; Matsumoto, K; Singer, RB","Brazil","Minas Gerais","Carrancas","Serra de Carrancas, campo em beira de estrada","-44.6425018310547","-21.4874992370605",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","410","1998","11","10","UEC090250","UEC090250","21143","flor, Erva, flores tubulosas, lilases, anteras amarelas.","auto","2013","02",NA,NA,NA,NA,NA,NA,NA
"11","2019-08-20 09:58:56-03","UNICAMP","UEC","89041","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Semir, J; Dutilh, JHA; Stehmann, JR","Brazil","Minas Gerais","Moeda","Saída da BR 040 para Moeda","-44.0527992248535","-20.3330993652344",NA,NA,NA,NA,"Liliopsida","Ravenna","Amaral, AC","28895","1993","09","08","UEC105667","UEC105667","14750","Herva, sem folhas com flores magenta, uma flor por planta. Flores sem perfume; folhas começando a sair, filiformes.","auto","2011","06",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-20 09:58:56-03","UNICAMP","UEC","48739","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Hutchison, PC; Páffaro, JL","Brazil","Minas Gerais","Ouro Preto","Pico do Itacolumi, Near base, small restricted colony in pure white sand, gentle slope.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Liliopsida","Ravenna","Amaral, AC","8899","1985","08","11","UEC105669","UEC105669","44599","Fls. pale lavander-pink. Bulbs 1 cm. diam.; white, globose. Plants leafless.","auto","2011","06",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:58:56-03","UNICAMP","UEC","144270","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Mello-Silva, R; Lima, LR; Pontes, AF","Brazil","Minas Gerais","Sacramento","Parque Nacional da Serra da Canastra, Estrada São Roque de Minas - Sacramento, a 46 km da portaria de São Roque de Minas. Em campo limpo, arenoso.","-47.439998626709","-19.8652992248535",NA,NA,NA,NA,"Liliopsida","Ravenna","Amaral, AC","1962","2002","11","07","UEC105666","UEC105666","69737","Bulbos com catáfilos castanhos, brancos no interior. Pedúnculo vináceo. Tépalas cor-de-rosa. Filetes e estilete branco-rosados. Anteras amarelas. Estigma branco.","auto","2011","06",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:18:54-03","UNICAMP","UEC","78867","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Romero, R; Nakajima, JN; Klein, VLG; Alcantara, MB","Brazil","Minas Gerais","São Roque de Minas","Morro após o Vale do São Francisco, Córrego da Fazenda.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","2781","1995","09","26","UEC000404","UEC000404","57119","Herbáceo, ca. 0,3 m. Cálice verde. Corola rósea. Anteras amarelas.; Campo rupestre. Área recém queimada.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:18:54-03","UNICAMP","UEC","170235","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Romero, R; Nakajima, JN; Zanini, E; Simão, DG","Brazil","Minas Gerais","São Roque de Minas","Próximo ao córrego da Fazenda.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","3154","1995","11","20","UEC000401","UEC000401","57119","Planta ca. 0,15 m. Tépalas róseas, tubo branco. Estigmas, estilete e filete brancos. Anteras amareladas.; Campo limpo com afloramentos rochosos, 3 meses após a queimada.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:18:54-03","UNICAMP","UEC","78866","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Nakajima, JN; Romero, R; Klein, VLG; Alcantara, MB","Brazil","Minas Gerais","São Roque de Minas","Próximo à sede administrativa. Beira da estrada.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","1279","1995","09","25","UEC000402","UEC000402","57119","Planta ca. 0,3 m. Cálice e corola lilases. Perianto com base avermelhada. Estames amarelados. Estilete branco.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"17","2019-08-20 09:58:56-03","UNICAMP","UEC","174098","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Dutilh, JHA","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","s.n.","1997","02","03","UEC089060","UEC089060","57119",NA,"auto","2013","02",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:18:54-03","UNICAMP","UEC","78862","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Nakajima, JN; Romero, R; Simão, DG","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, 50 km da sede administrativa, Estrada para Sacramento.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","438","1994","08","21","UEC000400","UEC000400","57119","Planta ca. 0,1 m. Cálice e Corola rósea. Anteras amareladas. Estilete róseo.; Campo limpo, 1 mês após a queimada.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:18:54-03","UNICAMP","UEC","78858","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Nakajima, JN; Romero, R; Furlan, A; Garcia, FCP","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, Base do morro próximo a sede administrativa.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","501","1994","10","15","UEC000399","UEC000399","57119","Planta ca. 0,3 m. Cálice e Corola rósea.; Campo limpo alterado.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:18:54-03","UNICAMP","UEC","78863","S","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Nakajima, JN; Romero, R","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, Estrada para Sacramento, 2 km da sede administrativa.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Liliopsida","Ravenna","Oliveira, RS","153","1994","02","21","UEC000397","UEC000397","57119","Planta ca. 0,1 m, parte vegetativa subterrânea. Corola rósea. Anteras amarelas. Filetes brancos.; Campo limpo recém queimado, beira da estrada, solo arenoso.","auto","2012","07",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-05 16:42:33-03","UFOP","OUPR","4139","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Silva, J.L.","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,"Ravenna","Messias, M.C.T.B.","s.n.","1986","08","28",NA,NA,"22051","Erva.","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-03-12 10:28:54-03","UFOP","OUPR","34405","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Pedrosa, L.G.","Brasil","Minas Gerais","Ouro Preto","Barragem da Cachoeira","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Ravenna","Pedrosa, L.G.","1892","2019","08","31",NA,NA,"44599","Erva ca. 15cm, flores róseas. Campo graminoso","auto","2019","08",NA,"31",NA,NA,NA,NA,NA
"23","2019-11-05 16:42:33-03","UFOP","OUPR","31678","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Pedrosa, L.G.","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do Pico.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Ravenna","Bastian, R.E.","683","2018","08","25",NA,NA,"44599","Erva, ca. 20cm. Flores róseas. Campo rupestre.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-03-12 10:28:54-03","UFOP","OUPR","34514","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Pedrosa, L.G.","Brasil","Minas Gerais","Ouro Preto","Rio Doce Manganês / Vale.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Ravenna","Pedrosa, L.G.","1982","2019","09","16",NA,NA,"44599","Erva, 10cm. Flores lilases. Campo de afloramento / cerrado.","auto","2019","09",NA,"16",NA,NA,NA,NA,NA
"25","2019-11-05 16:42:33-03","UFOP","OUPR","3573","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Magalhães-Gomes, C.T.; Magalhães-Gomes, F.","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Ravenna","Oliveira, R.S.","s.n.","1893","09",NA,NA,NA,"44599","Fl. roseas. Porte natural. Ex Herb. Magalhães Gomes n. 1168","auto","2004","07",NA,"05",NA,NA,NA,NA,NA
"26","2020-12-21 16:11:33-03","MBM","MBM","30523","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Koczicki, C.","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,"Ravenna","Ravenna, P.","313","1973","10","20","MBM030523","MBM030523","22051",NA,"auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:43:19-03","UFMG","BHCB","110855","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Carmo, FF","Brasil","Minas Gerais","Moeda","Marinho da Serra, C1.","-43.938083","-20.348444","-43.938083","-20.348444","1544","1544","Monocotyledon","Ravenna",NA,"165","2006","09","15","BHCB012690","BHCB012690",NA,"Coletado em substrato de V. minina. Afloramento de canga.",NA,"2011","06","Southern America",NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:43:19-03","UFMG","BHCB","112426","PreservedSpecimen","Plantae","Amaryllidaceae","Habranthus","irwinianus","Habranthus irwinianus","Carmo, FF","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema","-43.581167","-20.218806","-43.581167","-20.218806","1807","1807","Monocotyledon","Ravenna",NA,"1014","2007","09","11","BHCB055113","BHCB055113",NA,"Fendas e depressões. Afloramento de canga.",NA,"2007","10","Southern America",NA,NA,NA,NA,NA,NA
