"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02629618","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","F. A. Santana","96","2011","12","21","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Garimpo dos Areiões.","-42.5111","-14.6283","702","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2892998' target='other'> <mi>dwc_moreinfo</mi></a>","NY02629618","NY02629618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01873455","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","F. A. Santana","124","2012","02","26","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Cachoeirão, subida após trilho do trem.","-42.5494","-14.6989","971","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933810' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873455","NY01873455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:14-03","UNEB","HUNEB","12357","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","Guedes, M.L.","14517","2008","03","15",NA,"Brasil","Bahia","Morro do Chapéu","Chapada Diamantina, Morrão","-41.2075","-11.591111",NA,NA,NA,"HUNEB0012357",NA,"Dicotyledoneae","41W12'27''","11S35'28''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:09:39-03","UFBA","ALCB","123533","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS","24533","2016","03","25","Southern America","Brasil","Bahia","Morro do Chapéu","4 a 8 km de Morro do Chapéu para Utinga.","-41.033333","-12.133333",NA,NA,"de ca 2 m de altura. Folhas aromáticas, lâmina discolores. Inflorescência terminal , panícula corimbosa, flores sem pappus, corola lilás-pálido.","ALCB012635","ALCB012635",NA,"-41.033333","-12.133333","Guedes, ML","2016","05",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:09:39-03","UFBA","ALCB","033751","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Hind, DJN; Queiroz, LP de; Bautista, HP; M.M. da Silva","PCD&nf;4040","1996","11","04","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Proximidades do riacho Toborou","-41.763611","-13.156667","1100",NA,"3,0 m, flexuosa, ramos jovens com face superior avermelhada. Folhas papiráceas, glabras, face adaxial verde-escuro, face ventral verde-opaco. Filárias verdes, corola lilás-intenso, estilete lilás, ápice dos ramos do estilete ezbranquiçado. Flores pas",NA,NA,NA,"-41.763611","-13.156667","Bautista, HP","2000","01","14","1100",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:09:39-03","UFBA","ALCB","033752","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Hind, DJN; Bautista, HP; M.M. da Silva; Queiroz, LP de","PCD&nf;4059","1996","11","05","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina","-41.886389","-13.060833","1300",NA,"1,80 m, ramificada apenas próximo ao ápice, caule e ramos castanho-claros. Folhas cartáceas, sendo as mais velhas verde-amareladas, adultas verde-oliva, jovens com face abaxial vermelha, adaxial verde-acastanhada.; Substrato gramíneo-lenhoso com árvo",NA,NA,NA,"-41.886389","-13.060833","Bautista, HP","2000","01","14","1300",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:09:39-03","UFBA","ALCB","041185","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Passos Júnior, LA; Velozo, ES","6285","1999","02","01","Southern America","Brasil","Bahia","Ibicoara","Chapada Diamantina, 2 km N da cidade, FAzenda Ribeir/ E o da Serra, margens do Rio Preto (Riber/Eo da Serra)","-41.266667","-13.383333","900",NA,"1,20m. Folhas membran ceas pegajosas. Flores lilás-claras.; Abundante em cleos essenciais.",NA,NA,NA,"-41.266667","-13.383333","Liro, RM","2007","05",NA,"900",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:09:39-03","UFBA","ALCB","107560","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Alunos do PARFOR","20267a","2013","01","19","Southern America","Brasil","Bahia","Morro do Chapéu","Morrão, próximo da Torre.","-41.15","-11.55",NA,NA,"de ca 2 m de altura. Folhas ovado-lanceolada, glabra, margem levemente serreada. Inflorescência com capítulos paucifloros passados .",NA,NA,NA,"-41.15","-11.55","Guedes, ML","2013","05",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:09:39-03","UFBA","ALCB","112280","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Alves, M; Hurbath, F; Borges, RL; Stadnik, A","158","2013","05","23","Southern America","Brasil","Bahia","Licínio de Almeida","Xaxá.","-42.551389","-14.652222","949",NA,"ca. 1,2m de alt. Folhas discolores. Brácteas involucrais verdes. Corolas liláses. Estiletes de alvo a liláses.",NA,NA,NA,"-42.551389","-14.652222",NA,NA,NA,NA,"949",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:09:39-03","UFBA","ALCB","114632","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Alunos de Botânica BIOC05","21892","2014","06","14","Southern America","Brasil","Bahia","Piatã","Três Morros.","-41.868333","-13.0575","1443",NA,"resina aromática. Folhas com longo pecíolo, lâmina cartáceas, discolores. Inflorescência terminal, capítulos pequenos.",NA,NA,NA,"-41.868333","-13.0575","Guedes, ML","2014","06",NA,"1443",NA,NA,NA,NA,NA,NA
