"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","county","minimumElevationInMeters","imagecode","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","02674789","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","P. da C. Gadelha Neto","2015","04","19","South America","Brazil","Paraíba","Serra de Santa Catarina","-38.244444","-7.023611",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952503' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674789","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","3975","Aguiar","580","NY02674789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","437937","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","L. Duarte","1964","08","07","South America","Brazil","Pernambuco","Pr. Rancheria.",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437937","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","s.n.",NA,NA,"NY00437937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","887095","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","C. T. de Lima","2006","07","09","South America","Brazil","Bahia","Morro da Garrada.","-39.8592","-12.7547",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887095","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","45","Iaçú","355","NY00887095_01","355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","437932","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","J. M. Pires","1964","07","02","South America","Brazil","Goiás","Bahia. Alvorada, a 270 km de Brasília para Fortaleza. Rio Correntes.","-46.4919","-14.4808",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437932","Magnoliophyta","Sapindales","Engl.","G. T. Prance","58122","Alvorada do Norte",NA,"NY00437932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","437935","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","A. Castellanos","1964","08","07","South America","Brazil","Pernambuco","Entre Barra Bonita e Petrolina.",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437935","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","25383",NA,NA,"NY00437935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","821561","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","D. J. N. Hind","1996","11","21","South America","Brazil","Bahia","Brejo de Cima","-41.5644444","-13.3161111",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821561","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","PCD No.4545","Mucugê","860","NY00821561_01","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01081340","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","G. Pereira-Silva","1995","10","12","South America","Brazil","Bahia","BR-407 Juazeiro/ Senhor do Bonfim; km 30.5. Marcados da ponte do Rio São Francisco.","-40.38","-9.65",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081340","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","3096","Juazeiro","440","NY01081340_01","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","437946","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","L. A. Mattos Silva","1988","04","05","South America","Brazil","Bahia","Fazenda Boa Esperança. rodovia BR 116 (Rio/Bahia), 9 km ao Sul de Poçoes. Ramal com entrada em frente ao Posto Atalaia-2.","-40.3653","-14.5297",NA,NA,"sheet",NA,"Coleta de folhas para análises. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437946","Magnoliophyta","Sapindales","Engl.","T. S. dos Santos","2314","Poçoes","800","NY00437946_01","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01067142","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","A. C. Sevilha","2000","06","28","South America","Brazil","Goiás","Fazenda Traçodal","-46.7664","-13.5914",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205782' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067142","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","1967","São Domingos","460","NY01067142_01","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1030782","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","B. A. S. Pereira","1995","08","13","South America","Brazil","Goiás","no Km 5 da estrada Posse/Guarani de Goiás.","-46.33","-14.25",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1122212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030782","Magnoliophyta","Sapindales","Engl.","B. A. S. Pereira","2813","Posse","780","NY01030782_01","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
