"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","barcode","imagecode","infraspecificEpithet","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1363","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645056","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604858' target='other'> <mi>dwc_moreinfo</mi></a>","L. Winter","s.n.","1909","07","09","South America","Brazil","Brasilia","sheet","NY00645056","NY00645056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645074","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus uruguayanus","(R.Kiesling) N.P.Taylor","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416573' target='other'> <mi>dwc_moreinfo</mi></a>","J. A. Shafer","115","1917","03","06","South America","Argentina","Concordia","sheet","NY00645074","NY00645074_01","uruguayanus","Entre Ríos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645073","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus uruguayanus","(R.Kiesling) N.P.Taylor","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416572' target='other'> <mi>dwc_moreinfo</mi></a>","R. Reitz","184","1952","02","28","South America","Brazil","Laguna","sheet","NY00645073","NY00645073_01","uruguayanus","Santa Catarina","Laguna","-48.781687","-28.480425","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484650","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499649' target='other'> <mi>dwc_moreinfo</mi></a>","J. A. Shafer","115","1917",NA,NA,"South America","Argentina","Concordia","fluid-preserved","NY00484650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:07:30-03","CPAN-UFMS","COR","16528","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","4 m de altura; caules verdes ramificados; espinhos castanhos; caule na base lenhoso; Com Flor: Flores com cálice/ bráctea verdes com margem no ápice vinoso, pétalas alvas, botões florais verde alvacentos, frequente Habito: Cacto colonar","Martinelli, G.; Fernandez, E.","16700","2010","11","30",NA,"Brasil","Morro do Caracará, divisa com MT, próximo ao PARNA do Pantanal. Floresta estacional semidecídua com afloramentos rochosos.",NA,NA,NA,NA,"Mato Grosso do Sul","Corumbá","-57.260556","-15.517778",NA,NA,"Gonzaga, D.R.","57º15'38''W","15º31'4''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:07:30-03","CPAN-UFMS","COR","3620","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Flor verde","Nóbrega, V.",NA,"1993","11","29",NA,"Brasil","Morro Rabichão",NA,NA,NA,NA,"Mato Grosso do Sul","Corumbá","-57.499722","-19.076111","115","115",NA,"57º29'59''W","19º4'34''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:07:30-03","CPAN-UFMS","COR","10626","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Árvore, 7 m de altura, semelhante a um candelabro; flores brancas, grandes; fruto vermelho Habito: Árvore","Silva, R. H.","9","2004","10","02",NA,"Brasil","Morro do bairro Popular Velha",NA,NA,NA,NA,"Mato Grosso do Sul","Corumbá","-57.647222","-19.017222","225","225","Silva, R. H.","57º38'50''W","19º1'2''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:07:30-03","CPAN-UFMS","COR","2794","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Arbóreo Habito: Arbóreo","Damasceno-Júnior, G. A.","175","1991","10","18",NA,"Brasil","Morro Bocaina",NA,NA,NA,NA,"Mato Grosso do Sul","Corumbá","-57.627778","-19.021667","171","171",NA,"57º37'40''W","19º1'18''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-26 18:07:30-03","CPAN-UFMS","COR","5405","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.",NA,"Bezerra,M.A.O.",NA,NA,NA,NA,NA,"Brasil","Lagoa Negra. área de inundação; ;.",NA,NA,NA,NA,"Mato Grosso do Sul","Ladário","-57.6016998291016","-19.0046997070312",NA,NA,"Damasceno, Pott e Pott",NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-26 18:07:30-03","CPAN-UFMS","COR","3250","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.",NA,"Baracat,C.;Culau,R.","52","1993","11","30",NA,"Brasil","Proximo à Lagoa Negra. Campo ; arenoso; pequenas ondulações.",NA,NA,NA,NA,"Mato Grosso do Sul","Ladário","-57.6016998291016","-19.0046997070312",NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007617","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schum.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007617 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Ritter F",NA,"1965","01","01","Southern America","Brazil","Sao Paulo; 'Piedade'.",NA,"NL-U0007617","NL-U0007617",NA,"São Paulo",NA,NA,NA,NA,NA,"Zappi DC; Taylor NP",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","type",NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:54:42-03","NBC","NL-BOTANY","AMD.48861","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.48861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Herter WG",NA,"1916","02","06","Southern America","Uruguay","Dep de San Jose. Paso del Bote.",NA,"NL-AMD48861","NL-AMD48861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U.1180289","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Herter WG",NA,"1937","02","01","Southern America","Uruguay","Dep. de Cerro Largo.",NA,"NL-U1180289","NL-U1180289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:04:12-03","ESALQ","ESA","5784","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schumann",NA,"Gimenez, M.B.","343.0","1988","11","25",NA,"Brasil",NA,NA,"ESA005784","ESA005784",NA,"São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,NA,"Taylor, N.P.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:04:12-03","ESALQ","ESA","6058","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schumann",NA,"Duarte, K.M.R. ; Djuragin, B.",NA,"1989","10","20",NA,"Brasil",NA,NA,"ESA006058","ESA006058",NA,"São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,NA,"Taylor, N.P.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:04:12-03","ESALQ","ESA","35272","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Lisn.","Planta de até 4 m alt.; botões verdes.","Souza, J.P. ; Souza, V.C.","365.0","1996","02","14",NA,"Brasil","5 Km de Teodoro Sampaio em direção a Planalto do Sul. 22*29'10, 6S, 52*11'47, 7W. 300 m.s.m. Formação arbóreo-arbustiva com Cereus como elemento de destaque.",NA,"ESA035272","ESA035272",NA,"São Paulo","Teodoro Sampaio","-52.1599998474121","-22.5300006866455","300","300","Aona, L.Y.S.",NA,NA,"54606","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:04:12-03","ESALQ","ESA","12309","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schumann",NA,"Souza, V.C. et al.","4938.0","1993","12","10",NA,"Brasil",NA,NA,"ESA012309","ESA012309",NA,"Paraná","Sengés","-49.4636001586914","-24.1128005981445",NA,NA,"Taylor, N.P.",NA,NA,"55682","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:04:12-03","ESALQ","ESA","10409","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schumann",NA,"Barreto, K.D. et al.","75.0","1993","03","10",NA,"Brasil",NA,NA,"ESA010409","ESA010409",NA,"São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,NA,"Taylor, N.P.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:04:12-03","ESALQ","ESA","12748","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","Schumann",NA,"Souza, V.C. et al.","4850.0","1993","12","02",NA,"Brasil",NA,NA,"ESA012748","ESA012748",NA,"São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,NA,"Taylor, N.P.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:37-03","MN","R","91084","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Luetzelburg, P. von","21426","1927","10",NA,NA,"Brasil",NA,NA,"R010023297","R010023297",NA,NA,NA,NA,NA,NA,NA,"Zappi, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-19 10:23:03-03","CPAP","CPAP","8191","PreserverdSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","peruvianus","Cereus peruvianus","(L.) Mill.","Cacto arborescente, 3-6 m de altura. FLOR: branca. Pétalas comestíveis, flor com muitos coleopteros, antese noturna. FRUTO: não visto. INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Borda não alagável de cordilheira (paleodique) com cerradão. SUBSTRATO: s","Pott, A.","5725","1990","11","17",NA,"Brasil","Fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal",NA,NA,NA,NA,"MS","Corumbá","-56.65","-18.983333","90","90",NA,"56°39' W","18°59' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-07-02 14:01:18-03","JBP","HPL","7656","S","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus",NA,NA,"R. Tsuji","1737","2007","03","03",NA,"Brasil","Coletado nas proximidades do município de Quarai - a 3,5km na estrada para Passo da Guarda.",NA,NA,NA,NA,"RS","Quarai","-56.4514","-30.3875",NA,NA,"R. Tsuji",NA,NA,"74636","auto",NA,"2007","03","03",NA,NA,NA,NA,NA,NA,NA
