"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","continentOcean","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2020-12-20 21:16:30-03","UFV","VIC","39923","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb & Voll","Santos, M.R.","2011","05","17","Santos, M.R.","111","2011","05","17","Brasil","Minas Gerais","Est. Cons. Mata-Monjolos-Corinto","Colunar, sobre areia, cascalho ou rocha.","VIC039923","VIC039923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:34:14-03","UFMG","BHCB","144405","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Voll",NA,"2015","05","11","Mota, NFO; Thode, VA; Lu-Irving, P; Toledo, MM","1728","2010","11","12","Brasil","Minas Gerais","Parque Estadual da Serra do Cabral, Estrada na subida pelo Morro da SCAI, na parte da subida que é o parque","Planta suculenta. Flores externamente marrons, passando para branca até chegar em rosa; Campo rupestre","BHCB023070",NA,"Dicotyledon","Southern America","Joaquim Felício","-44.190556","-17.718056","-44.190556","-17.718056","1045","1045",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2830736","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Vollmer",NA,NA,NA,NA,"Collector unknown","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"US00165542","US00165542_01",NA,"South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Caryophyllales","1"
"4","2019-11-13 11:17:17-03","USP","SPF","203854","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Voll","Gonzaga, DR","2015","07","20","Mota, NFO","1728","2010","11","12","Brasil","Minas Gerais","Serra do Cabral",NA,"SPF00203854",NA,NA,NA,NA,"-44.190556","-17.718056","-44.190556","-17.718056","1045","1045",NA,NA,NA
"5","2019-11-13 11:17:17-03","USP","SPF","80808","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Voll","Taylor, NP","1993","11","30","Kameyama, C","24989","1988","10","13","Brasil","Minas Gerais","Serra do Cabral",NA,"SPF00080808",NA,NA,NA,"Buenópolis","-44.25","-17.883333","-44.25","-17.883333","900","900",NA,NA,NA
"6","2019-11-13 11:17:17-03","USP","SPF","80809","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Voll","Taylor, NP","1993","11","30","Harley, RM","24994","1988","10","13","Brasil","Minas Gerais","Serra do Cabral",NA,"SPF00080809",NA,NA,NA,"Buenópolis","-44.25","-17.883333","-44.25","-17.883333","1100","1200",NA,NA,NA
"7","2020-04-29 16:29:40-03","UFVJM","HDJF","5279","PreservedSpecimen","Plantae","Cactaceae","Arthrocereus","rondonianus","Arthrocereus rondonianus","Backeb. & Voll","Soffiatti, P","2017","01","14","Fantinati, MR; Soffiatti, P","161","2017","01","14","Brasil","Minas Gerais","Cachoeira do Buqueirão (propriedade particular).",NA,"HDJF005279","HDJF005279_01","Dicotyledoneae","Southern America","Joaquim Felício","-44.178333","-17.757833","-44.178333","-17.757833","720","720",NA,NA,NA
