"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","230856","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Oyedaea","annua","Oyedaea annua","Hassl.","isotype","E. Hassler","11030","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230856","NY00230856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:59-03","EAO","IAN","24886","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Oyedaea","annua","Oyedaea annua","Hassl.",NA,"Hassler, E","11030",NA,"Paraguai",NA,NA,"IAN024886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassler) H.Rob.",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","76112","Southern America","Brasil",NA,"ereta. Flor amarela.; depressão arenosa e úmida.",NA,NA,"Rob., H","2004","2003","10","10","Mato Grosso do Sul","Bonito","Projeto Guaicurus, arredores","-56.466667","-21.116667","-56.466667","-21.116667",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:21-03","UFBA","ALCB","89241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassler) H.Rob.",NA,"Ribas, OS; Hatschbach, G","7562","Southern America","Brasil",NA,"ereta. Capítulo amarelo.",NA,NA,"Alves, M","2015","2007","02","14","Santa Catarina","Correia Pinto","Rodovia BR-116","-50.3610992431641","-27.5846996307373",NA,NA,"01","21488","auto",NA,NA,NA,NA,NA
"5","2020-11-19 10:22:50-03","CPAP","CPAP","18748","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Pott, V. J.","4154",NA,"Brasil",NA,"Erva ereta, 50-60cm de altura. FLOR: amarelo. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Muito frequente. AMBIENTE: Plano com afloramento rochoso, mal drenado; ruderal. SUBSTRATO: solo calcário. RELEVO: plano. <ll>dwc_commonname:</ll> Margarida-amarela",NA,NA,NA,NA,"2000","03","23","MS","Bonito","Lagoa das Pedras; na época seca","-56.55","-21.25","56°33' W","21°15' S",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:22:50-03","CPAP","CPAP","23507","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Pott, A.","10556",NA,"Brasil",NA,"Erva ereta com flores de cor amarela. Vegetação secundária. Frequência . Abundante.. Solo: vértico, mal drenado. Relevo: plano entre morros.",NA,NA,"V. J. Pott; A. Pott",NA,"2002","11","09","MS","Bonito","Assentamento Guaicurus, MS-339, Serra da Bodoquena","-56.854639","-20.912778","56°51'16,7 W","20°54'46 S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013905","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","74434",NA,"Brazil",NA,"Ereta, flor amarela.",NA,NA,"H. Robinson",NA,"2003",NA,"10","Mato Grosso do Sul",NA,"Rodovia Bonito, Campo dos Indios, proximo de Tres Morros (Mun. Bonito).","-56.480141","-21.131298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:31:42-03","UFJF","CESJ","44850","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach; et al.","73968","América do Sul","Brasil",NA,"Ereta, até 40 cm, capítulo amarelo. Depressão arenosa.","CESJ044850",NA,"H.Robinson","2003","2002","11","09","Mato Grosso do Sul","Bonito","Projeto Guaicurus","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:31:42-03","UFJF","CESJ","47488","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach; et al.","76112","América do Sul","Brasil",NA,"Ereta, flor amarela. Depressão arenosa e úmida.","CESJ047488",NA,"H.Robinson","2004","2003","10","10","Mato Grosso do Sul","Bonito","Projeto Guaicurus","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"10","2021-04-07 11:41:25-03","UFMS","CGMS","58540","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"A. Pott","13746",NA,"Brasil",NA,"Flor amarela. Fruto não observado. Habitat: Campo herbáceo-arbustivo. Solo argiloso vermeho com afloramento de rocha dolomítica. Relevo meia encosta. Ocasional. Habito: Erva ereta.","CGMS004431",NA,"A. Pott; V.J. Pott",NA,"2005","12","08","Mato Grosso do Sul","Porto Murtinho","Sede da Fazenda Harmonia, entorno do Parque Nacional da Serra da Bodoquena.","-56.7655556","-21.2125","-56,7655556","-21,2125",NA,NA,NA,"555","555",NA,NA,NA
"11","2021-04-07 11:41:25-03","UFMS","CGMS","71707","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"C. Estodutto; V.J. Pott, E.O. Souza, L.P. Oliveira","10",NA,"Brasil",NA,"Presença de abelha, caule rosado Habitat: Campo inundável de Imperate tenues e Andragon bicornis, profundidade entre 20 e 80 cm, na borda da mata decídua, solo hidromórfico, argiloso de origem calcária Habito: Erva anfíbia ereta","CGMS1104510",NA,"V.J. Pott",NA,"2018","10","30","Mato Grosso do Sul","Bonito","Fazenda Marambaia, 20 Km noroeste de Bonito. Parque Nacional da Serra Bodoquena","-56.7122222","-20.97","-56,7122222","-20,97",NA,NA,NA,"672","672",NA,NA,NA
"12","2021-04-07 11:41:25-03","UFMS","CGMS","71709","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"J.V. Gonzalez; W.L.C. Tabosa, D.P.F.L. Maidana, V.J. Pott.","616",NA,"Brasil",NA,"Caule avermelhado; flores amarelas; presente em solo úmido Habitat: Lagoa Habito: Planta Anfíbia","CGMS1104512",NA,"V.J. Pott","2018","2018","10","31","Mato Grosso do Sul","Bonito","Fazenda Marambaia. Lagoa. Parque Nacional da Serra da Bodoquena.","-56.7086111","-20.965","-56,7086111","-20,965","10",NA,NA,"666","666","31",NA,NA
"13","2021-04-07 11:41:25-03","UFMS","CGMS","58541","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"A. Pott; V.J. Pott; G. Hatschbach; J. Silva; A.C.M. Cristaldo","10556",NA,"Brasil",NA,"Flor amarela. Habitat: Vegetação secundária. Solo vértico, mal drenado. Relevo plano entre morros. Abundante. Habito: Erva ereta","CGMS004430",NA,"V.J. Pott; A. Pott","2002","2002","11","09","Mato Grosso do Sul","Bonito","Assentamento Guaicurus,MS-339, Serra da Bodoquena.","-56.8547222","-20.9127778","-56,8547222","-20,9127778",NA,NA,NA,"583","583",NA,NA,NA
"14","2021-04-07 11:41:25-03","UFMS","CGMS","53587","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"A. Pott","13700",NA,"Brasil",NA,"Flor amarela. Fruto não observado. Ramos e caule avermelhados. Habitat: Vegetação secundária. Solo argiloso litólico. Relevo quase plano entre morros. Abundante. Habito: Erva ereta, caule ramificado ou não, 60 cm de altura.","CGMS004432",NA,NA,NA,"2005","12","08","Mato Grosso do Sul","Porto Murtinho","Fazenda Harmonia, Parque Nacional da Serra da Bodoquena.","-56.7233334","-21.2583333","-56,7233334","-21,2583333",NA,NA,NA,"480","480",NA,NA,NA
"15","2021-04-07 11:41:25-03","UFMS","CGMS","36754","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"A. Pott; V.J. Pott; J.S.V. Silva; M. Abdon; R. Santos","9585",NA,"Brasil",NA,"Flor amarela. Lígula branca (creme). Habitat: Cerrado/Cerradão, distrófico. Solo arenoso. Relevo ondulado. Habito: Erva subereta com xilopódio. Rara.","CGMS1066165",NA,"B. Loeuille",NA,"2002","03","02","Mato Grosso do Sul","Alcinópolis","Estrada para Vila Buriti, 8 Km norte de Alcinópolis.","-53.7333333","-18.27","-53,7333333","-18,27",NA,NA,NA,NA,NA,NA,NA,NA
