"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","fieldNumber","individualCount","class","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","26974","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.","isotype","F. Sellow","3943","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026974","NY00026974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:42:00-03","EAO","IAN","4110","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"Sellow, F","3983","Southern America","Brasil",NA,NA,NA,"IAN004110","IAN004110_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:14:53-03","UNICAMP","UEC","54282","S","Plantae","Magnoliopsida",NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"Arzivenco, L","s.n.",NA,"Brazil",NA,NA,NA,NA,NA,"1975","11","Rio Grande do Sul","Piratini","-53.1041984558105","-31.4480991363525","62286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:14:53-03","UNICAMP","UEC","54282","S","Plantae","Magnoliopsida",NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"Arzivenco, L","s.n.",NA,"Brazil",NA,NA,"fruto",NA,NA,"1975","11","Rio Grande do Sul","Piratini","-53.1041984558105","-31.4480991363525","62286","auto","Sobral, M","1990",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:45:34-03","FURB","FURB","909","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"Sobral, M.",NA,NA,"Brasil","Linha Pessegueiro.",NA,"Habitat: campo sujo Habito: arbustiva; flor amarela","FURB01818","FURB01818","1998","11","Rio Grande do Sul","Rio Grande do Sul",NA,NA,NA,NA,"Sobral, M","1998","11","01","01",NA,NA,NA,NA,NA
"6","2020-12-21 16:27:59-03","MBM","MBM","232453","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"Sobral, M.; et al.; et al.","8700","Southern America","Brazil","Linha Pessegueiro",NA,NA,"MBM232453","MBM232453",NA,NA,"Rio Grande do Sul","Barros Cassal","-52.5828018188477","-29.0932998657227","20054","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 02:22:22-03","MNHN","RECOLNAT_MNHN_P","P02755317","PreservedSpecimen",NA,NA,NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.","type","Sellow",NA,NA,"Brésil","s.loc.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02755317' target='other'> <mi>dwc_moreinfo</mi></a>","P02755317","P02755317_01 P02755317_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3943",NA,NA,NA,NA
"8","2017-09-15 14:08:00-03","MO","MOBOT","100997019","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.",NA,"F. Sellow","Sellow 3943","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2253991","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa","Taub.","Isotype","F. Sellow","3943","South America - Neotropics","Brazil","[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,"US00003056","US00003056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"10","2019-09-04 18:46:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa",NA,"Type [status unknown]","F. Sellow","3943","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"11","2019-01-23 10:12:33-02","F","FMNH-SEEDPLANTS","V0360741F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Sellocharis","paradoxa","Sellocharis paradoxa",NA,"Isotype","F. Sellow","3943","South America","Brazil",NA,NA,NA,"V0360741F","V0360741F_01",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
