"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","locality","phylum","order","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","class","individualCount","sex"
"1","2020-09-23 10:38:06-03","E","E","414314","PreservedSpecimen","Plantae","Compositae","Richterago","arenaria","Richterago arenaria","unspecified kind of","Gardner, George","4956","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:453233","<a href=http://data.rbge.org.uk/herb/E00414314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00414314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:06-03","E","E","414313","PreservedSpecimen","Plantae","Compositae","Richterago","arenaria","Richterago arenaria","unspecified kind of","Gardner, George","4956","E. Tropical South America","BR","Piauí","herbarium specimen of unspecif","BGBASE:453231","<a href=http://data.rbge.org.uk/herb/E00414313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00414313","1905","01","10","Piauhy, Goyaz, &c.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","871907","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"R. M. Tryon | A. F. Tryon","6839","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871907","1965","11","25","Planalto of Serra do Cipó (a portion of Serra do Espinhaço), 85 km. north-northeast of Bello Horizonte. Vicinity of road from Lagoa Santa to Conceicão do Mato Dentro, at km. [?] from Bello Horizonte.","Magnoliophyta","Asterales","(Baker) Roque","1150","1150","NY00871907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","871906","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"B. Maguire","49018A","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871906","1960","08","06","Summit of Serra do Cipo, Km. 111-120, road from Hotel Chapeu do Sol.","Magnoliophyta","Asterales","(Baker) Roque","1200","1200","NY00871906_01","-43.554488","-19.288549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2422683","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"G. M. Antar","36","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670338' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422683","2012","07","04","Parque Nacional da Serra do Cipó. Trilha do Travessão.","Magnoliophyta","Asterales","(Baker) Roque","1100",NA,"NY02422683_01","-43.5244","-19.33108","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","232845","PreservedSpecimen","Plantae","Asteraceae","Trichocline","arenaria","Trichocline arenaria","isotype","G. Gardner","4956","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=602948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232845",NA,NA,NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","Magnoliophyta","Asterales","Baker",NA,NA,"NY00232845_01 NY00232845_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","232847","PreservedSpecimen","Plantae","Asteraceae","Trichocline","arenaria","Trichocline arenaria","isotype","G. Gardner","4956","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=602949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232847",NA,NA,NA,NA,"Magnoliophyta","Asterales","Baker",NA,NA,"NY00232847_01 NY00232847_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-25 16:50:25-03","UFBA","ALCB","106076","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"Roque, N; Quaresma, AS","3726","Southern America","Brasil","Minas Gerais",NA,NA,"ca. 40 cm alt. Escapo e invólucro cinéreo-lanosos. Capítulo fechado.",NA,"2012","09","23","Estrada de Poço Fundo para Engenho da Bilia","Dicotyledon",NA,"(Baker) N.Roque","1155","1155",NA,"-43.679722","-18.665833","Datas","-43.679722","-18.665833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:50:25-03","UFBA","ALCB","106077","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"Roque, N; Quaresma, AS","3727","Southern America","Brasil","Minas Gerais",NA,NA,"até 50cm alt. Brácteas involucrais cinéreo-lanosas, corola alva, face abaxial da corola das flores do raio lilases.&nf;&nf;&nf;&nf;; solo areno-pedregoso.",NA,"2012","09","23","Estrada de Poço Fundo para Engenho da Bilia","Dicotyledon",NA,"(Baker) N.Roque","1194","1194",NA,"-43.688611","-18.529722","Datas","-43.688611","-18.529722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-25 16:50:25-03","UFBA","ALCB","106086","PreservedSpecimen","Plantae","Asteraceae","Richterago","arenaria","Richterago arenaria",NA,"Roque, N; Quaresma, AS","3736","Southern America","Brasil","Minas Gerais",NA,NA,"15-50 cm alt., folhas eretas. Brácteas involucrais cinéreas, corola alva.; solo arenoso encharcado.",NA,"2012","09","25","Estrada Milho Verde para Capivari. APA Águas Vertentes","Dicotyledon",NA,"(Baker) N.Roque","1108","1108",NA,"-43.461944","-18.483056","Serro","-43.461944","-18.483056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
