"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","phylum","continentOcean","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","order","individualCount"
"1","2015-07-02 14:02:16-03","JBP","HPL","9020","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","H. Lorenzi","2000","12","01","H. Lorenzi","2499","2000","12","01","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:16-03","JBP","HPL","3148","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","E.R. Salviani & H. Lorenzi","2000","11","16","E.R. Salviani & H. Lorenzi","1790","2000","11","16","Brasil","MG","Pedra Branca","Coletada no pocinho do rio Verde.",NA,NA,NA,NA,"(Fritsch) A. Chautems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:16-03","JBP","HPL","3156","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","H. Lorenzi","1999","11","07","H. Lorenzi","2124","1999","11","07","Brasil","MG","Pocinhos de Rio Verde","Coletada no morro da Pedra Branca na estrada entre Poços de Caldas e Caldas.",NA,NA,NA,NA,"(Fritsch) A. Chautems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:16-03","JBP","HPL","3149","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","H. Lorenzi","1999","12","18","E.R. Salviani & H. Lorenzi","839","1999","12","18","Brasil","MG","Caldas","Coletada na Pedra Branca.","-46.3861","-21.9236","25710","auto","(Fritsch) A. Chautems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:37:24-03","UFJF","CESJ","52505","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","A. Chautems","2008","11","25","M.G. Rezende; R.C.L. Elias","248","2008","11","22","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.386100769043","-21.9235992431641","25710","auto","L.C.Pereira","Angiosperma","América do Sul","Erva ca. 30cm, saxícola, campo de altitude em afloramento granítico, corola rosa com linhas vináceas.","CESJ052505",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:37:24-03","UFJF","CESJ","41996","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","L.C.Pereira","2012","03",NA,"J.P. Braga","116","2003","11","22","Brasil","Minas Gerais","Pedralva","Serra da Pedra, Minas Gerais - Pedralva, Serra das Pedras.","-45.4658012390137","-22.2427997589111","10929","auto","L.C.Pereira","Angiosperma","América do Sul","Erva cerca de 15cm rupicola, folhas verdes na face adaxial e púrpura na face abaxial. Ramos com pilosidade, flores com corola vermelhas com manchas púrpuras, descida da Grande para O Gorila.","CESJ041996",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:29:12-03","MBM","MBM","390191","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","Mota, N.F.O.","2011","12","29","Mota, N.F.O.; Giacomin, L.L.; Pustingue, S.R.R.; Giacomin, L.L.; Pustingue, S.R.R.","2475","2011","12","20","Brazil","Minas Gerais","Caldas","Serra de Caldas, Trilha para a Pedra Branca","-46.370556","-21.976111",NA,NA,"(Fritsch) Chautems",NA,"Southern America","Erva rupícola, tuberosa; flores rosas com máculas avermelhadas na face interna da corola; muitos indivíduos ao longo de toda a trilha da Pedra Branca.; Afloramento rochoso; crescendo entre fendas das rochas.","MBM390191","-46.370556","-21.976111","1745","1745","MBM390191",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3179652","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata",NA,NA,NA,NA,"A. P. Chautems & R. Reitz","366","1989","12","17","Brazil","Mato Grosso",NA,"Caldas, Pedra Branca",NA,NA,NA,NA,"(Fritsch) Chautems",NA,"South America - Neotropics",NA,"US00293136",NA,NA,NA,NA,"US00293136_01","Dicotyledonae","Scrophulariales","1"
"9","2020-09-12 05:00:02-03","US","US","2904316","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata",NA,NA,NA,NA,"A. Krapovickas & C. L. Cristóbal","35490","1980","1","24","Brazil","Minas Gerais",NA,"Caldas, Pedra Branca",NA,NA,NA,NA,"(Fritsch) Chautems",NA,"South America - Neotropics",NA,"US00320861",NA,NA,"2000",NA,"US00320861_01","Dicotyledonae","Scrophulariales","1"
"10","2019-11-13 16:04:44-03","UNISANTA","HUSC","8702","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata",NA,NA,NA,NA,"Martins, S.E.; Lima, L.R.; Silva, G.O.; Caruzo, M.B.R.","988","2007","01","25","Brasil","Minas Gerais","Caldas.","Pedra Branca","-46.370833","-21.971111",NA,NA,"(Fritsch) Chautems","Magnoliophyta",NA,"Erva, folhas com face abaxial vinácea. Ramos, pedúnculo e pedicelos vináceos. Sépalas verde-vináceas, corola com tubo róseo com estrias e manchas vináceas. Frutos imaturos verde vináceos.; Em fenda de rocha",NA,"-46.370833","-21.971111",NA,NA,NA,NA,NA,NA
"11","2019-11-21 10:07:03-03","IBt","SP","237084","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata",NA,NA,NA,NA,"Chautems, A; Peixoto, M","366","1987","12","17","Brasil","Minas Gerais","Caldas","Pedra Branca","-46.386100769043","-21.9235992431641","25710","auto","(Fritsch) Chautems",NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA
"12","2019-11-21 10:07:03-03","IBt","SP","237085","S","Plantae","Gesneriaceae","Sinningia","striata","Sinningia striata","Chautems, A","2018","10",NA,"Chautems, A; Peixoto, M","368","1987","12","17","Brasil","Minas Gerais","Caldas","Pedra Branca","-46.386100769043","-21.9235992431641","25710","auto","(Fritsch) Chautems",NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA
