"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01058546","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","E. P. Heringer","10519","1965","08","31","South America","Brazil","Distrito Federal","Brasília","Zoobotânico","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142507' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058546","NY01058546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01058524","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","R. C. Barneby","J. G. A. Vieira","53","1978","07","29","South America","Brazil","Goiás","Luziânia","Margem do Rio Vermelho; 11 km ao Sul de Luziania","-47.88","-16.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058524","NY01058524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","600987","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","D. Constantino","s.n.","1913","09",NA,"South America","Brazil","Rio de Janeiro",NA,"Santa Maria Magdalena, civit Rio de Janeiro",NA,NA,"sheet","IX - 1913 flor <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600987","NY00600987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","600990","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","T. Sendulsky","s/n¦","1969","09","11","South America","Brazil","São Paulo","Sao Paulo","10 km. south of center of city of Sâo Paulo, in grounds of the Instituto de Botânica, Parque do Estado","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600990","NY00600990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","600997","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","R. de Lemos Fróes","11909","1940","09",NA,"South America","Brazil","Maranhão","Rosário",NA,"-44.235","-2.9344","sheet","R. Froes under the direction of B. A. Krukoff <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600997","NY00600997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","600989","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","H. C. de Lima","J. Tabacow","s.n.","1988","08","14","South America","Brazil","Espírito Santo",NA,"ES, MG, 2 km divisa com Rio de Janeiro, na Br. 040",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600989","NY00600989_01","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02474119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"H. C. de Lima","7700","2013","07","27","South America","Brazil","Rio de Janeiro","Duas Barras","Monerat, RJ-116, km 116","-42.4053","-22.0806","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685451' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474119","NY02474119_01","643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","600988","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","L. Emygdio de Mello Filho","s.n.","1975","12","07","South America","Brazil","Rio de Janeiro",NA,"Geral, km 105 da Rodovia Rio - Belo Horizonte",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600988","NY00600988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01058522","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","L. T. Costa","2867","1950","08","23","South America","Brazil","Minas Gerais",NA,"Catiara, Estação","-46.677362","-19.172913","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142503' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058522","NY01058522_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","755373","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","H. C. de Lima","N. A. Brilhante","34",NA,NA,NA,"South America","Brazil","Acre","Plácido de Castro","BR-317 Highway, km 70.","-67.1856","-10.3356","sheet","specimens for a green manure investigation <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755373","NY00755373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
